OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION;nivel_numero
1;ANDINA;ANTIOQUIA;ANORÍ;05040;Alta;83.4;120.0;18.0;23/07/2026;3
2;ANDINA;ANTIOQUIA;CÁCERES;05120;Alta;67.4;128.5;16.0;23/07/2026;3
3;ANDINA;ANTIOQUIA;DABEIBA;05234;Alta;50.1;113.2;11.0;23/07/2026;3
4;ANDINA;ANTIOQUIA;MUTATÁ;05480;Alta;62.6;101.2;23.0;23/07/2026;3
5;ANDINA;ANTIOQUIA;SAN ROQUE;05670;Alta;51.8;72.1;14.0;23/07/2026;3
6;ANDINA;ANTIOQUIA;SEGOVIA;05736;Alta;95.7;140.8;14.0;23/07/2026;3
7;ANDINA;ANTIOQUIA;SONSÓN;05756;Alta;45.7;102.2;9.0;23/07/2026;3
8;ANDINA;ANTIOQUIA;TARAZÁ;05790;Alta;74.1;124.4;19.0;23/07/2026;3
9;ANDINA;ANTIOQUIA;VALDIVIA;05854;Alta;85.2;123.8;20.0;23/07/2026;3
10;ORINOQUÍA;ARAUCA;FORTUL;81300;Alta;19.8;81.4;28.0;23/07/2026;3
11;ORINOQUÍA;ARAUCA;SARAVENA;81736;Alta;24.5;150.0;28.0;23/07/2026;3
12;CARIBE;BOLÍVAR;ARENAL;13042;Alta;61.6;66.9;10.0;23/07/2026;3
13;CARIBE;BOLÍVAR;MONTECRISTO;13458;Alta;82.0;114.4;11.0;23/07/2026;3
14;CARIBE;BOLÍVAR;MORALES;13473;Alta;75.1;83.9;11.0;23/07/2026;3
15;CARIBE;BOLÍVAR;SAN PABLO;13670;Alta;95.3;134.3;13.0;23/07/2026;3
16;CARIBE;BOLÍVAR;SANTA ROSA DEL SUR;13688;Alta;106.9;125.2;11.0;23/07/2026;3
17;CARIBE;BOLÍVAR;SIMITÍ;13744;Alta;96.1;112.1;11.0;23/07/2026;3
18;ANDINA;BOYACÁ;ALMEIDA;15022;Alta;32.3;142.2;29.0;23/07/2026;3
19;ANDINA;BOYACÁ;CUBARÁ;15223;Alta;41.0;218.2;28.0;23/07/2026;3
20;ANDINA;BOYACÁ;MACANAL;15425;Alta;38.4;151.0;29.0;23/07/2026;3
21;ANDINA;BOYACÁ;PAYA;15533;Alta;51.9;142.7;26.0;23/07/2026;3
22;ANDINA;BOYACÁ;SANTA MARÍA;15690;Alta;38.2;198.8;30.0;23/07/2026;3
23;ORINOQUÍA;CASANARE;MONTERREY;85162;Alta;79.4;215.0;29.0;23/07/2026;3
24;ORINOQUÍA;CASANARE;SABANALARGA;85300;Alta;76.5;228.6;29.0;23/07/2026;3
25;ORINOQUÍA;CASANARE;TAURAMENA;85410;Alta;51.8;181.5;28.0;23/07/2026;3
26;ORINOQUÍA;CASANARE;VILLANUEVA;85440;Alta;58.1;210.1;27.0;23/07/2026;3
27;ORINOQUÍA;CASANARE;YOPAL;85001;Alta;25.7;139.6;24.0;23/07/2026;3
28;PACÍFICO;CAUCA;EL TAMBO;19256;Alta;29.0;93.3;17.0;23/07/2026;3
29;PACÍFICO;CAUCA;LÓPEZ DE MICAY;19418;Alta;59.4;266.8;26.0;23/07/2026;3
30;PACÍFICO;CAUCA;PIAMONTE;19533;Alta;72.0;114.7;30.0;23/07/2026;3
31;PACÍFICO;CAUCA;SANTA ROSA;19701;Alta;41.5;68.1;27.0;23/07/2026;3
32;PACÍFICO;CAUCA;TIMBIQUÍ;19809;Alta;48.2;303.6;28.0;23/07/2026;3
33;PACÍFICO;CHOCÓ;ALTO BAUDÓ;27025;Alta;71.4;130.4;26.0;23/07/2026;3
34;PACÍFICO;CHOCÓ;BAGADÓ;27073;Alta;59.7;87.9;20.0;23/07/2026;3
35;PACÍFICO;CHOCÓ;BAHÍA SOLANO;27075;Alta;78.1;135.7;25.0;23/07/2026;3
36;PACÍFICO;CHOCÓ;BAJO BAUDÓ;27077;Alta;65.5;127.5;26.0;23/07/2026;3
37;PACÍFICO;CHOCÓ;BOJAYÁ;27099;Alta;50.2;106.6;20.0;23/07/2026;3
38;PACÍFICO;CHOCÓ;JURADÓ;27372;Alta;77.2;115.1;25.0;23/07/2026;3
39;PACÍFICO;CHOCÓ;LLORÓ;27413;Alta;66.1;97.4;24.0;23/07/2026;3
40;PACÍFICO;CHOCÓ;NUQUÍ;27495;Alta;90.7;150.8;26.0;23/07/2026;3
41;PACÍFICO;CHOCÓ;QUIBDÓ;27001;Alta;71.6;127.5;22.0;23/07/2026;3
42;PACÍFICO;CHOCÓ;RIOSUCIO;27615;Alta;48.7;78.5;25.0;23/07/2026;3
43;PACÍFICO;CHOCÓ;RÍO IRÓ;27580;Alta;75.5;136.6;25.0;23/07/2026;3
44;PACÍFICO;CHOCÓ;TADÓ;27787;Alta;71.2;123.4;20.0;23/07/2026;3
45;ANDINA;CUNDINAMARCA;FÓMEQUE;25279;Alta;27.9;71.0;30.0;23/07/2026;3
46;ANDINA;CUNDINAMARCA;GACHALÁ;25293;Alta;20.9;192.3;30.0;23/07/2026;3
47;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;Alta;31.9;225.8;30.0;23/07/2026;3
48;ANDINA;CUNDINAMARCA;LA PALMA;25394;Alta;41.9;115.4;14.0;23/07/2026;3
49;ANDINA;CUNDINAMARCA;MEDINA;25438;Alta;25.4;209.4;30.0;23/07/2026;3
50;ANDINA;CUNDINAMARCA;PARATEBUENO;25530;Alta;36.6;201.1;28.0;23/07/2026;3
51;ANDINA;CUNDINAMARCA;UBALÁ;25839;Alta;30.4;194.9;30.0;23/07/2026;3
52;ANDINA;HUILA;SAN AGUSTÍN;41668;Alta;22.9;67.0;28.0;23/07/2026;3
53;ORINOQUÍA;META;BARRANCA DE UPÍA;50110;Alta;60.1;257.6;27.0;23/07/2026;3
54;ORINOQUÍA;META;CUBARRAL;50223;Alta;21.2;239.3;30.0;23/07/2026;3
55;ORINOQUÍA;META;CUMARAL;50226;Alta;24.4;129.0;26.0;23/07/2026;3
56;ORINOQUÍA;META;EL CASTILLO;50251;Alta;16.8;243.8;28.0;23/07/2026;3
57;ORINOQUÍA;META;RESTREPO;50606;Alta;29.6;271.8;30.0;23/07/2026;3
58;ORINOQUÍA;META;SAN JUAN DE ARAMA;50683;Alta;14.6;215.0;28.0;23/07/2026;3
59;ORINOQUÍA;META;URIBE;50370;Alta;23.5;92.8;23.0;23/07/2026;3
60;PACÍFICO;NARIÑO;BARBACOAS;52079;Alta;55.7;126.0;30.0;23/07/2026;3
61;PACÍFICO;NARIÑO;MAGÜÍ;52427;Alta;61.4;162.0;27.0;23/07/2026;3
62;ANDINA;NORTE DE SANTANDER;CHITAGÁ;54174;Alta;39.2;151.4;28.0;23/07/2026;3
63;ANDINA;NORTE DE SANTANDER;TOLEDO;54820;Alta;31.3;170.2;28.0;23/07/2026;3
64;AMAZONÍA;PUTUMAYO;MOCOA;86001;Alta;67.0;113.6;30.0;23/07/2026;3
65;AMAZONÍA;PUTUMAYO;PUERTO GUZMÁN;86571;Alta;-;-;-;23/07/2026;3
66;AMAZONÍA;PUTUMAYO;SAN FRANCISCO;86755;Alta;48.3;142.6;30.0;23/07/2026;3
67;AMAZONÍA;PUTUMAYO;SANTIAGO;86760;Alta;39.1;70.9;30.0;23/07/2026;3
68;AMAZONÍA;PUTUMAYO;VILLAGARZÓN;86885;Alta;54.1;123.5;30.0;23/07/2026;3
69;ANDINA;SANTANDER;GUADALUPE;68320;Alta;-;-;-;23/07/2026;3
70;ANDINA;SANTANDER;SUAITA;68770;Alta;-;-;-;23/07/2026;3
71;ANDINA;SANTANDER;SUCRE;68773;Alta;20.7;85.3;16.0;23/07/2026;3
72;PACÍFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;Alta;47.7;186.4;23.0;23/07/2026;3
73;ANDINA;ANTIOQUIA;ABEJORRAL;05002;Baja;34.7;59.8;7.0;23/07/2026;1
74;ANDINA;ANTIOQUIA;ABRIAQUÍ;05004;Baja;32.1;79.3;10.0;23/07/2026;1
75;ANDINA;ANTIOQUIA;ALEJANDRÍA;05021;Baja;41.2;91.4;13.0;23/07/2026;1
76;ANDINA;ANTIOQUIA;BARBOSA;05079;Baja;47.0;92.7;12.0;23/07/2026;1
77;ANDINA;ANTIOQUIA;CARACOLÍ;05142;Baja;53.5;71.2;14.0;23/07/2026;1
78;ANDINA;ANTIOQUIA;CAREPA;05147;Baja;35.0;62.2;25.0;23/07/2026;1
79;ANDINA;ANTIOQUIA;CAÑASGORDAS;05138;Baja;27.1;89.4;10.0;23/07/2026;1
80;ANDINA;ANTIOQUIA;CIUDAD BOLÍVAR;05101;Baja;51.0;76.2;9.0;23/07/2026;1
81;ANDINA;ANTIOQUIA;COCORNÁ;05197;Baja;44.6;101.7;11.0;23/07/2026;1
82;ANDINA;ANTIOQUIA;CONCEPCIÓN;05206;Baja;36.9;93.5;13.0;23/07/2026;1
83;ANDINA;ANTIOQUIA;EL SANTUARIO;05697;Baja;-;-;-;23/07/2026;1
84;ANDINA;ANTIOQUIA;FREDONIA;05282;Baja;-;-;-;23/07/2026;1
85;ANDINA;ANTIOQUIA;FRONTINO;05284;Baja;46.7;111.6;10.0;23/07/2026;1
86;ANDINA;ANTIOQUIA;GIRALDO;05306;Baja;-;-;-;23/07/2026;1
87;ANDINA;ANTIOQUIA;GUATAPÉ;05321;Baja;-;-;-;23/07/2026;1
88;ANDINA;ANTIOQUIA;HISPANIA;05353;Baja;49.8;81.2;10.0;23/07/2026;1
89;ANDINA;ANTIOQUIA;JARDÍN;05364;Baja;50.4;70.8;10.0;23/07/2026;1
90;ANDINA;ANTIOQUIA;LA UNIÓN;05400;Baja;39.4;110.2;10.0;23/07/2026;1
91;ANDINA;ANTIOQUIA;MEDELLÍN;05001;Baja;-;-;-;23/07/2026;1
92;ANDINA;ANTIOQUIA;NECOCLÍ;05490;Baja;36.8;52.7;18.0;23/07/2026;1
93;ANDINA;ANTIOQUIA;PEQUE;05543;Baja;45.6;66.5;14.0;23/07/2026;1
94;ANDINA;ANTIOQUIA;PEÑOL;05541;Baja;-;-;-;23/07/2026;1
95;ANDINA;ANTIOQUIA;PUEBLORRICO;05576;Baja;-;-;-;23/07/2026;1
96;ANDINA;ANTIOQUIA;SALGAR;05642;Baja;48.2;82.2;8.0;23/07/2026;1
97;ANDINA;ANTIOQUIA;SAN RAFAEL;05667;Baja;42.0;93.9;14.0;23/07/2026;1
98;ANDINA;ANTIOQUIA;URAMITA;05842;Baja;39.0;105.3;10.0;23/07/2026;1
99;CARIBE;ATLÁNTICO;REPELÓN;08606;Baja;-;-;-;23/07/2026;1
100;ANDINA;BOGOTÁ, D.C.;BOGOTÁ, D.C.;11001;Baja;17.4;30.4;24.0;23/07/2026;1
101;CARIBE;BOLÍVAR;ARROYOHONDO;13062;Baja;-;-;-;23/07/2026;1
102;CARIBE;BOLÍVAR;CALAMAR;13140;Baja;-;-;-;23/07/2026;1
103;CARIBE;BOLÍVAR;EL CARMEN DE BOLÍVAR;13244;Baja;-;-;-;23/07/2026;1
104;CARIBE;BOLÍVAR;EL GUAMO;13248;Baja;-;-;-;23/07/2026;1
105;CARIBE;BOLÍVAR;MAHATES;13433;Baja;-;-;-;23/07/2026;1
106;CARIBE;BOLÍVAR;MARÍA LA BAJA;13442;Baja;-;-;-;23/07/2026;1
107;CARIBE;BOLÍVAR;SAN JACINTO;13654;Baja;-;-;-;23/07/2026;1
108;CARIBE;BOLÍVAR;TIQUISIO;13810;Baja;32.5;44.9;11.0;23/07/2026;1
109;CARIBE;BOLÍVAR;VILLANUEVA;13873;Baja;-;-;-;23/07/2026;1
110;ANDINA;BOYACÁ;CHINAVITA;15172;Baja;24.3;65.8;30.0;23/07/2026;1
111;ANDINA;BOYACÁ;CHITA;15183;Baja;24.9;39.3;21.0;23/07/2026;1
112;ANDINA;BOYACÁ;GUATEQUE;15322;Baja;22.4;89.1;28.0;23/07/2026;1
113;ANDINA;BOYACÁ;GÁMEZA;15296;Baja;17.2;17.6;14.0;23/07/2026;1
114;ANDINA;BOYACÁ;LA VICTORIA;15401;Baja;40.2;90.7;15.0;23/07/2026;1
115;ANDINA;BOYACÁ;MUZO;15480;Baja;-;-;-;23/07/2026;1
116;ANDINA;BOYACÁ;PACHAVITA;15511;Baja;15.3;53.3;29.0;23/07/2026;1
117;ANDINA;BOYACÁ;PUERTO BOYACÁ;15572;Baja;-;-;-;23/07/2026;1
118;ANDINA;BOYACÁ;QUÍPAMA;15580;Baja;38.0;88.5;16.0;23/07/2026;1
119;ANDINA;BOYACÁ;RAMIRIQUÍ;15599;Baja;16.2;46.9;30.0;23/07/2026;1
120;ANDINA;BOYACÁ;SUTATENZA;15778;Baja;23.5;80.9;28.0;23/07/2026;1
121;ANDINA;BOYACÁ;TENZA;15798;Baja;24.8;68.1;29.0;23/07/2026;1
122;ANDINA;BOYACÁ;ZETAQUIRA;15897;Baja;21.6;86.2;30.0;23/07/2026;1
123;ANDINA;CALDAS;AGUADAS;17013;Baja;33.0;69.1;6.0;23/07/2026;1
124;ANDINA;CALDAS;ANSERMA;17042;Baja;-;-;-;23/07/2026;1
125;ANDINA;CALDAS;MARULANDA;17446;Baja;46.8;82.8;10.0;23/07/2026;1
126;ANDINA;CALDAS;PALESTINA;17524;Baja;-;-;-;23/07/2026;1
127;ANDINA;CALDAS;SALAMINA;17653;Baja;44.2;61.1;8.0;23/07/2026;1
128;ANDINA;CALDAS;VICTORIA;17867;Baja;-;-;-;23/07/2026;1
129;AMAZONÍA;CAQUETÁ;EL DONCELLO;18247;Baja;24.9;82.8;26.0;23/07/2026;1
130;AMAZONÍA;CAQUETÁ;EL PAUJÍL;18256;Baja;24.2;105.7;27.0;23/07/2026;1
131;AMAZONÍA;CAQUETÁ;FLORENCIA;18001;Baja;22.9;73.8;26.0;23/07/2026;1
132;AMAZONÍA;CAQUETÁ;LA MONTAÑITA;18410;Baja;28.3;113.7;28.0;23/07/2026;1
133;AMAZONÍA;CAQUETÁ;MORELIA;18479;Baja;21.6;133.5;27.0;23/07/2026;1
134;AMAZONÍA;CAQUETÁ;SAN VICENTE DEL CAGUÁN;18753;Baja;37.0;88.9;26.0;23/07/2026;1
135;ORINOQUÍA;CASANARE;PAZ DE ARIPORO;85250;Baja;18.6;106.3;28.0;23/07/2026;1
136;ORINOQUÍA;CASANARE;PORE;85263;Baja;20.7;102.2;26.0;23/07/2026;1
137;CARIBE;CESAR;PUEBLO BELLO;20570;Baja;-;-;-;23/07/2026;1
138;CARIBE;CESAR;SAN ALBERTO;20710;Baja;59.6;75.3;13.0;23/07/2026;1
139;CARIBE;CESAR;SAN MARTÍN;20770;Baja;60.9;72.8;12.0;23/07/2026;1
140;ANDINA;CUNDINAMARCA;CAPARRAPÍ;25148;Baja;34.9;102.1;12.0;23/07/2026;1
141;ANDINA;CUNDINAMARCA;CHIPAQUE;25178;Baja;27.5;60.0;29.0;23/07/2026;1
142;ANDINA;CUNDINAMARCA;CHOACHÍ;25181;Baja;27.1;53.5;29.0;23/07/2026;1
143;ANDINA;CUNDINAMARCA;EL PEÑÓN;25258;Baja;38.5;87.5;12.0;23/07/2026;1
144;ANDINA;CUNDINAMARCA;LA CALERA;25377;Baja;15.2;28.4;28.0;23/07/2026;1
145;ANDINA;CUNDINAMARCA;LA PEÑA;25398;Baja;26.9;59.8;11.0;23/07/2026;1
146;ANDINA;CUNDINAMARCA;MANTA;25436;Baja;19.3;92.7;29.0;23/07/2026;1
147;ANDINA;CUNDINAMARCA;TOPAIPÍ;25823;Baja;38.0;93.6;14.0;23/07/2026;1
148;ANDINA;CUNDINAMARCA;UBAQUE;25841;Baja;25.3;51.4;30.0;23/07/2026;1
