OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION;nivel_numero
1;ANDINA;ANTIOQUIA;ALEJANDRÕA;05021;Alta;12.4;211.8;26.0;04/09/2026;3
2;ANDINA;ANTIOQUIA;ANORÕ;05040;Alta;52.2;166.1;23.0;04/09/2026;3
3;ANDINA;ANTIOQUIA;CAROLINA;05150;Alta;32.8;171.6;24.0;04/09/2026;3
4;ANDINA;ANTIOQUIA;C¡CERES;05120;Alta;32.7;189.1;18.0;04/09/2026;3
5;ANDINA;ANTIOQUIA;EL BAGRE;05250;Alta;21.7;141.1;20.0;04/09/2026;3
6;ANDINA;ANTIOQUIA;G”MEZ PLATA;05310;Alta;36.1;174.8;24.0;04/09/2026;3
7;ANDINA;ANTIOQUIA;SAN CARLOS;05649;Alta;16.5;154.1;27.0;04/09/2026;3
8;ANDINA;ANTIOQUIA;SAN RAFAEL;05667;Alta;11.9;227.7;27.0;04/09/2026;3
9;ANDINA;ANTIOQUIA;SAN ROQUE;05670;Alta;19.4;192.7;28.0;04/09/2026;3
10;ANDINA;ANTIOQUIA;TARAZ¡;05790;Alta;52.5;163.2;20.0;04/09/2026;3
11;ANDINA;ANTIOQUIA;VALDIVIA;05854;Alta;52.9;148.0;21.0;04/09/2026;3
12;ANDINA;ANTIOQUIA;YOLOMB”;05890;Alta;28.1;179.4;26.0;04/09/2026;3
13;ORINOQUÕA;ARAUCA;FORTUL;81300;Alta;28.3;51.8;26.0;04/09/2026;3
14;ORINOQUÕA;ARAUCA;SARAVENA;81736;Alta;87.9;127.0;27.0;04/09/2026;3
15;ANDINA;BOYAC¡;CAMPOHERMOSO;15135;Alta;6.0;83.8;30.0;04/09/2026;3
16;ANDINA;BOYAC¡;CUBAR¡;15223;Alta;87.3;138.1;27.0;04/09/2026;3
17;ANDINA;BOYAC¡;MACANAL;15425;Alta;22.1;109.0;28.0;04/09/2026;3
18;ANDINA;BOYAC¡;PAYA;15533;Alta;23.9;120.8;26.0;04/09/2026;3
19;AMAZONÕA;CAQUET¡;FLORENCIA;18001;Alta;14.2;121.6;24.0;04/09/2026;3
20;ORINOQUÕA;CASANARE;HATO COROZAL;85125;Alta;53.6;98.5;24.0;04/09/2026;3
21;ORINOQUÕA;CASANARE;MONTERREY;85162;Alta;15.7;100.6;28.0;04/09/2026;3
22;ORINOQUÕA;CASANARE;PAZ DE ARIPORO;85250;Alta;51.3;122.5;26.0;04/09/2026;3
23;ORINOQUÕA;CASANARE;S¡CAMA;85315;Alta;20.9;73.6;24.0;04/09/2026;3
24;ORINOQUÕA;CASANARE;T¡MARA;85400;Alta;33.3;116.7;25.0;04/09/2026;3
25;ORINOQUÕA;CASANARE;YOPAL;85001;Alta;17.1;102.2;24.0;04/09/2026;3
26;PACÕFICO;CAUCA;L”PEZ DE MICAY;19418;Alta;21.3;159.9;23.0;04/09/2026;3
27;PACÕFICO;CAUCA;PIAMONTE;19533;Alta;13.3;104.6;26.0;04/09/2026;3
28;PACÕFICO;CAUCA;SANTA ROSA;19701;Alta;26.0;70.6;27.0;04/09/2026;3
29;PACÕFICO;CHOC”;ALTO BAUD”;27025;Alta;52.1;351.4;27.0;04/09/2026;3
30;PACÕFICO;CHOC”;BAGAD”;27073;Alta;51.4;253.2;24.0;04/09/2026;3
31;PACÕFICO;CHOC”;BAHÕA SOLANO;27075;Alta;44.6;333.4;26.0;04/09/2026;3
32;PACÕFICO;CHOC”;BAJO BAUD”;27077;Alta;41.7;170.3;27.0;04/09/2026;3
33;PACÕFICO;CHOC”;BOJAY¡;27099;Alta;33.1;220.0;25.0;04/09/2026;3
34;PACÕFICO;CHOC”;C…RTEGUI;27160;Alta;96.7;408.3;27.0;04/09/2026;3
35;PACÕFICO;CHOC”;EL CANT”N DEL SAN PABLO;27135;Alta;84.4;299.4;27.0;04/09/2026;3
36;PACÕFICO;CHOC”;EL CARMEN DE ATRATO;27245;Alta;18.0;76.9;20.0;04/09/2026;3
37;PACÕFICO;CHOC”;LLOR”;27413;Alta;52.3;404.3;27.0;04/09/2026;3
38;PACÕFICO;CHOC”;MEDIO ATRATO;27425;Alta;30.5;344.4;26.0;04/09/2026;3
39;PACÕFICO;CHOC”;NUQUÕ;27495;Alta;46.4;334.8;27.0;04/09/2026;3
40;PACÕFICO;CHOC”;N”VITA;27491;Alta;43.3;137.1;24.0;04/09/2026;3
41;PACÕFICO;CHOC”;QUIBD”;27001;Alta;31.1;343.7;25.0;04/09/2026;3
42;PACÕFICO;CHOC”;RÕO IR”;27580;Alta;47.4;172.4;26.0;04/09/2026;3
43;PACÕFICO;CHOC”;RÕO QUITO;27600;Alta;55.6;464.9;27.0;04/09/2026;3
44;PACÕFICO;CHOC”;TAD”;27787;Alta;51.8;200.3;25.0;04/09/2026;3
45;ANDINA;CUNDINAMARCA;F”MEQUE;25279;Alta;11.0;54.7;30.0;04/09/2026;3
46;ANDINA;CUNDINAMARCA;GACHAL¡;25293;Alta;38.7;160.3;29.0;04/09/2026;3
47;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;Alta;56.8;241.1;28.0;04/09/2026;3
48;ANDINA;CUNDINAMARCA;MEDINA;25438;Alta;11.9;97.3;27.0;04/09/2026;3
49;ANDINA;CUNDINAMARCA;UBAL¡;25839;Alta;37.1;160.3;29.0;04/09/2026;3
50;CARIBE;C”RDOBA;PUERTO LIBERTADOR;23580;Alta;38.5;161.6;20.0;04/09/2026;3
51;CARIBE;C”RDOBA;TIERRALTA;23807;Alta;21.4;109.1;21.0;04/09/2026;3
52;CARIBE;LA GUAJIRA;HATONUEVO;44378;Alta;-;-;-;04/09/2026;3
53;ORINOQUÕA;META;ACACÕAS;50006;Alta;23.0;127.8;27.0;04/09/2026;3
54;ORINOQUÕA;META;CUBARRAL;50223;Alta;29.2;137.9;26.0;04/09/2026;3
55;ORINOQUÕA;META;EL CASTILLO;50251;Alta;32.3;139.0;25.0;04/09/2026;3
56;ORINOQUÕA;META;SAN JUAN DE ARAMA;50683;Alta;24.6;124.6;25.0;04/09/2026;3
57;PACÕFICO;NARI—O;BARBACOAS;52079;Alta;23.3;158.3;28.0;04/09/2026;3
