OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION
1;ANDINA;ANTIOQUIA;ANORÍ;05040;ALTA;44.2;140.6;18.0;22/08/2026
2;ANDINA;ANTIOQUIA;APARTADÓ;05045;ALTA;61.0;88.9;23.0;22/08/2026
3;ANDINA;ANTIOQUIA;CAREPA;05147;ALTA;57.5;92.6;23.0;22/08/2026
4;ANDINA;ANTIOQUIA;CHIGORODÓ;05172;ALTA;64.0;99.1;23.0;22/08/2026
5;ANDINA;ANTIOQUIA;CÁCERES;05120;ALTA;32.7;131.0;18.0;22/08/2026
6;ANDINA;ANTIOQUIA;EL BAGRE;05250;ALTA;43.1;117.1;18.0;22/08/2026
7;ANDINA;ANTIOQUIA;GÓMEZ PLATA;05310;ALTA;29.1;152.8;20.0;22/08/2026
8;ANDINA;ANTIOQUIA;MUTATÁ;05480;ALTA;54.0;100.6;21.0;22/08/2026
9;ANDINA;ANTIOQUIA;REMEDIOS;05604;ALTA;72.9;173.0;21.0;22/08/2026
10;ANDINA;ANTIOQUIA;TURBO;05837;ALTA;83.6;124.6;22.0;22/08/2026
11;ANDINA;ANTIOQUIA;URRAO;05847;ALTA;45.7;80.4;12.0;22/08/2026
12;ANDINA;ANTIOQUIA;VIGÍA DEL FUERTE;05873;ALTA;67.4;141.5;17.0;22/08/2026
13;ANDINA;ANTIOQUIA;YOLOMBÓ;05890;ALTA;43.1;145.0;21.0;22/08/2026
14;ANDINA;BOYACÁ;CAMPOHERMOSO;15135;ALTA;50.1;126.8;30.0;22/08/2026
15;ANDINA;BOYACÁ;CHIVOR;15236;ALTA;76.1;158.5;28.0;22/08/2026
16;ANDINA;BOYACÁ;MACANAL;15425;ALTA;24.5;111.2;28.0;22/08/2026
17;ANDINA;BOYACÁ;PAYA;15533;ALTA;54.0;155.1;26.0;22/08/2026
18;ANDINA;BOYACÁ;SANTA MARÍA;15690;ALTA;36.9;140.9;29.0;22/08/2026
19;AMAZONÍA;CAQUETÁ;FLORENCIA;18001;ALTA;41.8;81.7;23.0;22/08/2026
20;ORINOQUÍA;CASANARE;MONTERREY;85162;ALTA;44.5;102.1;28.0;22/08/2026
21;ORINOQUÍA;CASANARE;NUNCHÍA;85225;ALTA;41.1;97.5;24.0;22/08/2026
22;ORINOQUÍA;CASANARE;PAZ DE ARIPORO;85250;ALTA;47.1;101.0;24.0;22/08/2026
23;ORINOQUÍA;CASANARE;PORE;85263;ALTA;39.3;97.7;22.0;22/08/2026
24;ORINOQUÍA;CASANARE;TÁMARA;85400;ALTA;53.3;233.8;24.0;22/08/2026
25;PACÍFICO;CAUCA;GUAPI;19318;ALTA;23.6;106.5;21.0;22/08/2026
26;PACÍFICO;CAUCA;LÓPEZ DE MICAY;19418;ALTA;24.6;104.3;22.0;22/08/2026
27;PACÍFICO;CAUCA;SANTA ROSA;19701;ALTA;23.4;53.8;26.0;22/08/2026
28;PACÍFICO;CAUCA;TIMBIQUÍ;19809;ALTA;64.0;143.9;25.0;22/08/2026
29;PACÍFICO;CHOCÓ;ALTO BAUDÓ;27025;ALTA;94.2;349.5;26.0;22/08/2026
30;PACÍFICO;CHOCÓ;BAGADÓ;27073;ALTA;81.3;204.6;20.0;22/08/2026
31;PACÍFICO;CHOCÓ;BAHÍA SOLANO;27075;ALTA;96.4;332.9;25.0;22/08/2026
32;PACÍFICO;CHOCÓ;BAJO BAUDÓ;27077;ALTA;72.6;214.6;25.0;22/08/2026
33;PACÍFICO;CHOCÓ;BOJAYÁ;27099;ALTA;62.4;219.2;23.0;22/08/2026
34;PACÍFICO;CHOCÓ;CONDOTO;27205;ALTA;41.7;133.3;24.0;22/08/2026
35;PACÍFICO;CHOCÓ;CÉRTEGUI;27160;ALTA;121.3;306.5;25.0;22/08/2026
36;PACÍFICO;CHOCÓ;EL CANTÓN DEL SAN PABLO;27135;ALTA;82.7;255.0;25.0;22/08/2026
37;PACÍFICO;CHOCÓ;EL CARMEN DE ATRATO;27245;ALTA;35.6;84.4;14.0;22/08/2026
38;PACÍFICO;CHOCÓ;JURADÓ;27372;ALTA;50.1;119.3;23.0;22/08/2026
39;PACÍFICO;CHOCÓ;LLORÓ;27413;ALTA;97.6;307.9;24.0;22/08/2026
40;PACÍFICO;CHOCÓ;MEDIO ATRATO;27425;ALTA;71.0;324.6;24.0;22/08/2026
41;PACÍFICO;CHOCÓ;MEDIO BAUDÓ;27430;ALTA;59.5;184.0;24.0;22/08/2026
42;PACÍFICO;CHOCÓ;NUQUÍ;27495;ALTA;95.4;356.9;26.0;22/08/2026
43;PACÍFICO;CHOCÓ;QUIBDÓ;27001;ALTA;67.0;322.2;23.0;22/08/2026
44;PACÍFICO;CHOCÓ;RIOSUCIO;27615;ALTA;57.2;104.8;23.0;22/08/2026
45;PACÍFICO;CHOCÓ;RÍO IRÓ;27580;ALTA;59.5;167.9;24.0;22/08/2026
46;PACÍFICO;CHOCÓ;RÍO QUITO;27600;ALTA;95.7;392.2;26.0;22/08/2026
47;PACÍFICO;CHOCÓ;TADÓ;27787;ALTA;84.6;201.1;22.0;22/08/2026
48;PACÍFICO;CHOCÓ;UNGUÍA;27800;ALTA;84.7;144.3;22.0;22/08/2026
49;ANDINA;CUNDINAMARCA;FÓMEQUE;25279;ALTA;24.7;64.2;29.0;22/08/2026
50;ANDINA;CUNDINAMARCA;GACHALÁ;25293;ALTA;30.2;110.5;30.0;22/08/2026
51;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;ALTA;44.4;204.5;28.0;22/08/2026
52;ANDINA;CUNDINAMARCA;MEDINA;25438;ALTA;20.9;108.3;28.0;22/08/2026
