COD_MUN,DEPARTAMENTO,MUNICIPIO,TMIN_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,20.0,11774585
91405,Amazonas,La Chorrera,19.7,14165931
91407,Amazonas,La Pedrera,18.6,15175784
91430,Amazonas,La Victoria,19.3,1598379
91001,Amazonas,Leticia,19.7,6727268
91460,Amazonas,Miriti-Parana,18.4,18820064
91530,Amazonas,Puerto Alegria,19.5,9291534
91536,Amazonas,Puerto Arica,19.4,15153174
91540,Amazonas,Puerto Narino,20.1,1587068
91669,Amazonas,Santander,19.1,16457477
91798,Amazonas,Tarapaca,19.4,10077628
05002,Antioquia,Abejorral,8.2,569818
05004,Antioquia,Abriaqui,3.7,333936
05021,Antioquia,Alejandria,11.2,145063
05030,Antioquia,Amaga,10.9,94539
05031,Antioquia,Amalfi,11.5,1362016
05034,Antioquia,Andes,3.7,451890
05036,Antioquia,Angelopolis,8.1,92005
05038,Antioquia,Angostura,7.6,381134
05040,Antioquia,Anori,11.8,1593171
05044,Antioquia,Anza,7.7,287675
05045,Antioquia,Apartado,20.3,603077
05051,Antioquia,Arboletes,22.7,851162
05055,Antioquia,Argelia,5.4,275658
05059,Antioquia,Armenia,11.9,124098
05079,Antioquia,Barbosa,8.2,231400
05088,Antioquia,Bello,7.0,166318
05086,Antioquia,Belmira,5.5,333209
05091,Antioquia,Betania,2.6,202703
05093,Antioquia,Betulia,5.4,294857
05107,Antioquia,Briceno,7.9,423900
05113,Antioquia,Buritica,9.0,399678
05125,Antioquia,Caicedo,3.3,225000
05129,Antioquia,Caldas,6.3,149249
05134,Antioquia,Campamento,9.1,261516
05142,Antioquia,Caracoli,18.2,295686
05145,Antioquia,Caramanta,7.3,103393
05147,Antioquia,Carepa,19.1,436264
05148,Antioquia,Carmen De Viboral,6.7,476206
05150,Antioquia,Carolina,9.1,168392
05154,Antioquia,Caucasia,23.0,1612931
05138,Antioquia,Canasgordas,5.6,410500
05172,Antioquia,Chigorodo,18.6,812701
05190,Antioquia,Cisneros,13.0,52830
05101,Antioquia,Ciudad Bolivar,4.0,296221
05197,Antioquia,Cocorna,9.0,271796
05206,Antioquia,Concepcion,8.4,227278
05209,Antioquia,Concordia,9.4,278528
05212,Antioquia,Copacabana,8.7,76412
05120,Antioquia,Caceres,18.7,2113418
05234,Antioquia,Dabeiba,5.4,2201979
05237,Antioquia,Donmatias,8.1,228757
05240,Antioquia,Ebejico,8.8,267317
05250,Antioquia,El Bagre,19.1,1760318
05607,Antioquia,El Retiro,6.3,272023
05264,Antioquia,Entrerrios,6.3,240971
05266,Antioquia,Envigado,6.7,89961
05282,Antioquia,Fredonia,9.7,289963
05284,Antioquia,Frontino,3.9,1556209
05306,Antioquia,Giraldo,6.1,105158
05308,Antioquia,Girardota,9.1,93182
05313,Antioquia,Granada,8.4,213883
05315,Antioquia,Guadalupe,12.0,133112
05318,Antioquia,Guarne,8.3,171165
05321,Antioquia,Guatape,9.7,93722
05310,Antioquia,Gomez Plata,11.1,373943
05347,Antioquia,Heliconia,8.6,129116
05353,Antioquia,Hispania,13.0,60851
05360,Antioquia,Itagui,11.7,21942
05361,Antioquia,Ituango,6.1,3200283
05364,Antioquia,Jardin,6.6,225853
05368,Antioquia,Jerico,9.2,230278
05376,Antioquia,La Ceja,7.3,149154
05380,Antioquia,La Estrella,8.1,41419
05390,Antioquia,La Pintada,15.5,61022
05400,Antioquia,La Union,6.7,188508
05411,Antioquia,Liborina,5.6,243496
05425,Antioquia,Maceo,17.1,435772
05440,Antioquia,Marinilla,8.7,129182
05001,Antioquia,Medellin,6.9,419962
