OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
1;ANDINA;ANTIOQUIA;MUTAT¡;05480;Alta;15/07/2026;49.4;104.6;26.0;3
2;ORINOQUÕA;ARAUCA;FORTUL;81300;Alta;15/07/2026;11.3;137.2;27.0;3
3;ORINOQUÕA;ARAUCA;SARAVENA;81736;Alta;15/07/2026;19.7;179.4;26.0;3
4;ORINOQUÕA;ARAUCA;TAME;81794;Alta;15/07/2026;6.7;144.6;25.0;3
5;ANDINA;BOYAC¡;CUBAR¡;15223;Alta;15/07/2026;27.5;250.1;27.0;3
6;ANDINA;BOYAC¡;MACANAL;15425;Alta;15/07/2026;16.3;112.1;30.0;3
7;ORINOQUÕA;CASANARE;HATO COROZAL;85125;Alta;15/07/2026;16.6;176.7;25.0;3
8;ORINOQUÕA;CASANARE;MONTERREY;85162;Alta;15/07/2026;34.4;128.7;29.0;3
9;ORINOQUÕA;CASANARE;S¡CAMA;85315;Alta;15/07/2026;8.4;133.7;26.0;3
10;ORINOQUÕA;CASANARE;T¡MARA;85400;Alta;15/07/2026;9.5;171.7;25.0;3
11;PACÕFICO;CAUCA;L”PEZ DE MICAY;19418;Alta;15/07/2026;9.2;132.9;26.0;3
12;PACÕFICO;CAUCA;SANTA ROSA;19701;Alta;15/07/2026;19.3;69.2;28.0;3
13;PACÕFICO;CHOC”;BAGAD”;27073;Alta;15/07/2026;26.7;102.8;23.0;3
14;PACÕFICO;CHOC”;BAHÕA SOLANO;27075;Alta;15/07/2026;34.9;128.6;27.0;3
15;PACÕFICO;CHOC”;BOJAY¡;27099;Alta;15/07/2026;34.1;84.2;23.0;3
16;PACÕFICO;CHOC”;LLOR”;27413;Alta;15/07/2026;36.5;157.3;27.0;3
17;PACÕFICO;CHOC”;TAD”;27787;Alta;15/07/2026;33.1;93.6;23.0;3
18;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;Alta;15/07/2026;9.1;210.9;29.0;3
19;ANDINA;CUNDINAMARCA;MEDINA;25438;Alta;15/07/2026;25.9;134.6;30.0;3
20;CARIBE;MAGDALENA;ARACATACA;47053;Alta;15/07/2026;29.2;36.3;8.0;3
21;ORINOQUÕA;META;CUBARRAL;50223;Alta;15/07/2026;24.8;95.9;30.0;3
22;ORINOQUÕA;META;EL CASTILLO;50251;Alta;15/07/2026;27.7;119.1;29.0;3
23;ORINOQUÕA;META;GUAMAL;50318;Alta;15/07/2026;16.8;76.4;29.0;3
24;ORINOQUÕA;META;SAN JUAN DE ARAMA;50683;Alta;15/07/2026;37.1;102.3;29.0;3
25;PACÕFICO;NARI—O;MAG‹Õ;52427;Alta;15/07/2026;10.3;184.0;27.0;3
26;ANDINA;NORTE DE SANTANDER;TOLEDO;54820;Alta;15/07/2026;26.2;182.8;28.0;3
27;AMAZONÕA;PUTUMAYO;MOCOA;86001;Alta;15/07/2026;39.1;140.5;29.0;3
28;AMAZONÕA;PUTUMAYO;SAN FRANCISCO;86755;Alta;15/07/2026;40.5;202.3;30.0;3
29;PACÕFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;Alta;15/07/2026;11.4;110.6;23.0;3
30;ANDINA;ANTIOQUIA;ARGELIA;05055;Baja;15/07/2026;64.9;69.9;15.0;1
31;ANDINA;ANTIOQUIA;BRICE—O;05107;Baja;15/07/2026;-;-;-;1
32;ANDINA;ANTIOQUIA;MURIND”;05475;Baja;15/07/2026;33.2;50.2;17.0;1
33;ANDINA;ANTIOQUIA;NARI—O;05483;Baja;15/07/2026;32.8;34.4;13.0;1
34;ANDINA;ANTIOQUIA;TARAZ¡;05790;Baja;15/07/2026;-;-;-;1
35;ANDINA;ANTIOQUIA;VALDIVIA;05854;Baja;15/07/2026;-;-;-;1
36;ANDINA;ANTIOQUIA;VIGÕA DEL FUERTE;05873;Baja;15/07/2026;46.2;69.8;18.0;1
37;ANDINA;BOYAC¡;AQUITANIA;15047;Baja;15/07/2026;6.7;94.5;29.0;1
38;ANDINA;BOYAC¡;CHITA;15183;Baja;15/07/2026;9.8;91.2;22.0;1
39;ANDINA;BOYAC¡;GARAGOA;15299;Baja;15/07/2026;12.0;70.8;30.0;1
40;ANDINA;BOYAC¡;GUAYAT¡;15325;Baja;15/07/2026;9.5;96.2;30.0;1
41;ANDINA;BOYAC¡;MONGUA;15464;Baja;15/07/2026;11.8;109.3;28.0;1
42;ANDINA;BOYAC¡;SOMONDOCO;15761;Baja;15/07/2026;11.2;71.5;28.0;1
43;AMAZONÕA;CAQUET¡;BEL…N DE LOS ANDAQUÕES;18094;Baja;15/07/2026;-;-;-;1
44;AMAZONÕA;CAQUET¡;FLORENCIA;18001;Baja;15/07/2026;-;-;-;1
45;AMAZONÕA;CAQUET¡;MORELIA;18479;Baja;15/07/2026;-;-;-;1
46;ORINOQUÕA;CASANARE;AGUAZUL;85010;Baja;15/07/2026;9.5;85.0;28.0;1
47;ORINOQUÕA;CASANARE;CH¡MEZA;85015;Baja;15/07/2026;18.0;75.5;29.0;1
48;ORINOQUÕA;CASANARE;PORE;85263;Baja;15/07/2026;6.1;191.2;25.0;1
49;ORINOQUÕA;CASANARE;RECETOR;85279;Baja;15/07/2026;16.2;99.1;29.0;1
50;PACÕFICO;CAUCA;GUAPI;19318;Baja;15/07/2026;8.4;127.4;27.0;1
51;PACÕFICO;CAUCA;TIMBIQUÕ;19809;Baja;15/07/2026;6.4;149.1;28.0;1
52;PACÕFICO;CHOC”;ACANDÕ;27006;Baja;15/07/2026;13.1;64.6;27.0;1
