OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION
1;ANDINA;BOYACÁ;CHÍQUIZA;15232;ALTA;09/04/2026
2;ANDINA;BOYACÁ;VILLA DE LEYVA;15407;ALTA;09/04/2026
3;PACÍFICO;CAUCA;BOLÍVAR;19100;ALTA;09/04/2026
4;PACÍFICO;CAUCA;INZÁ;19355;ALTA;09/04/2026
5;PACÍFICO;CAUCA;MERCADERES;19450;ALTA;09/04/2026
6;PACÍFICO;CAUCA;POPAYÁN;19001;ALTA;09/04/2026
7;PACÍFICO;CAUCA;PURACÉ;19585;ALTA;09/04/2026
8;PACÍFICO;CAUCA;PÁEZ;19517;ALTA;09/04/2026
9;PACÍFICO;CAUCA;SILVIA;19743;ALTA;09/04/2026
10;PACÍFICO;CAUCA;SOTARÁ PAISPAMBA;19760;ALTA;09/04/2026
11;PACÍFICO;CAUCA;TOTORÓ;19824;ALTA;09/04/2026
12;ANDINA;HUILA;PALERMO;41524;ALTA;09/04/2026
13;ANDINA;HUILA;SANTA MARÍA;41676;ALTA;09/04/2026
14;ANDINA;HUILA;TERUEL;41801;ALTA;09/04/2026
15;ANDINA;HUILA;TESALIA;41797;ALTA;09/04/2026
16;ANDINA;HUILA;YAGUARÁ;41885;ALTA;09/04/2026
17;ANDINA;HUILA;ÍQUIRA;41357;ALTA;09/04/2026
18;CARIBE;LA GUAJIRA;URIBIA;44847;ALTA;09/04/2026
19;PACÍFICO;NARIÑO;LEIVA;52405;ALTA;09/04/2026
20;ANDINA;TOLIMA;ATACO;73067;ALTA;09/04/2026
21;ANDINA;TOLIMA;GUAMO;73319;ALTA;09/04/2026
22;ANDINA;TOLIMA;ORTEGA;73504;ALTA;09/04/2026
23;CARIBE;ATLÁNTICO;POLONUEVO;08558;BAJA;09/04/2026
24;CARIBE;ATLÁNTICO;SOLEDAD;08758;BAJA;09/04/2026
25;ANDINA;BOYACÁ;CERINZA;15162;BAJA;09/04/2026
26;ANDINA;BOYACÁ;CHIQUINQUIRÁ;15176;BAJA;09/04/2026
27;ANDINA;BOYACÁ;DUITAMA;15238;BAJA;09/04/2026
28;ANDINA;BOYACÁ;FLORESTA;15276;BAJA;09/04/2026
29;ANDINA;BOYACÁ;GACHANTIVÁ;15293;BAJA;09/04/2026
30;ANDINA;BOYACÁ;MONIQUIRÁ;15469;BAJA;09/04/2026
31;ANDINA;BOYACÁ;PAIPA;15516;BAJA;09/04/2026
32;ANDINA;BOYACÁ;SABOYÁ;15632;BAJA;09/04/2026
33;ANDINA;BOYACÁ;SANTA ROSA DE VITERBO;15693;BAJA;09/04/2026
34;ANDINA;BOYACÁ;SOTAQUIRÁ;15763;BAJA;09/04/2026
35;ANDINA;BOYACÁ;TINJACÁ;15808;BAJA;09/04/2026
36;PACÍFICO;CAUCA;LA SIERRA;19392;BAJA;09/04/2026
37;PACÍFICO;CAUCA;PATÍA;19532;BAJA;09/04/2026
38;ANDINA;CUNDINAMARCA;AGUA DE DIOS;25001;BAJA;09/04/2026
39;ANDINA;CUNDINAMARCA;APULO;25599;BAJA;09/04/2026
40;ANDINA;CUNDINAMARCA;COGUA;25200;BAJA;09/04/2026
41;ANDINA;CUNDINAMARCA;EL COLEGIO;25245;BAJA;09/04/2026
42;ANDINA;CUNDINAMARCA;GUATAQUÍ;25324;BAJA;09/04/2026
43;ANDINA;CUNDINAMARCA;LA MESA;25386;BAJA;09/04/2026
44;ANDINA;CUNDINAMARCA;LA PEÑA;25398;BAJA;09/04/2026
45;ANDINA;CUNDINAMARCA;NIMAIMA;25489;BAJA;09/04/2026
46;ANDINA;CUNDINAMARCA;NOCAIMA;25491;BAJA;09/04/2026
47;ANDINA;CUNDINAMARCA;PACHO;25513;BAJA;09/04/2026
48;ANDINA;CUNDINAMARCA;PAIME;25518;BAJA;09/04/2026
49;ANDINA;CUNDINAMARCA;RICAURTE;25612;BAJA;09/04/2026
50;ANDINA;CUNDINAMARCA;SAN CAYETANO;25653;BAJA;09/04/2026
51;ANDINA;CUNDINAMARCA;SUBACHOQUE;25769;BAJA;09/04/2026
52;ANDINA;CUNDINAMARCA;TAUSA;25793;BAJA;09/04/2026
53;ANDINA;CUNDINAMARCA;TENA;25797;BAJA;09/04/2026
54;ANDINA;CUNDINAMARCA;TIBACUY;25805;BAJA;09/04/2026
55;ANDINA;CUNDINAMARCA;VENECIA;25506;BAJA;09/04/2026
56;ANDINA;CUNDINAMARCA;VERGARA;25862;BAJA;09/04/2026
57;ANDINA;CUNDINAMARCA;VILLAGÓMEZ;25871;BAJA;09/04/2026
58;ANDINA;CUNDINAMARCA;VILLETA;25875;BAJA;09/04/2026
59;ANDINA;CUNDINAMARCA;ZIPAQUIRÁ;25899;BAJA;09/04/2026
60;ANDINA;CUNDINAMARCA;ÚTICA;25851;BAJA;09/04/2026
61;CARIBE;CÓRDOBA;CIÉNAGA DE ORO;23189;BAJA;09/04/2026
62;CARIBE;CÓRDOBA;MONTERÍA;23001;BAJA;09/04/2026
63;ANDINA;HUILA;GARZÓN;41298;BAJA;09/04/2026
64;ANDINA;HUILA;HOBO;41349;BAJA;09/04/2026
65;ANDINA;HUILA;ISNOS;41359;BAJA;09/04/2026
66;ANDINA;HUILA;NEIVA;41001;BAJA;09/04/2026
67;ANDINA;HUILA;NÁTAGA;41483;BAJA;09/04/2026
68;ANDINA;HUILA;VILLAVIEJA;41872;BAJA;09/04/2026
69;PACÍFICO;NARIÑO;CUASPUD CARLOSAMA;52224;BAJA;09/04/2026
70;PACÍFICO;NARIÑO;CUMBITARA;52233;BAJA;09/04/2026
71;PACÍFICO;NARIÑO;ILES;52352;BAJA;09/04/2026
72;PACÍFICO;NARIÑO;LA CRUZ;52378;BAJA;09/04/2026
73;PACÍFICO;NARIÑO;NARIÑO;52480;BAJA;09/04/2026
74;PACÍFICO;NARIÑO;OSPINA;52506;BAJA;09/04/2026
75;PACÍFICO;NARIÑO;SANTACRUZ;52699;BAJA;09/04/2026
76;PACÍFICO;NARIÑO;TÚQUERRES;52838;BAJA;09/04/2026
77;ANDINA;NORTE DE SANTANDER;BOCHALEMA;54099;BAJA;09/04/2026
78;ANDINA;NORTE DE SANTANDER;CÁCOTA;54125;BAJA;09/04/2026
79;ANDINA;NORTE DE SANTANDER;MUTISCUA;54480;BAJA;09/04/2026
80;ANDINA;NORTE DE SANTANDER;PAMPLONA;54518;BAJA;09/04/2026
81;ANDINA;NORTE DE SANTANDER;PAMPLONITA;54520;BAJA;09/04/2026
82;ANDINA;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54001;BAJA;09/04/2026
83;ANDINA;NORTE DE SANTANDER;SANTIAGO;54680;BAJA;09/04/2026
84;ANDINA;NORTE DE SANTANDER;SILOS;54743;BAJA;09/04/2026
85;ANDINA;SANTANDER;ALBANIA;68020;BAJA;09/04/2026
86;ANDINA;SANTANDER;GÁMBITA;68298;BAJA;09/04/2026
87;ANDINA;SANTANDER;PUENTE NACIONAL;68572;BAJA;09/04/2026
88;ANDINA;SANTANDER;VETAS;68867;BAJA;09/04/2026
89;ANDINA;SANTANDER;ZAPATOCA;68895;BAJA;09/04/2026
90;ANDINA;TOLIMA;ALPUJARRA;73024;BAJA;09/04/2026
91;ANDINA;TOLIMA;CARMEN DE APICALÁ;73148;ALTA;09/04/2026
92;ANDINA;TOLIMA;CUNDAY;73226;BAJA;09/04/2026
93;ANDINA;TOLIMA;DOLORES;73236;BAJA;09/04/2026
94;ANDINA;TOLIMA;FLANDES;73275;BAJA;09/04/2026
95;ANDINA;TOLIMA;IBAGUÉ;73001;BAJA;09/04/2026
96;ANDINA;TOLIMA;ICONONZO;73352;BAJA;09/04/2026
97;ANDINA;TOLIMA;LÍBANO;73411;BAJA;09/04/2026
98;ANDINA;TOLIMA;MELGAR;73449;BAJA;09/04/2026
99;ANDINA;TOLIMA;PLANADAS;73555;BAJA;09/04/2026
100;ANDINA;TOLIMA;SUÁREZ;73770;ALTA;09/04/2026
101;ANDINA;TOLIMA;VILLAHERMOSA;73870;BAJA;09/04/2026
102;PACÍFICO;VALLE DEL CAUCA;JAMUNDÍ;76364;BAJA;09/04/2026
103;ANDINA;BOYACÁ;SANTA SOFÍA;15696;MODERADA;09/04/2026
104;ANDINA;BOYACÁ;SUTAMARCHÁN;15776;MODERADA;09/04/2026
105;ANDINA;BOYACÁ;SÁCHICA;15638;MODERADA;09/04/2026
106;PACÍFICO;CAUCA;ALMAGUER;19022;MODERADA;09/04/2026
107;PACÍFICO;CAUCA;BALBOA;19075;MODERADA;09/04/2026
108;PACÍFICO;CAUCA;CAJIBÍO;19130;MODERADA;09/04/2026
109;PACÍFICO;CAUCA;FLORENCIA;19290;MODERADA;09/04/2026
110;PACÍFICO;CAUCA;JAMBALÓ;19364;MODERADA;09/04/2026
111;PACÍFICO;CAUCA;LA VEGA;19397;MODERADA;09/04/2026
112;PACÍFICO;CAUCA;PIENDAMÓ - TUNÍA;19548;MODERADA;09/04/2026
113;PACÍFICO;CAUCA;SUCRE;19785;MODERADA;09/04/2026
114;PACÍFICO;CAUCA;TORIBÍO;19821;MODERADA;09/04/2026
115;ANDINA;CUNDINAMARCA;NILO;25488;MODERADA;09/04/2026
116;ANDINA;CUNDINAMARCA;TOCAIMA;25815;MODERADA;09/04/2026
117;ANDINA;CUNDINAMARCA;VIOTÁ;25878;MODERADA;09/04/2026
118;ANDINA;HUILA;AIPE;41016;MODERADA;09/04/2026
119;ANDINA;HUILA;CAMPOALEGRE;41132;MODERADA;09/04/2026
120;ANDINA;HUILA;RIVERA;41615;MODERADA;09/04/2026
121;CARIBE;LA GUAJIRA;MANAURE;44560;MODERADA;09/04/2026
122;PACÍFICO;NARIÑO;ALBÁN;52019;MODERADA;09/04/2026
123;PACÍFICO;NARIÑO;ANCUYA;52036;MODERADA;09/04/2026
124;PACÍFICO;NARIÑO;ARBOLEDA;52051;MODERADA;09/04/2026
125;PACÍFICO;NARIÑO;BELÉN;52083;MODERADA;09/04/2026
126;PACÍFICO;NARIÑO;BUESACO;52110;MODERADA;09/04/2026
127;PACÍFICO;NARIÑO;CHACHAGÜÍ;52240;MODERADA;09/04/2026
128;PACÍFICO;NARIÑO;COLÓN;52203;MODERADA;09/04/2026
129;PACÍFICO;NARIÑO;CONSACÁ;52207;MODERADA;09/04/2026
130;PACÍFICO;NARIÑO;CUMBAL;52227;MODERADA;09/04/2026
131;PACÍFICO;NARIÑO;EL CHARCO;52250;MODERADA;09/04/2026
132;PACÍFICO;NARIÑO;EL PEÑOL;52254;MODERADA;09/04/2026
133;PACÍFICO;NARIÑO;EL ROSARIO;52256;MODERADA;09/04/2026
134;PACÍFICO;NARIÑO;EL TABLÓN DE GÓMEZ;52258;MODERADA;09/04/2026
135;PACÍFICO;NARIÑO;EL TAMBO;52260;MODERADA;09/04/2026
136;PACÍFICO;NARIÑO;GUACHUCAL;52317;MODERADA;09/04/2026
137;PACÍFICO;NARIÑO;GUAITARILLA;52320;MODERADA;09/04/2026
138;PACÍFICO;NARIÑO;IMUÉS;52354;MODERADA;09/04/2026
139;PACÍFICO;NARIÑO;LA FLORIDA;52381;MODERADA;09/04/2026
140;PACÍFICO;NARIÑO;LA UNIÓN;52399;MODERADA;09/04/2026
141;PACÍFICO;NARIÑO;LINARES;52411;MODERADA;09/04/2026
142;PACÍFICO;NARIÑO;LOS ANDES;52418;MODERADA;09/04/2026
143;PACÍFICO;NARIÑO;MALLAMA;52435;MODERADA;09/04/2026
144;PACÍFICO;NARIÑO;PASTO;52001;MODERADA;09/04/2026
145;PACÍFICO;NARIÑO;POLICARPA;52540;MODERADA;09/04/2026
146;PACÍFICO;NARIÑO;SAN BERNARDO;52685;MODERADA;09/04/2026
147;PACÍFICO;NARIÑO;SAN LORENZO;52687;MODERADA;09/04/2026
148;PACÍFICO;NARIÑO;SAN PABLO;52693;MODERADA;09/04/2026
149;PACÍFICO;NARIÑO;SAN PEDRO DE CARTAGO;52694;MODERADA;09/04/2026
150;PACÍFICO;NARIÑO;SANDONÁ;52683;MODERADA;09/04/2026
151;PACÍFICO;NARIÑO;SAPUYES;52720;MODERADA;09/04/2026
152;PACÍFICO;NARIÑO;TAMINANGO;52786;MODERADA;09/04/2026
153;ANDINA;NORTE DE SANTANDER;ARBOLEDAS;54051;MODERADA;09/04/2026
154;ANDINA;NORTE DE SANTANDER;CUCUTILLA;54223;MODERADA;09/04/2026
155;ANDINA;NORTE DE SANTANDER;DURANIA;54239;MODERADA;09/04/2026
156;ANDINA;NORTE DE SANTANDER;EL ZULIA;54261;MODERADA;09/04/2026
157;ANDINA;NORTE DE SANTANDER;SALAZAR;54660;MODERADA;09/04/2026
158;ANDINA;TOLIMA;CHAPARRAL;73168;MODERADA;09/04/2026
159;ANDINA;TOLIMA;COELLO;73200;MODERADA;09/04/2026
160;ANDINA;TOLIMA;COYAIMA;73217;MODERADA;09/04/2026
161;ANDINA;TOLIMA;ESPINAL;73268;MODERADA;09/04/2026
162;ANDINA;TOLIMA;NATAGAIMA;73483;MODERADA;09/04/2026
163;ANDINA;TOLIMA;PRADO;73563;MODERADA;09/04/2026
164;ANDINA;TOLIMA;PURIFICACIÓN;73585;MODERADA;09/04/2026
165;ANDINA;TOLIMA;RIOBLANCO;73616;MODERADA;09/04/2026
166;ANDINA;TOLIMA;ROVIRA;73624;MODERADA;09/04/2026
167;ANDINA;TOLIMA;SALDAÑA;73671;MODERADA;09/04/2026
168;ANDINA;TOLIMA;SAN LUIS;73678;MODERADA;09/04/2026
169;ANDINA;TOLIMA;VALLE DE SAN JUAN;73854;MODERADA;09/04/2026
170;PACÍFICO;VALLE DEL CAUCA;SANTIAGO DE CALI;76001;ALTA;09/04/2026
171;PACÍFICO;VALLE DEL CAUCA;RIOFRÍO;76616;ALTA;09/04/2026
