OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
1;ANDINA;ANTIOQUIA;EL BAGRE;05250;Alta;21/09/2026;42.5;125.3;21.0;3
2;ANDINA;ANTIOQUIA;GÓMEZ PLATA;05310;Alta;21/09/2026;25.9;74.6;23.0;3
3;ORINOQUÍA;ARAUCA;FORTUL;81300;Alta;21/09/2026;3.6;87.2;27.0;3
4;ORINOQUÍA;ARAUCA;SARAVENA;81736;Alta;21/09/2026;9.2;157.5;29.0;3
5;ANDINA;BOYACÁ;CUBARÁ;15223;Alta;21/09/2026;24.8;226.7;29.0;3
6;PACÍFICO;CAUCA;EL TAMBO;19256;Alta;21/09/2026;32.0;79.9;17.0;3
7;PACÍFICO;CAUCA;LÓPEZ DE MICAY;19418;Alta;21/09/2026;37.8;153.2;26.0;3
8;PACÍFICO;CAUCA;SANTA ROSA;19701;Alta;21/09/2026;7.2;84.7;27.0;3
9;PACÍFICO;CAUCA;TIMBIQUÍ;19809;Alta;21/09/2026;32.0;143.1;27.0;3
10;PACÍFICO;CHOCÓ;ALTO BAUDÓ;27025;Alta;21/09/2026;63.2;258.0;30.0;3
11;PACÍFICO;CHOCÓ;BAGADÓ;27073;Alta;21/09/2026;63.8;175.5;27.0;3
12;PACÍFICO;CHOCÓ;BAHÍA SOLANO;27075;Alta;21/09/2026;36.8;170.8;30.0;3
13;PACÍFICO;CHOCÓ;BAJO BAUDÓ;27077;Alta;21/09/2026;77.3;342.6;30.0;3
14;PACÍFICO;CHOCÓ;BOJAYÁ;27099;Alta;21/09/2026;20.2;72.0;29.0;3
15;PACÍFICO;CHOCÓ;CONDOTO;27205;Alta;21/09/2026;92.6;338.8;28.0;3
16;PACÍFICO;CHOCÓ;CÉRTEGUI;27160;Alta;21/09/2026;86.8;307.2;30.0;3
17;PACÍFICO;CHOCÓ;EL CANTÓN DEL SAN PABLO;27135;Alta;21/09/2026;79.9;345.7;30.0;3
18;PACÍFICO;CHOCÓ;EL LITORAL DEL SAN JUAN;27250;Alta;21/09/2026;38.9;72.0;23.0;3
19;PACÍFICO;CHOCÓ;ISTMINA;27361;Alta;21/09/2026;86.3;303.7;28.0;3
20;PACÍFICO;CHOCÓ;LLORÓ;27413;Alta;21/09/2026;63.1;204.8;30.0;3
21;PACÍFICO;CHOCÓ;MEDIO BAUDÓ;27430;Alta;21/09/2026;78.5;400.2;30.0;3
22;PACÍFICO;CHOCÓ;NUQUÍ;27495;Alta;21/09/2026;58.2;254.9;30.0;3
23;PACÍFICO;CHOCÓ;NÓVITA;27491;Alta;21/09/2026;87.7;321.1;28.0;3
24;PACÍFICO;CHOCÓ;QUIBDÓ;27001;Alta;21/09/2026;41.0;128.1;28.0;3
25;PACÍFICO;CHOCÓ;RÍO IRÓ;27580;Alta;21/09/2026;98.0;340.9;29.0;3
26;PACÍFICO;CHOCÓ;RÍO QUITO;27600;Alta;21/09/2026;60.0;207.0;30.0;3
27;PACÍFICO;CHOCÓ;SAN JOSÉ DEL PALMAR;27660;Alta;21/09/2026;66.1;170.0;19.0;3
28;PACÍFICO;CHOCÓ;SIPÍ;27745;Alta;21/09/2026;51.6;119.6;17.0;3
29;PACÍFICO;CHOCÓ;TADÓ;27787;Alta;21/09/2026;76.5;241.0;26.0;3
30;ANDINA;CUNDINAMARCA;MEDINA;25438;Alta;21/09/2026;15.1;119.4;27.0;3
31;CARIBE;LA GUAJIRA;BARRANCAS;44078;Alta;21/09/2026;-;-;-;3
32;ORINOQUÍA;META;CUBARRAL;50223;Alta;21/09/2026;2.9;158.6;24.0;3
33;ORINOQUÍA;META;CUMARAL;50226;Alta;21/09/2026;4.6;44.0;23.0;3
34;ORINOQUÍA;META;EL CALVARIO;50245;Alta;21/09/2026;26.3;136.8;29.0;3
35;ORINOQUÍA;META;RESTREPO;50606;Alta;21/09/2026;85.7;246.1;27.0;3
36;ORINOQUÍA;META;VILLAVICENCIO;50001;Alta;21/09/2026;16.2;75.1;23.0;3
37;PACÍFICO;NARIÑO;BARBACOAS;52079;Alta;21/09/2026;51.5;139.8;30.0;3
38;PACÍFICO;NARIÑO;EL CHARCO;52250;Alta;21/09/2026;59.7;95.7;20.0;3
39;PACÍFICO;NARIÑO;FRANCISCO PIZARRO;52520;Alta;21/09/2026;138.8;254.0;30.0;3
40;PACÍFICO;NARIÑO;MAGÜÍ;52427;Alta;21/09/2026;108.6;181.9;27.0;3
41;PACÍFICO;NARIÑO;ROBERTO PAYÁN;52621;Alta;21/09/2026;114.5;220.7;30.0;3
42;PACÍFICO;NARIÑO;SAN ANDRÉS DE TUMACO;52835;Alta;21/09/2026;66.5;224.0;30.0;3
43;PACÍFICO;NARIÑO;SANTA BÁRBARA;52696;Alta;21/09/2026;63.9;110.2;22.0;3
44;ANDINA;NORTE DE SANTANDER;TOLEDO;54820;Alta;21/09/2026;17.2;120.8;28.0;3
45;AMAZONÍA;PUTUMAYO;MOCOA;86001;Alta;21/09/2026;6.7;178.1;29.0;3
46;AMAZONÍA;PUTUMAYO;SAN FRANCISCO;86755;Alta;21/09/2026;9.7;150.7;29.0;3
47;AMAZONÍA;PUTUMAYO;SAN MIGUEL;86757;Alta;21/09/2026;-;-;-;3
48;ANDINA;ANTIOQUIA;ALEJANDRÍA;05021;Baja;21/09/2026;10.3;81.6;24.0;1
49;ANDINA;ANTIOQUIA;AMALFI;05031;Baja;21/09/2026;26.9;83.2;22.0;1
50;ANDINA;ANTIOQUIA;CHIGORODÓ;05172;Baja;21/09/2026;39.9;50.1;23.0;1
51;ANDINA;ANTIOQUIA;CISNEROS;05190;Baja;21/09/2026;23.1;63.0;24.0;1
52;ANDINA;ANTIOQUIA;COCORNÁ;05197;Baja;21/09/2026;7.7;30.7;20.0;1
53;ANDINA;ANTIOQUIA;DABEIBA;05234;Baja;21/09/2026;21.8;39.7;19.0;1
54;ANDINA;ANTIOQUIA;MURINDÓ;05475;Baja;21/09/2026;24.1;39.2;19.0;1
55;ANDINA;ANTIOQUIA;PUERTO BERRÍO;05579;Baja;21/09/2026;-;-;-;1
56;ANDINA;ANTIOQUIA;REMEDIOS;05604;Baja;21/09/2026;24.3;66.1;20.0;1
57;ANDINA;ANTIOQUIA;SAN FRANCISCO;05652;Baja;21/09/2026;8.5;31.7;20.0;1
58;ANDINA;ANTIOQUIA;SAN RAFAEL;05667;Baja;21/09/2026;7.8;102.6;24.0;1
59;ANDINA;ANTIOQUIA;SANTA ROSA DE OSOS;05686;Baja;21/09/2026;14.2;27.8;22.0;1
60;ANDINA;ANTIOQUIA;SANTO DOMINGO;05690;Baja;21/09/2026;25.0;88.1;24.0;1
61;ANDINA;ANTIOQUIA;VALDIVIA;05854;Baja;21/09/2026;-;-;-;1
62;ANDINA;ANTIOQUIA;VIGÍA DEL FUERTE;05873;Baja;21/09/2026;21.3;43.5;23.0;1
63;ANDINA;ANTIOQUIA;YOLOMBÓ;05890;Baja;21/09/2026;16.8;63.0;23.0;1
64;ANDINA;ANTIOQUIA;YONDÓ;05893;Baja;21/09/2026;-;-;-;1
65;ORINOQUÍA;ARAUCA;TAME;81794;Baja;21/09/2026;2.1;58.4;25.0;1
66;CARIBE;BOLÍVAR;ACHÍ;13006;Baja;21/09/2026;44.4;59.2;17.0;1
67;CARIBE;BOLÍVAR;SAN JACINTO DEL CAUCA;13655;Baja;21/09/2026;38.7;89.9;21.0;1
68;ANDINA;BOYACÁ;ALMEIDA;15022;Baja;21/09/2026;7.5;59.2;26.0;1
69;ANDINA;BOYACÁ;AQUITANIA;15047;Baja;21/09/2026;4.4;72.7;29.0;1
70;ANDINA;BOYACÁ;BERBEO;15090;Baja;21/09/2026;7.1;63.0;29.0;1
