COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,33.5,11774585
91405,Amazonas,La Chorrera,32.8,14165931
91407,Amazonas,La Pedrera,33.6,15175784
91430,Amazonas,La Victoria,32.9,1598379
91001,Amazonas,Leticia,33.8,6727268
91460,Amazonas,Miriti-Parana,33.6,18820064
91530,Amazonas,Puerto Alegria,32.1,9291534
91536,Amazonas,Puerto Arica,33.6,15153174
91540,Amazonas,Puerto Narino,33.8,1587068
91669,Amazonas,Santander,33.6,16457477
91798,Amazonas,Tarapaca,33.7,10077628
05002,Antioquia,Abejorral,33.0,569818
05004,Antioquia,Abriaqui,23.9,333936
05021,Antioquia,Alejandria,25.7,145063
05030,Antioquia,Amaga,32.1,94539
05031,Antioquia,Amalfi,33.7,1362016
05034,Antioquia,Andes,28.5,451890
05036,Antioquia,Angelopolis,30.2,92005
05038,Antioquia,Angostura,26.8,381134
05040,Antioquia,Anori,34.2,1593171
05044,Antioquia,Anza,33.3,287675
05045,Antioquia,Apartado,32.7,603077
05051,Antioquia,Arboletes,32.8,851162
05055,Antioquia,Argelia,32.9,275658
05059,Antioquia,Armenia,33.5,124098
05079,Antioquia,Barbosa,26.6,231400
05088,Antioquia,Bello,27.1,166318
05086,Antioquia,Belmira,20.4,333209
05091,Antioquia,Betania,28.8,202703
05093,Antioquia,Betulia,33.0,294857
05107,Antioquia,Briceno,31.0,423900
05113,Antioquia,Buritica,31.7,399678
05125,Antioquia,Caicedo,29.6,225000
05129,Antioquia,Caldas,27.5,149249
05134,Antioquia,Campamento,30.4,261516
05142,Antioquia,Caracoli,33.2,295686
05145,Antioquia,Caramanta,32.2,103393
05147,Antioquia,Carepa,33.0,436264
05148,Antioquia,Carmen De Viboral,27.9,476206
05150,Antioquia,Carolina,26.9,168392
05154,Antioquia,Caucasia,33.8,1612931
05138,Antioquia,Canasgordas,26.8,410500
05172,Antioquia,Chigorodo,33.0,812701
05190,Antioquia,Cisneros,27.1,52830
05101,Antioquia,Ciudad Bolivar,32.0,296221
05197,Antioquia,Cocorna,30.5,271796
05206,Antioquia,Concepcion,23.7,227278
05209,Antioquia,Concordia,33.7,278528
05212,Antioquia,Copacabana,26.6,76412
05120,Antioquia,Caceres,33.4,2113418
05234,Antioquia,Dabeiba,30.6,2201979
