OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION
1;ANDINA;ANTIOQUIA;ALEJANDRÍA;05021;ALTA;77.6;136.8;22.0;17/08/2026
2;ANDINA;ANTIOQUIA;AMALFI;05031;ALTA;88.5;122.4;20.0;17/08/2026
3;ANDINA;ANTIOQUIA;ANGOSTURA;05038;ALTA;60.3;90.0;18.0;17/08/2026
4;ANDINA;ANTIOQUIA;ANORÍ;05040;ALTA;90.8;117.3;18.0;17/08/2026
5;ANDINA;ANTIOQUIA;ARGELIA;05055;ALTA;64.1;69.5;18.0;17/08/2026
6;ANDINA;ANTIOQUIA;BETULIA;05093;ALTA;48.6;51.6;13.0;17/08/2026
7;ANDINA;ANTIOQUIA;CAROLINA;05150;ALTA;76.0;108.1;20.0;17/08/2026
8;ANDINA;ANTIOQUIA;CHIGORODÓ;05172;ALTA;32.6;130.3;24.0;17/08/2026
9;ANDINA;ANTIOQUIA;CISNEROS;05190;ALTA;91.7;158.6;21.0;17/08/2026
10;ANDINA;ANTIOQUIA;CONCEPCIÓN;05206;ALTA;62.0;89.1;21.0;17/08/2026
11;ANDINA;ANTIOQUIA;CÁCERES;05120;ALTA;94.0;99.8;19.0;17/08/2026
12;ANDINA;ANTIOQUIA;EL BAGRE;05250;ALTA;99.7;135.4;19.0;17/08/2026
13;ANDINA;ANTIOQUIA;GIRARDOTA;05308;ALTA;;;;17/08/2026
14;ANDINA;ANTIOQUIA;GUATAPÉ;05321;ALTA;69.8;103.0;20.0;17/08/2026
15;ANDINA;ANTIOQUIA;GÓMEZ PLATA;05310;ALTA;90.0;117.7;20.0;17/08/2026
16;ANDINA;ANTIOQUIA;ITUANGO;05361;ALTA;54.7;65.2;18.0;17/08/2026
17;ANDINA;ANTIOQUIA;MUTATÁ;05480;ALTA;55.7;124.6;22.0;17/08/2026
18;ANDINA;ANTIOQUIA;NECHÍ;05495;ALTA;87.7;120.2;19.0;17/08/2026
19;ANDINA;ANTIOQUIA;REMEDIOS;05604;ALTA;75.6;108.3;21.0;17/08/2026
20;ANDINA;ANTIOQUIA;SAN CARLOS;05649;ALTA;69.2;110.8;21.0;17/08/2026
21;ANDINA;ANTIOQUIA;SAN RAFAEL;05667;ALTA;77.9;146.9;22.0;17/08/2026
22;ANDINA;ANTIOQUIA;SAN ROQUE;05670;ALTA;76.4;135.0;22.0;17/08/2026
23;ANDINA;ANTIOQUIA;SANTA ROSA DE OSOS;05686;ALTA;55.0;73.3;17.0;17/08/2026
24;ANDINA;ANTIOQUIA;SANTO DOMINGO;05690;ALTA;85.5;158.0;21.0;17/08/2026
25;ANDINA;ANTIOQUIA;SEGOVIA;05736;ALTA;91.3;131.2;20.0;17/08/2026
26;ANDINA;ANTIOQUIA;VIGÍA DEL FUERTE;05873;ALTA;65.6;105.6;19.0;17/08/2026
27;ANDINA;ANTIOQUIA;YOLOMBÓ;05890;ALTA;75.8;119.6;21.0;17/08/2026
28;ANDINA;ANTIOQUIA;ZARAGOZA;05895;ALTA;113.9;134.9;19.0;17/08/2026
29;CARIBE;BOLÍVAR;ARENAL;13042;ALTA;69.8;74.5;13.0;17/08/2026
30;CARIBE;BOLÍVAR;CANTAGALLO;13160;ALTA;103.7;149.1;21.0;17/08/2026
31;CARIBE;BOLÍVAR;MONTECRISTO;13458;ALTA;87.6;106.3;18.0;17/08/2026
32;CARIBE;BOLÍVAR;MORALES;13473;ALTA;48.5;54.2;13.0;17/08/2026
33;CARIBE;BOLÍVAR;NOROSÍ;13490;ALTA;69.5;71.1;12.0;17/08/2026
34;CARIBE;BOLÍVAR;RÍO VIEJO;13600;ALTA;55.4;56.7;10.0;17/08/2026
35;CARIBE;BOLÍVAR;SAN JACINTO DEL CAUCA;13655;ALTA;58.3;75.7;19.0;17/08/2026
36;CARIBE;BOLÍVAR;SAN PABLO;13670;ALTA;85.6;148.4;19.0;17/08/2026
37;CARIBE;BOLÍVAR;SANTA ROSA DEL SUR;13688;ALTA;80.3;106.2;17.0;17/08/2026
38;CARIBE;BOLÍVAR;SIMITÍ;13744;ALTA;56.1;69.9;16.0;17/08/2026
39;CARIBE;BOLÍVAR;TIQUISIO;13810;ALTA;67.9;70.4;13.0;17/08/2026
40;ANDINA;BOYACÁ;ALMEIDA;15022;ALTA;45.5;90.3;27.0;17/08/2026
41;ANDINA;BOYACÁ;CAMPOHERMOSO;15135;ALTA;63.1;116.8;30.0;17/08/2026
42;ANDINA;BOYACÁ;GARAGOA;15299;ALTA;45.8;72.9;27.0;17/08/2026
43;ANDINA;BOYACÁ;MACANAL;15425;ALTA;61.1;109.3;27.0;17/08/2026
44;ANDINA;BOYACÁ;SAN LUIS DE GACENO;15667;ALTA;52.2;99.1;28.0;17/08/2026
