COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,32.5,11774585
91405,Amazonas,La Chorrera,32.4,14165931
91407,Amazonas,La Pedrera,32.6,15175784
91430,Amazonas,La Victoria,31.4,1598379
91001,Amazonas,Leticia,33.1,6727268
91460,Amazonas,Miriti-Parana,32.1,18820064
91530,Amazonas,Puerto Alegria,32.0,9291534
91536,Amazonas,Puerto Arica,32.9,15153174
91540,Amazonas,Puerto Narino,33.1,1587068
91669,Amazonas,Santander,32.5,16457477
91798,Amazonas,Tarapaca,33.0,10077628
05002,Antioquia,Abejorral,31.5,569818
05004,Antioquia,Abriaqui,22.7,333936
05021,Antioquia,Alejandria,25.1,145063
05030,Antioquia,Amaga,31.0,94539
05031,Antioquia,Amalfi,32.5,1362016
05034,Antioquia,Andes,27.5,451890
05036,Antioquia,Angelopolis,29.3,92005
05038,Antioquia,Angostura,25.3,381134
05040,Antioquia,Anori,32.2,1593171
05044,Antioquia,Anza,32.2,287675
05045,Antioquia,Apartado,32.1,603077
05051,Antioquia,Arboletes,31.1,851162
05055,Antioquia,Argelia,32.4,275658
05059,Antioquia,Armenia,32.6,124098
05079,Antioquia,Barbosa,25.9,231400
05088,Antioquia,Bello,26.1,166318
05086,Antioquia,Belmira,18.6,333209
05091,Antioquia,Betania,27.8,202703
05093,Antioquia,Betulia,32.2,294857
05107,Antioquia,Briceno,30.2,423900
05113,Antioquia,Buritica,30.4,399678
05125,Antioquia,Caicedo,28.4,225000
05129,Antioquia,Caldas,26.3,149249
05134,Antioquia,Campamento,27.7,261516
05142,Antioquia,Caracoli,32.9,295686
05145,Antioquia,Caramanta,30.6,103393
05147,Antioquia,Carepa,32.3,436264
05148,Antioquia,Carmen De Viboral,27.5,476206
05150,Antioquia,Carolina,26.4,168392
05154,Antioquia,Caucasia,32.3,1612931
05138,Antioquia,Canasgordas,25.8,410500
05172,Antioquia,Chigorodo,32.4,812701
05190,Antioquia,Cisneros,26.8,52830
05101,Antioquia,Ciudad Bolivar,31.0,296221
05197,Antioquia,Cocorna,30.1,271796
05206,Antioquia,Concepcion,23.1,227278
05209,Antioquia,Concordia,32.8,278528
05212,Antioquia,Copacabana,25.7,76412
05120,Antioquia,Caceres,32.3,2113418
05234,Antioquia,Dabeiba,30.5,2201979
05237,Antioquia,Donmatias,26.2,228757
05240,Antioquia,Ebejico,32.2,267317
05250,Antioquia,El Bagre,32.2,1760318
05607,Antioquia,El Retiro,23.2,272023
05264,Antioquia,Entrerrios,18.9,240971
05266,Antioquia,Envigado,25.0,89961
05282,Antioquia,Fredonia,32.2,289963
05284,Antioquia,Frontino,31.5,1556209
05306,Antioquia,Giraldo,27.8,105158
05308,Antioquia,Girardota,25.6,93182
05313,Antioquia,Granada,27.9,213883
05315,Antioquia,Guadalupe,29.4,133112
05318,Antioquia,Guarne,21.2,171165
05321,Antioquia,Guatape,21.7,93722
05310,Antioquia,Gomez Plata,29.3,373943
05347,Antioquia,Heliconia,30.6,129116
05353,Antioquia,Hispania,30.3,60851
05360,Antioquia,Itagui,25.1,21942
05361,Antioquia,Ituango,30.3,3200283
05364,Antioquia,Jardin,22.9,225853
05368,Antioquia,Jerico,32.2,230278
05376,Antioquia,La Ceja,25.6,149154
05380,Antioquia,La Estrella,25.1,41419
05390,Antioquia,La Pintada,31.5,61022
05400,Antioquia,La Union,20.3,188508
05411,Antioquia,Liborina,30.7,243496
05425,Antioquia,Maceo,31.6,435772
05440,Antioquia,Marinilla,21.2,129182
