OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
1;ANDINA;ANTIOQUIA;APARTAD”;05045;Alta;09/07/2026;38.4;181.1;26.0;3
2;ANDINA;ANTIOQUIA;TURBO;05837;Alta;09/07/2026;55.5;148.8;25.0;3
3;ANDINA;ANTIOQUIA;VALDIVIA;05854;Alta;09/07/2026;52.6;133.5;21.0;3
4;ORINOQUÕA;ARAUCA;FORTUL;81300;Alta;09/07/2026;46.7;122.8;25.0;3
5;ORINOQUÕA;ARAUCA;SARAVENA;81736;Alta;09/07/2026;61.8;141.4;24.0;3
6;ANDINA;BOYAC¡;ALMEIDA;15022;Alta;09/07/2026;34.4;153.5;29.0;3
7;ANDINA;BOYAC¡;CAMPOHERMOSO;15135;Alta;09/07/2026;43.8;171.4;30.0;3
8;ANDINA;BOYAC¡;CHITA;15183;Alta;09/07/2026;49.8;84.8;22.0;3
9;ANDINA;BOYAC¡;CHIVOR;15236;Alta;09/07/2026;39.3;169.6;30.0;3
10;ANDINA;BOYAC¡;CUBAR¡;15223;Alta;09/07/2026;68.5;186.6;25.0;3
11;ANDINA;BOYAC¡;LABRANZAGRANDE;15377;Alta;09/07/2026;74.8;212.1;27.0;3
12;ANDINA;BOYAC¡;MACANAL;15425;Alta;09/07/2026;37.0;160.7;30.0;3
13;ANDINA;BOYAC¡;MONGUA;15464;Alta;09/07/2026;56.6;120.0;26.0;3
14;ANDINA;BOYAC¡;PAYA;15533;Alta;09/07/2026;74.4;228.9;24.0;3
15;ANDINA;BOYAC¡;PISBA;15550;Alta;09/07/2026;80.7;224.2;24.0;3
16;ANDINA;BOYAC¡;SANTA MARÕA;15690;Alta;09/07/2026;36.0;211.6;30.0;3
17;ANDINA;BOYAC¡;ZETAQUIRA;15897;Alta;09/07/2026;25.7;98.2;30.0;3
18;ORINOQUÕA;CASANARE;MONTERREY;85162;Alta;09/07/2026;34.6;166.1;28.0;3
19;ORINOQUÕA;CASANARE;NUNCHÕA;85225;Alta;09/07/2026;55.3;190.1;23.0;3
20;ORINOQUÕA;CASANARE;S¡CAMA;85315;Alta;09/07/2026;59.2;166.0;24.0;3
21;ORINOQUÕA;CASANARE;T¡MARA;85400;Alta;09/07/2026;67.8;221.2;23.0;3
22;ORINOQUÕA;CASANARE;YOPAL;85001;Alta;09/07/2026;45.3;217.7;24.0;3
23;PACÕFICO;CAUCA;EL TAMBO;19256;Alta;09/07/2026;34.1;84.8;20.0;3
24;PACÕFICO;CAUCA;L”PEZ DE MICAY;19418;Alta;09/07/2026;63.1;196.6;27.0;3
25;PACÕFICO;CAUCA;TIMBIQUÕ;19809;Alta;09/07/2026;54.5;168.7;29.0;3
26;PACÕFICO;CHOC”;ALTO BAUD”;27025;Alta;09/07/2026;66.9;217.2;26.0;3
27;PACÕFICO;CHOC”;BAHÕA SOLANO;27075;Alta;09/07/2026;75.4;227.3;26.0;3
28;PACÕFICO;CHOC”;BAJO BAUD”;27077;Alta;09/07/2026;93.7;159.9;25.0;3
29;PACÕFICO;CHOC”;BOJAY¡;27099;Alta;09/07/2026;58.1;146.3;22.0;3
30;PACÕFICO;CHOC”;CONDOTO;27205;Alta;09/07/2026;119.4;159.7;24.0;3
31;PACÕFICO;CHOC”;EL CANT”N DEL SAN PABLO;27135;Alta;09/07/2026;90.0;209.6;25.0;3
32;PACÕFICO;CHOC”;EL LITORAL DEL SAN JUAN;27250;Alta;09/07/2026;66.4;86.8;21.0;3
