OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION
1;ANDINA;ANTIOQUIA;APARTAD”;05045;ALTA;38.4;181.1;26.0;09/07/2026
2;ANDINA;ANTIOQUIA;TURBO;05837;ALTA;55.5;148.8;25.0;09/07/2026
3;ANDINA;ANTIOQUIA;VALDIVIA;05854;ALTA;52.6;133.5;21.0;09/07/2026
4;ORINOQUÕA;ARAUCA;FORTUL;81300;ALTA;46.7;122.8;25.0;09/07/2026
5;ORINOQUÕA;ARAUCA;SARAVENA;81736;ALTA;61.8;141.4;24.0;09/07/2026
6;ANDINA;BOYAC¡;ALMEIDA;15022;ALTA;34.4;153.5;29.0;09/07/2026
7;ANDINA;BOYAC¡;CAMPOHERMOSO;15135;ALTA;43.8;171.4;30.0;09/07/2026
8;ANDINA;BOYAC¡;CHITA;15183;ALTA;49.8;84.8;22.0;09/07/2026
9;ANDINA;BOYAC¡;CHIVOR;15236;ALTA;39.3;169.6;30.0;09/07/2026
10;ANDINA;BOYAC¡;CUBAR¡;15223;ALTA;68.5;186.6;25.0;09/07/2026
11;ANDINA;BOYAC¡;LABRANZAGRANDE;15377;ALTA;74.8;212.1;27.0;09/07/2026
12;ANDINA;BOYAC¡;MACANAL;15425;ALTA;37.0;160.7;30.0;09/07/2026
13;ANDINA;BOYAC¡;MONGUA;15464;ALTA;56.6;120.0;26.0;09/07/2026
14;ANDINA;BOYAC¡;PAYA;15533;ALTA;74.4;228.9;24.0;09/07/2026
15;ANDINA;BOYAC¡;PISBA;15550;ALTA;80.7;224.2;24.0;09/07/2026
16;ANDINA;BOYAC¡;SANTA MARÕA;15690;ALTA;36.0;211.6;30.0;09/07/2026
17;ANDINA;BOYAC¡;ZETAQUIRA;15897;ALTA;25.7;98.2;30.0;09/07/2026
18;ORINOQUÕA;CASANARE;MONTERREY;85162;ALTA;34.6;166.1;28.0;09/07/2026
19;ORINOQUÕA;CASANARE;NUNCHÕA;85225;ALTA;55.3;190.1;23.0;09/07/2026
20;ORINOQUÕA;CASANARE;S¡CAMA;85315;ALTA;59.2;166.0;24.0;09/07/2026
21;ORINOQUÕA;CASANARE;T¡MARA;85400;ALTA;67.8;221.2;23.0;09/07/2026
22;ORINOQUÕA;CASANARE;YOPAL;85001;ALTA;45.3;217.7;24.0;09/07/2026
23;PACÕFICO;CAUCA;EL TAMBO;19256;ALTA;34.1;84.8;20.0;09/07/2026
24;PACÕFICO;CAUCA;L”PEZ DE MICAY;19418;ALTA;63.1;196.6;27.0;09/07/2026
25;PACÕFICO;CAUCA;TIMBIQUÕ;19809;ALTA;54.5;168.7;29.0;09/07/2026
26;PACÕFICO;CHOC”;ALTO BAUD”;27025;ALTA;66.9;217.2;26.0;09/07/2026
27;PACÕFICO;CHOC”;BAHÕA SOLANO;27075;ALTA;75.4;227.3;26.0;09/07/2026
28;PACÕFICO;CHOC”;BAJO BAUD”;27077;ALTA;93.7;159.9;25.0;09/07/2026
29;PACÕFICO;CHOC”;BOJAY¡;27099;ALTA;58.1;146.3;22.0;09/07/2026
30;PACÕFICO;CHOC”;CONDOTO;27205;ALTA;119.4;159.7;24.0;09/07/2026
31;PACÕFICO;CHOC”;EL CANT”N DEL SAN PABLO;27135;ALTA;90.0;209.6;25.0;09/07/2026
32;PACÕFICO;CHOC”;EL LITORAL DEL SAN JUAN;27250;ALTA;66.4;86.8;21.0;09/07/2026
33;PACÕFICO;CHOC”;ISTMINA;27361;ALTA;87.5;121.6;25.0;09/07/2026
34;PACÕFICO;CHOC”;JURAD”;27372;ALTA;73.8;184.2;27.0;09/07/2026
35;PACÕFICO;CHOC”;MEDIO BAUD”;27430;ALTA;114.4;174.4;24.0;09/07/2026
36;PACÕFICO;CHOC”;NUQUÕ;27495;ALTA;65.8;215.5;26.0;09/07/2026
37;PACÕFICO;CHOC”;N”VITA;27491;ALTA;104.0;140.1;24.0;09/07/2026
38;PACÕFICO;CHOC”;RIOSUCIO;27615;ALTA;71.4;190.7;26.0;09/07/2026
39;PACÕFICO;CHOC”;RÕO IR”;27580;ALTA;101.5;170.2;24.0;09/07/2026
40;PACÕFICO;CHOC”;SAN JOS… DEL PALMAR;27660;ALTA;50.9;64.5;17.0;09/07/2026
41;PACÕFICO;CHOC”;TAD”;27787;ALTA;47.1;143.3;22.0;09/07/2026
42;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;ALTA;66.8;194.8;29.0;09/07/2026
43;ANDINA;CUNDINAMARCA;GUTI…RREZ;25339;ALTA;34.2;69.4;30.0;09/07/2026
44;ANDINA;CUNDINAMARCA;MEDINA;25438;ALTA;33.1;172.0;29.0;09/07/2026
45;ANDINA;CUNDINAMARCA;QUETAME;25594;ALTA;61.9;167.2;28.0;09/07/2026
46;ANDINA;CUNDINAMARCA;UBAL¡;25839;ALTA;32.0;165.6;29.0;09/07/2026
47;CARIBE;C”RDOBA;PUERTO LIBERTADOR;23580;ALTA;37.9;114.0;21.0;09/07/2026
48;CARIBE;C”RDOBA;TIERRALTA;23807;ALTA;41.3;137.6;24.0;09/07/2026
49;ANDINA;HUILA;SAN AGUSTÕN;41668;ALTA;19.3;73.3;28.0;09/07/2026
50;ORINOQUÕA;META;ACACÕAS;50006;ALTA;41.5;178.9;29.0;09/07/2026
51;ORINOQUÕA;META;CUBARRAL;50223;ALTA;32.4;130.0;29.0;09/07/2026
52;ORINOQUÕA;META;EL CASTILLO;50251;ALTA;34.9;162.4;27.0;09/07/2026
53;ORINOQUÕA;META;RESTREPO;50606;ALTA;32.8;194.7;30.0;09/07/2026
54;ORINOQUÕA;META;SAN JUAN DE ARAMA;50683;ALTA;23.8;127.6;26.0;09/07/2026
55;ORINOQUÕA;META;URIBE;50370;ALTA;16.7;69.4;24.0;09/07/2026
56;ORINOQUÕA;META;VILLAVICENCIO;50001;ALTA;30.5;172.4;26.0;09/07/2026
57;ANDINA;NORTE DE SANTANDER;CHITAG¡;54174;ALTA;48.2;148.3;25.0;09/07/2026
58;ANDINA;NORTE DE SANTANDER;TOLEDO;54820;ALTA;54.0;183.9;26.0;09/07/2026
59;AMAZONÕA;PUTUMAYO;MOCOA;86001;ALTA;17.0;112.0;29.0;09/07/2026
60;AMAZONÕA;PUTUMAYO;SAN FRANCISCO;86755;ALTA;21.4;207.4;29.0;09/07/2026
61;AMAZONÕA;PUTUMAYO;SANTIAGO;86760;ALTA;10.2;79.6;29.0;09/07/2026
62;AMAZONÕA;PUTUMAYO;VILLAGARZ”N;86885;ALTA;23.5;142.1;29.0;09/07/2026
63;PACÕFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;ALTA;72.1;117.5;23.0;09/07/2026
64;ANDINA;ANTIOQUIA;CAMPAMENTO;05134;BAJA;30.8;44.8;19.0;09/07/2026
65;ANDINA;ANTIOQUIA;FRONTINO;05284;BAJA;27.9;35.5;13.0;09/07/2026
66;ANDINA;ANTIOQUIA;MURIND”;05475;BAJA;36.1;55.1;17.0;09/07/2026
67;ANDINA;ANTIOQUIA;NECHÕ;05495;BAJA;42.5;91.8;14.0;09/07/2026
68;ANDINA;ANTIOQUIA;PEQUE;05543;BAJA;35.7;63.2;18.0;09/07/2026
69;ANDINA;ANTIOQUIA;REMEDIOS;05604;BAJA;45.9;56.6;16.0;09/07/2026
70;ANDINA;ANTIOQUIA;TOLEDO;05819;BAJA;28.0;30.0;16.0;09/07/2026
71;ANDINA;ANTIOQUIA;URRAO;05847;BAJA;38.7;57.3;13.0;09/07/2026
72;ANDINA;ANTIOQUIA;ZARAGOZA;05895;BAJA;43.4;84.2;16.0;09/07/2026
73;CARIBE;BOLÕVAR;ARENAL;13042;BAJA;35.3;62.1;13.0;09/07/2026
74;CARIBE;BOLÕVAR;SAN JACINTO DEL CAUCA;13655;BAJA;36.2;67.1;15.0;09/07/2026
75;CARIBE;BOLÕVAR;SIMITÕ;13744;BAJA;46.4;57.9;10.0;09/07/2026
76;CARIBE;BOLÕVAR;TIQUISIO;13810;BAJA;35.6;52.5;14.0;09/07/2026
77;ANDINA;BOYAC¡;BOYAC¡;15104;BAJA;21.3;43.1;28.0;09/07/2026
78;ANDINA;BOYAC¡;CHINAVITA;15172;BAJA;19.4;71.5;30.0;09/07/2026
79;ANDINA;BOYAC¡;EL COCUY;15244;BAJA;37.8;50.3;21.0;09/07/2026
80;ANDINA;BOYAC¡;GUATEQUE;15322;BAJA;19.5;108.9;27.0;09/07/2026
81;ANDINA;BOYAC¡;JENESANO;15367;BAJA;37.0;56.6;29.0;09/07/2026
82;ANDINA;BOYAC¡;JERIC”;15368;BAJA;29.1;35.8;20.0;09/07/2026
83;ANDINA;BOYAC¡;PESCA;15542;BAJA;17.4;50.2;26.0;09/07/2026
84;ANDINA;BOYAC¡;ROND”N;15621;BAJA;18.0;70.2;29.0;09/07/2026
85;ANDINA;BOYAC¡;SOCHA;15757;BAJA;36.3;54.3;18.0;09/07/2026
86;ANDINA;BOYAC¡;SUTATENZA;15778;BAJA;19.1;99.3;28.0;09/07/2026
87;ANDINA;BOYAC¡;TASCO;15790;BAJA;26.3;46.6;15.0;09/07/2026
88;ANDINA;BOYAC¡;TENZA;15798;BAJA;14.7;71.3;30.0;09/07/2026
89;ANDINA;BOYAC¡;TOTA;15822;BAJA;15.6;24.1;26.0;09/07/2026
90;AMAZONÕA;CAQUET¡;EL PAUJÕL;18256;BAJA;24.5;72.5;27.0;09/07/2026
91;AMAZONÕA;CAQUET¡;FLORENCIA;18001;BAJA;15.8;49.8;26.0;09/07/2026
92;AMAZONÕA;CAQUET¡;LA MONTA—ITA;18410;BAJA;27.0;93.5;27.0;09/07/2026
93;AMAZONÕA;CAQUET¡;SAN JOS… DEL FRAGUA;18610;BAJA;8.9;65.9;28.0;09/07/2026
94;PACÕFICO;CAUCA;SU¡REZ;19780;BAJA;45.1;48.6;13.0;09/07/2026
95;ANDINA;CUNDINAMARCA;GACHET¡;25297;BAJA;19.6;125.8;28.0;09/07/2026
96;ANDINA;CUNDINAMARCA;GAMA;25299;BAJA;21.0;129.5;29.0;09/07/2026
97;ANDINA;CUNDINAMARCA;JUNÕN;25372;BAJA;18.0;77.0;28.0;09/07/2026
98;ANDINA;CUNDINAMARCA;MANTA;25436;BAJA;19.4;109.8;28.0;09/07/2026
99;ANDINA;CUNDINAMARCA;TIBIRITA;25807;BAJA;15.1;87.0;28.0;09/07/2026
100;ANDINA;CUNDINAMARCA;UNE;25845;BAJA;26.4;35.6;28.0;09/07/2026
101;ANDINA;HUILA;ACEVEDO;41006;BAJA;14.2;66.3;27.0;09/07/2026
102;ANDINA;HUILA;PALESTINA;41530;BAJA;19.6;116.3;28.0;09/07/2026
