OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
57;PACÍFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;Alta;06/09/2026;47.6;111.2;25.0;3
58;ANDINA;ANTIOQUIA;ANGOSTURA;05038;Baja;06/09/2026;12.4;105.5;24.0;1
59;ANDINA;ANTIOQUIA;ARBOLETES;05051;Baja;06/09/2026;34.6;69.6;19.0;1
60;ANDINA;ANTIOQUIA;ARGELIA;05055;Baja;06/09/2026;20.3;125.5;22.0;1
61;ANDINA;ANTIOQUIA;BRICEÑO;05107;Baja;06/09/2026;22.3;110.0;23.0;1
62;ANDINA;ANTIOQUIA;CAMPAMENTO;05134;Baja;06/09/2026;21.1;110.1;24.0;1
63;ANDINA;ANTIOQUIA;CARACOLÍ;05142;Baja;06/09/2026;-;-;-;1
64;ANDINA;ANTIOQUIA;CHIGORODÓ;05172;Baja;06/09/2026;19.0;101.4;24.0;1
65;ANDINA;ANTIOQUIA;COCORNÁ;05197;Baja;06/09/2026;22.5;92.6;22.0;1
66;ANDINA;ANTIOQUIA;DABEIBA;05234;Baja;06/09/2026;19.6;66.0;20.0;1
67;ANDINA;ANTIOQUIA;EL CARMEN DE VIBORAL;05148;Baja;06/09/2026;10.0;121.9;21.0;1
68;ANDINA;ANTIOQUIA;ENTRERRÍOS;05264;Baja;06/09/2026;-;-;-;1
69;ANDINA;ANTIOQUIA;GIRARDOTA;05308;Baja;06/09/2026;1.8;177.9;19.0;1
70;ANDINA;ANTIOQUIA;GUADALUPE;05315;Baja;06/09/2026;16.8;110.7;25.0;1
71;ANDINA;ANTIOQUIA;GUARNE;05318;Baja;06/09/2026;1.4;217.2;20.0;1
72;ANDINA;ANTIOQUIA;GUATAPÉ;05321;Baja;06/09/2026;5.9;143.9;25.0;1
73;ANDINA;ANTIOQUIA;MURINDÓ;05475;Baja;06/09/2026;43.6;94.8;18.0;1
74;ANDINA;ANTIOQUIA;PEÑOL;05541;Baja;06/09/2026;1.5;88.6;25.0;1
75;ANDINA;ANTIOQUIA;PUERTO BERRÍO;05579;Baja;06/09/2026;3.3;121.8;26.0;1
76;ANDINA;ANTIOQUIA;PUERTO NARE;05585;Baja;06/09/2026;-;-;-;1
77;ANDINA;ANTIOQUIA;REMEDIOS;05604;Baja;06/09/2026;13.3;120.4;25.0;1
78;ANDINA;ANTIOQUIA;SAN FRANCISCO;05652;Baja;06/09/2026;26.9;89.3;22.0;1
79;ANDINA;ANTIOQUIA;SAN LUIS;05660;Baja;06/09/2026;23.4;84.4;23.0;1
80;ANDINA;ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;05664;Baja;06/09/2026;8.4;109.6;18.0;1
81;ANDINA;ANTIOQUIA;SAN PEDRO DE URABÁ;05665;Baja;06/09/2026;34.9;86.7;18.0;1
82;ANDINA;ANTIOQUIA;SAN VICENTE FERRER;05674;Baja;06/09/2026;0.7;109.6;19.0;1
83;ANDINA;ANTIOQUIA;SONSÓN;05756;Baja;06/09/2026;9.1;82.7;19.0;1
84;ANDINA;ANTIOQUIA;VEGACHÍ;05858;Baja;06/09/2026;5.9;149.0;26.0;1
85;ANDINA;ANTIOQUIA;YALÍ;05885;Baja;06/09/2026;4.3;136.8;25.0;1
86;ANDINA;ANTIOQUIA;YARUMAL;05887;Baja;06/09/2026;12.8;95.9;22.0;1
87;ANDINA;ANTIOQUIA;ZARAGOZA;05895;Baja;06/09/2026;18.4;144.5;21.0;1
88;ORINOQUÍA;ARAUCA;TAME;81794;Baja;06/09/2026;16.4;49.8;25.0;1
89;CARIBE;BOLÍVAR;ARENAL;13042;Baja;06/09/2026;21.0;75.3;16.0;1
90;CARIBE;BOLÍVAR;EL CARMEN DE BOLÍVAR;13244;Baja;06/09/2026;37.2;78.1;16.0;1
91;CARIBE;BOLÍVAR;MORALES;13473;Baja;06/09/2026;14.9;53.6;14.0;1
92;CARIBE;BOLÍVAR;SAN JACINTO;13654;Baja;06/09/2026;36.6;96.0;17.0;1
93;CARIBE;BOLÍVAR;SAN JACINTO DEL CAUCA;13655;Baja;06/09/2026;28.3;99.2;21.0;1
94;CARIBE;BOLÍVAR;SAN JUAN NEPOMUCENO;13657;Baja;06/09/2026;26.6;72.0;16.0;1
95;CARIBE;BOLÍVAR;SIMITÍ;13744;Baja;06/09/2026;21.8;46.5;17.0;1
96;ANDINA;BOYACÁ;BERBEO;15090;Baja;06/09/2026;22.8;97.9;30.0;1
97;ANDINA;BOYACÁ;CHISCAS;15180;Baja;06/09/2026;19.0;23.4;20.0;1
98;ANDINA;BOYACÁ;GARAGOA;15299;Baja;06/09/2026;15.2;69.1;29.0;1
99;ANDINA;BOYACÁ;GUAYATÁ;15325;Baja;06/09/2026;9.0;113.4;29.0;1
100;ANDINA;BOYACÁ;MIRAFLORES;15455;Baja;06/09/2026;17.4;98.1;30.0;1
101;ANDINA;BOYACÁ;SAN EDUARDO;15660;Baja;06/09/2026;18.0;71.6;30.0;1
