COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,31.4,11774585
91405,Amazonas,La Chorrera,31.5,14165931
91407,Amazonas,La Pedrera,31.2,15175784
91430,Amazonas,La Victoria,29.5,1598379
91001,Amazonas,Leticia,31.0,6727268
91460,Amazonas,Miriti-Parana,30.6,18820064
91530,Amazonas,Puerto Alegria,31.6,9291534
91536,Amazonas,Puerto Arica,30.0,15153174
91540,Amazonas,Puerto Narino,30.3,1587068
91669,Amazonas,Santander,30.8,16457477
91798,Amazonas,Tarapaca,30.7,10077628
05002,Antioquia,Abejorral,31.7,569818
05004,Antioquia,Abriaqui,22.0,333936
05021,Antioquia,Alejandria,25.4,145063
05030,Antioquia,Amaga,30.8,94539
05031,Antioquia,Amalfi,31.6,1362016
05034,Antioquia,Andes,27.1,451890
05036,Antioquia,Angelopolis,29.0,92005
05038,Antioquia,Angostura,25.2,381134
05040,Antioquia,Anori,31.9,1593171
05044,Antioquia,Anza,31.3,287675
05045,Antioquia,Apartado,31.0,603077
05051,Antioquia,Arboletes,31.1,851162
05055,Antioquia,Argelia,32.5,275658
05059,Antioquia,Armenia,32.2,124098
05079,Antioquia,Barbosa,26.1,231400
05088,Antioquia,Bello,26.0,166318
05086,Antioquia,Belmira,18.6,333209
05091,Antioquia,Betania,27.4,202703
05093,Antioquia,Betulia,31.7,294857
05107,Antioquia,Briceno,30.1,423900
05113,Antioquia,Buritica,30.6,399678
05125,Antioquia,Caicedo,27.3,225000
05129,Antioquia,Caldas,25.9,149249
05134,Antioquia,Campamento,27.4,261516
05142,Antioquia,Caracoli,32.9,295686
05145,Antioquia,Caramanta,30.3,103393
05147,Antioquia,Carepa,31.2,436264
05148,Antioquia,Carmen De Viboral,27.7,476206
05150,Antioquia,Carolina,26.0,168392
05154,Antioquia,Caucasia,32.4,1612931
05138,Antioquia,Canasgordas,25.2,410500
05172,Antioquia,Chigorodo,30.9,812701
05190,Antioquia,Cisneros,26.9,52830
05101,Antioquia,Ciudad Bolivar,30.4,296221
05197,Antioquia,Cocorna,30.2,271796
05206,Antioquia,Concepcion,23.1,227278
05209,Antioquia,Concordia,32.4,278528
05212,Antioquia,Copacabana,26.1,76412
05120,Antioquia,Caceres,32.0,2113418
05234,Antioquia,Dabeiba,29.6,2201979
05237,Antioquia,Donmatias,26.1,228757
05240,Antioquia,Ebejico,31.3,267317
05250,Antioquia,El Bagre,32.4,1760318
05607,Antioquia,El Retiro,22.6,272023
05264,Antioquia,Entrerrios,19.9,240971
05266,Antioquia,Envigado,24.0,89961
05282,Antioquia,Fredonia,32.1,289963
05284,Antioquia,Frontino,30.2,1556209
05306,Antioquia,Giraldo,27.8,105158
05308,Antioquia,Girardota,26.3,93182
05313,Antioquia,Granada,28.1,213883
05315,Antioquia,Guadalupe,29.0,133112
05318,Antioquia,Guarne,22.1,171165
05321,Antioquia,Guatape,22.1,93722
05310,Antioquia,Gomez Plata,28.8,373943
05347,Antioquia,Heliconia,30.2,129116
05353,Antioquia,Hispania,29.8,60851
05360,Antioquia,Itagui,24.2,21942
05361,Antioquia,Ituango,30.1,3200283
05364,Antioquia,Jardin,22.9,225853
05368,Antioquia,Jerico,32.1,230278
05376,Antioquia,La Ceja,25.1,149154
05380,Antioquia,La Estrella,23.7,41419
05390,Antioquia,La Pintada,31.5,61022
05400,Antioquia,La Union,19.9,188508
05411,Antioquia,Liborina,30.8,243496
05425,Antioquia,Maceo,31.5,435772
05440,Antioquia,Marinilla,22.0,129182
05001,Antioquia,Medellin,26.7,419962
05467,Antioquia,Montebello,28.5,85420
05475,Antioquia,Murindo,31.0,1423307
05480,Antioquia,Mutata,30.9,1209994
05483,Antioquia,Narino,29.6,355855
05495,Antioquia,Nechi,32.6,1058350
05490,Antioquia,Necocli,30.9,1413373
05501,Antioquia,Olaya,31.1,97860
05543,Antioquia,Peque,29.5,488675
05541,Antioquia,Penol,22.0,133072
05576,Antioquia,Pueblorrico,31.6,84712
05579,Antioquia,Puerto Berrio,33.0,1373268
05585,Antioquia,Puerto Nare,33.4,752766
05591,Antioquia,Puerto Triunfo,33.6,416003
05604,Antioquia,Remedios,32.7,2225054
05615,Antioquia,Rionegro,21.5,220278
05628,Antioquia,Sabanalarga,29.5,299127
05631,Antioquia,Sabaneta,23.8,17685
05642,Antioquia,Salgar,31.7,323789
05647,Antioquia,San Andres de Cuerquia,27.9,232856
05649,Antioquia,San Carlos,32.7,807373
05652,Antioquia,San Francisco,31.8,400557
05656,Antioquia,San Jeronimo,30.5,181379
05658,Antioquia,San Jose De La Montana,18.6,141913
05659,Antioquia,San Juan De Uraba,30.6,283742
05660,Antioquia,San Luis,32.2,478477
05664,Antioquia,San Pedro De Los Milagros,20.2,248643
05665,Antioquia,San Pedro De Uraba,31.2,680012
05667,Antioquia,San Rafael,29.7,409416
05670,Antioquia,San Roque,30.1,478016
05674,Antioquia,San Vicente,22.7,259228
05679,Antioquia,Santa Barbara,31.7,220405
05042,Antioquia,Santa Fe De Antioquia,31.4,591089
05686,Antioquia,Santa Rosa De Osos,26.1,973298
05690,Antioquia,Santo Domingo,26.9,299206
05697,Antioquia,Santuario,22.6,93832
05736,Antioquia,Segovia,31.8,1269072
05756,Antioquia,Sonson,33.6,1513077
05761,Antioquia,Sopetran,31.3,246389
05790,Antioquia,Taraza,31.3,1295523
05792,Antioquia,Tarso,31.8,135324
05809,Antioquia,Titiribi,32.5,157727
05819,Antioquia,Toledo,30.0,151358
05837,Antioquia,Turbo,31.9,3280628
05789,Antioquia,Tamesis,31.8,283262
05842,Antioquia,Uramita,26.2,299198
05847,Antioquia,Urrao,31.1,2880450
05854,Antioquia,Valdivia,30.4,639646
05856,Antioquia,Valparaiso,31.2,141722
05858,Antioquia,Vegachi,30.5,609013
05861,Antioquia,Venecia,32.1,156919
05873,Antioquia,Vigia Del Fuerte,31.7,1866734
05885,Antioquia,Yali,30.5,496447
05887,Antioquia,Yarumal,27.9,802404
05890,Antioquia,Yolombo,32.0,1139895
05893,Antioquia,Yondo,33.0,2135142
05895,Antioquia,Zaragoza,32.4,1316724
81001,Arauca,Arauca,32.0,6480390
81065,Arauca,Arauquita,31.8,3398314
81220,Arauca,Cravo Norte,32.2,5830110
81300,Arauca,Fortul,30.8,1302674
81591,Arauca,Puerto Rondon,32.2,2560110
81736,Arauca,Saravena,31.6,1040968
81794,Arauca,Tame,31.9,6088514
08078,Atlantico,Baranoa,33.0,138078
08001,Atlantico,Barranquilla,31.6,165737
08137,Atlantico,Campo De La Cruz,35.2,113666
08141,Atlantico,Candelaria,34.9,154373
08296,Atlantico,Galapa,32.1,111089
08372,Atlantico,Juan De Acosta,32.9,191150
08421,Atlantico,Luruaco,33.5,255101
08433,Atlantico,Malambo,32.7,111834
08436,Atlantico,Manati,34.9,243551
08520,Atlantico,Palmar De Varela,33.7,104963
08549,Atlantico,Piojo,35.3,287737
08558,Atlantico,Polonuevo,33.2,84030
08560,Atlantico,Ponedera,34.4,235059
08573,Atlantico,Puerto Colombia,31.5,80058
08606,Atlantico,Repelon,34.3,407612
08634,Atlantico,Sabanagrande,33.0,49057
08638,Atlantico,Sabanalarga,33.7,450221
08675,Atlantico,Santa Lucia,35.1,65156
08685,Atlantico,Santo Tomas,33.3,74048
08758,Atlantico,Soledad,32.1,67368
08770,Atlantico,Suan,35.2,48341
08832,Atlantico,Tubara,32.1,203989
08849,Atlantico,Usiacuri,33.0,115345
13006,Bolivar,Achi,33.2,1076327
13030,Bolivar,Altos Del Rosario,33.8,343678
13042,Bolivar,Arenal,33.9,522075
13052,Bolivar,Arjona,33.8,666987
13062,Bolivar,Arroyohondo,35.1,186053
13074,Bolivar,Barranco De Loba,34.0,487437
13140,Bolivar,Calamar,35.2,290411
13160,Bolivar,Cantagallo,32.9,992881
13001,Bolivar,Cartagena De Indias,33.9,641599
13188,Bolivar,Cicuco,33.6,149678
13222,Bolivar,Clemencia,33.0,97062
13212,Bolivar,Cordoba,35.1,677130
13244,Bolivar,El Carmen De Bolivar,34.4,1073061
13248,Bolivar,El Guamo,35.5,435079
13268,Bolivar,El Penon,34.4,361034
13300,Bolivar,Hatillo De Loba,34.2,219910
13430,Bolivar,Magangue,34.8,1280772
13433,Bolivar,Mahates,34.3,490963
13440,Bolivar,Margarita,34.1,331744
13442,Bolivar,Maria La Baja,33.9,636887
13468,Bolivar,Mompos,33.9,738623
13458,Bolivar,Montecristo,32.9,2363379
13473,Bolivar,Morales,34.4,1522699
13490,Bolivar,Norosi,33.9,470792
13549,Bolivar,Pinillos,33.7,877847
13580,Bolivar,Regidor,34.6,207578
13600,Bolivar,Rioviejo,34.5,955818
13620,Bolivar,San Cristobal,34.7,48057
13647,Bolivar,San Estanislao,33.7,240440
13650,Bolivar,San Fernando,33.8,360236
13654,Bolivar,San Jacinto,34.6,502471
13655,Bolivar,San Jacinto Del Cauca,32.8,643931
13657,Bolivar,San Juan Nepomuceno,35.4,716411
13667,Bolivar,San Martin De Loba,34.3,509391
13670,Bolivar,San Pablo,33.3,2279235
13673,Bolivar,Santa Catalina,33.3,195742
13683,Bolivar,Santa Rosa,32.7,175803
13688,Bolivar,Santa Rosa Del Sur,31.8,2689542
