COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91001,Amazonas,Leticia,32.7,6727268
05001,Antioquia,Medellin,26.3,419962
81001,Arauca,Arauca,30.7,6480390
08001,Atlantico,Barranquilla,32.5,165737
13001,Bolivar,Cartagena De Indias,31.7,641599
15001,Boyaca,Tunja,15.8,134508
17001,Caldas,Manizales,28.9,494940
18001,Caqueta,Florencia,28.1,2849167
85001,Casanare,Yopal,32.3,2785982
19001,Cauca,Popayan,24.2,536566
20001,Cesar,Valledupar,35.8,4760939
27001,Choco,Quibdo,31.4,3935568
11001,Cundinamarca,"Bogota, D.C.",28.0,1817617
23001,Cordoba,Monteria,32.3,3544548
94001,Guainia,Inirida,33.0,17706318
95001,Guaviare,San Jose Del Guaviare,31.0,18731168
41001,Huila,Neiva,29.3,1421612
44001,La Guajira,Riohacha,35.7,3518455
47001,Magdalena,Santa Marta,30.6,2672070
50001,Meta,Villavicencio,29.5,1441792
52001,Narino,Pasto,22.1,1226326
54001,Norte de Santander,Cucuta,36.2,1277938
86001,Putumayo,Mocoa,26.1,1456603
63001,Quindio,Armenia,26.4,136089
66001,Risaralda,Pereira,28.7,682233
88001,San Andres y Providencia,San Andres,32.2,30340
68001,Santander,Bucaramanga,27.6,172989
70001,Sucre,Sincelejo,30.5,317037
73001,Tolima,Ibague,32.7,1544466
76001,Valle del Cauca,Cali,27.3,630689
97001,Vaupes,Mitu,31.9,18064548
99001,Vichada,Puerto Carreno,32.0,13250752
