OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION;nivel_numero
1;ANDINA;ANTIOQUIA;ALEJANDRÍA;05021;Alta;38.6;92.2;22.0;16/08/2026;3
2;ANDINA;ANTIOQUIA;AMALFI;05031;Alta;53.3;81.4;20.0;16/08/2026;3
3;ANDINA;ANTIOQUIA;ANORÍ;05040;Alta;71.2;92.8;18.0;16/08/2026;3
4;ANDINA;ANTIOQUIA;CÁCERES;05120;Alta;62.1;67.6;19.0;16/08/2026;3
5;ANDINA;ANTIOQUIA;EL BAGRE;05250;Alta;90.4;125.6;18.0;16/08/2026;3
6;ANDINA;ANTIOQUIA;MUTATÁ;05480;Alta;37.6;105.3;22.0;16/08/2026;3
7;ANDINA;ANTIOQUIA;REMEDIOS;05604;Alta;72.8;80.6;21.0;16/08/2026;3
8;ANDINA;ANTIOQUIA;SAN ROQUE;05670;Alta;35.9;86.3;22.0;16/08/2026;3
9;ANDINA;ANTIOQUIA;SEGOVIA;05736;Alta;92.4;119.7;20.0;16/08/2026;3
10;ANDINA;ANTIOQUIA;VIGÍA DEL FUERTE;05873;Alta;90.7;112.1;19.0;16/08/2026;3
11;ANDINA;ANTIOQUIA;ZARAGOZA;05895;Alta;111.9;130.2;18.0;16/08/2026;3
12;CARIBE;BOLÍVAR;MONTECRISTO;13458;Alta;62.8;81.6;17.0;16/08/2026;3
13;CARIBE;BOLÍVAR;SANTA ROSA DEL SUR;13688;Alta;58.5;84.3;17.0;16/08/2026;3
14;ANDINA;BOYACÁ;PAYA;15533;Alta;41.0;113.3;26.0;16/08/2026;3
15;ORINOQUÍA;CASANARE;HATO COROZAL;85125;Alta;32.4;75.9;23.0;16/08/2026;3
16;ORINOQUÍA;CASANARE;NUNCHÍA;85225;Alta;40.1;86.2;24.0;16/08/2026;3
17;ORINOQUÍA;CASANARE;SÁCAMA;85315;Alta;49.0;110.8;24.0;16/08/2026;3
18;ORINOQUÍA;CASANARE;TÁMARA;85400;Alta;73.8;160.9;24.0;16/08/2026;3
19;ORINOQUÍA;CASANARE;YOPAL;85001;Alta;26.6;103.5;25.0;16/08/2026;3
