COD_MUN,DEPARTAMENTO,MUNICIPIO,TMIN_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,19.2,11774585
91405,Amazonas,La Chorrera,19.1,14165931
91407,Amazonas,La Pedrera,18.8,15175784
91430,Amazonas,La Victoria,19.4,1598379
91001,Amazonas,Leticia,19.3,6727268
91460,Amazonas,Miriti-Parana,19.3,18820064
91530,Amazonas,Puerto Alegria,18.8,9291534
91536,Amazonas,Puerto Arica,19.5,15153174
91540,Amazonas,Puerto Narino,19.3,1587068
91669,Amazonas,Santander,19.4,16457477
91798,Amazonas,Tarapaca,19.4,10077628
05002,Antioquia,Abejorral,7.5,569818
05004,Antioquia,Abriaqui,4.0,333936
05021,Antioquia,Alejandria,11.4,145063
05030,Antioquia,Amaga,10.7,94539
05031,Antioquia,Amalfi,11.4,1362016
05034,Antioquia,Andes,4.4,451890
05036,Antioquia,Angelopolis,7.6,92005
05038,Antioquia,Angostura,7.7,381134
05040,Antioquia,Anori,11.8,1593171
05044,Antioquia,Anza,7.5,287675
05045,Antioquia,Apartado,20.1,603077
05051,Antioquia,Arboletes,22.9,851162
05055,Antioquia,Argelia,5.1,275658
05059,Antioquia,Armenia,11.7,124098
05079,Antioquia,Barbosa,8.2,231400
05088,Antioquia,Bello,7.4,166318
05086,Antioquia,Belmira,6.0,333209
05091,Antioquia,Betania,3.0,202703
05093,Antioquia,Betulia,5.3,294857
05107,Antioquia,Briceno,7.8,423900
05113,Antioquia,Buritica,8.8,399678
05125,Antioquia,Caicedo,3.3,225000
05129,Antioquia,Caldas,6.2,149249
05134,Antioquia,Campamento,9.1,261516
05142,Antioquia,Caracoli,18.3,295686
05145,Antioquia,Caramanta,7.4,103393
05147,Antioquia,Carepa,19.0,436264
05148,Antioquia,Carmen De Viboral,6.3,476206
05150,Antioquia,Carolina,9.2,168392
05154,Antioquia,Caucasia,22.8,1612931
05138,Antioquia,Canasgordas,6.0,410500
05172,Antioquia,Chigorodo,18.0,812701
05190,Antioquia,Cisneros,13.2,52830
05101,Antioquia,Ciudad Bolivar,4.6,296221
05197,Antioquia,Cocorna,9.0,271796
05206,Antioquia,Concepcion,8.4,227278
05209,Antioquia,Concordia,9.6,278528
05212,Antioquia,Copacabana,9.1,76412
05120,Antioquia,Caceres,18.7,2113418
05234,Antioquia,Dabeiba,7.0,2201979
05237,Antioquia,Donmatias,8.3,228757
05240,Antioquia,Ebejico,8.9,267317
05250,Antioquia,El Bagre,18.8,1760318
05607,Antioquia,El Retiro,6.1,272023
05264,Antioquia,Entrerrios,6.9,240971
05266,Antioquia,Envigado,6.5,89961
05282,Antioquia,Fredonia,10.0,289963
05284,Antioquia,Frontino,4.5,1556209
05306,Antioquia,Giraldo,6.2,105158
05308,Antioquia,Girardota,8.8,93182
05313,Antioquia,Granada,8.3,213883
05315,Antioquia,Guadalupe,11.8,133112
05318,Antioquia,Guarne,7.8,171165
05321,Antioquia,Guatape,9.7,93722
05310,Antioquia,Gomez Plata,11.2,373943
05347,Antioquia,Heliconia,8.6,129116
05353,Antioquia,Hispania,13.3,60851
