OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION
1;ANDINA;ANTIOQUIA;ALEJANDRÍA;05021;ALTA;;;;08/05/2026
2;ANDINA;ANTIOQUIA;APARTADÓ;05045;ALTA;71.3;99.6;25.0;08/05/2026
3;ANDINA;ANTIOQUIA;EL BAGRE;05250;ALTA;34.8;120.0;16.0;08/05/2026
4;ANDINA;ANTIOQUIA;NECHÍ;05495;ALTA;41.3;123.0;16.0;08/05/2026
5;ANDINA;ANTIOQUIA;SONSÓN;05756;ALTA;;;;08/05/2026
6;ANDINA;BOYACÁ;CHIVOR;15236;ALTA;9.5;57.3;27.0;08/05/2026
7;ANDINA;BOYACÁ;MACANAL;15425;ALTA;14.6;79.2;27.0;08/05/2026
8;ANDINA;BOYACÁ;SAN LUIS DE GACENO;15667;ALTA;45.0;123.0;30.0;08/05/2026
9;ANDINA;BOYACÁ;SANTA MARÍA;15690;ALTA;47.0;99.4;29.0;08/05/2026
10;AMAZONÍA;CAQUETÁ;BELÉN DE LOS ANDAQUÍES;18094;ALTA;66.7;92.5;28.0;08/05/2026
11;AMAZONÍA;CAQUETÁ;FLORENCIA;18001;ALTA;42.7;72.9;25.0;08/05/2026
12;PACÍFICO;CAUCA;PIAMONTE;19533;ALTA;48.8;124.2;28.0;08/05/2026
13;PACÍFICO;CAUCA;SANTA ROSA;19701;ALTA;22.0;59.1;26.0;08/05/2026
14;CARIBE;CESAR;VALLEDUPAR;20001;ALTA;;;;08/05/2026
15;PACÍFICO;CHOCÓ;BAHÍA SOLANO;27075;ALTA;54.7;148.9;26.0;08/05/2026
16;PACÍFICO;CHOCÓ;BAJO BAUDÓ;27077;ALTA;45.7;207.8;26.0;08/05/2026
17;PACÍFICO;CHOCÓ;BOJAYÁ;27099;ALTA;30.7;74.6;22.0;08/05/2026
18;PACÍFICO;CHOCÓ;NÓVITA;27491;ALTA;37.8;206.5;24.0;08/05/2026
19;PACÍFICO;CHOCÓ;RÍO IRÓ;27580;ALTA;57.5;216.8;25.0;08/05/2026
20;PACÍFICO;CHOCÓ;TADÓ;27787;ALTA;59.3;146.7;21.0;08/05/2026
21;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;ALTA;18.4;131.0;29.0;08/05/2026
22;ANDINA;CUNDINAMARCA;MEDINA;25438;ALTA;24.7;78.0;29.0;08/05/2026
23;ANDINA;CUNDINAMARCA;UBALÁ;25839;ALTA;18.6;88.3;29.0;08/05/2026
24;ORINOQUÍA;META;ACACÍAS;50006;ALTA;27.9;111.3;29.0;08/05/2026
25;ORINOQUÍA;META;RESTREPO;50606;ALTA;41.0;175.7;30.0;08/05/2026
26;ORINOQUÍA;META;VILLAVICENCIO;50001;ALTA;31.4;134.1;29.0;08/05/2026
27;PACÍFICO;NARIÑO;BARBACOAS;52079;ALTA;;;;08/05/2026
28;AMAZONÍA;PUTUMAYO;MOCOA;86001;ALTA;40.2;100.2;30.0;08/05/2026
29;ANDINA;ANTIOQUIA;ANGOSTURA;05038;BAJA;20.8;62.9;17.0;08/05/2026
30;ANDINA;ANTIOQUIA;CARACOLÍ;05142;BAJA;;;;08/05/2026
31;ANDINA;ANTIOQUIA;MACEO;05425;BAJA;;;;08/05/2026
32;ANDINA;ANTIOQUIA;MURINDÓ;05475;BAJA;28.3;39.3;16.0;08/05/2026
33;ANDINA;ANTIOQUIA;NECOCLÍ;05490;BAJA;34.1;42.8;20.0;08/05/2026
34;ANDINA;ANTIOQUIA;PUERTO BERRÍO;05579;BAJA;;;;08/05/2026
35;ANDINA;ANTIOQUIA;PUERTO NARE;05585;BAJA;;;;08/05/2026
36;ANDINA;ANTIOQUIA;SAN CARLOS;05649;BAJA;;;;08/05/2026
37;ANDINA;ANTIOQUIA;SAN LUIS;05660;BAJA;;;;08/05/2026
38;ANDINA;ANTIOQUIA;SAN RAFAEL;05667;BAJA;;;;08/05/2026
39;ANDINA;ANTIOQUIA;SAN ROQUE;05670;BAJA;;;;08/05/2026
40;ANDINA;ANTIOQUIA;YARUMAL;05887;BAJA;15.9;73.5;18.0;08/05/2026
41;ANDINA;ANTIOQUIA;YONDÓ;05893;BAJA;;;;08/05/2026
