OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
1;ANDINA;ANTIOQUIA;APARTADÓ;05045;Alta;13/08/2026;18.3;135.3;26.0;3
2;PACÍFICO;CHOCÓ;CONDOTO;27205;Alta;13/08/2026;37.5;100.4;24.0;3
3;PACÍFICO;CHOCÓ;MEDIO BAUDÓ;27430;Alta;13/08/2026;28.5;92.9;24.0;3
4;PACÍFICO;CHOCÓ;NÓVITA;27491;Alta;13/08/2026;51.4;110.5;24.0;3
5;PACÍFICO;CHOCÓ;RÍO IRÓ;27580;Alta;13/08/2026;43.2;113.0;24.0;3
6;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;Alta;13/08/2026;20.3;187.7;28.0;3
7;ORINOQUÍA;META;ACACÍAS;50006;Alta;13/08/2026;25.4;148.5;29.0;3
8;ORINOQUÍA;META;RESTREPO;50606;Alta;13/08/2026;26.2;181.4;29.0;3
9;ORINOQUÍA;META;VILLAVICENCIO;50001;Alta;13/08/2026;30.3;118.9;27.0;3
10;AMAZONÍA;PUTUMAYO;MOCOA;86001;Alta;13/08/2026;2.9;78.4;30.0;3
11;ANDINA;ANTIOQUIA;ALEJANDRÍA;05021;Baja;13/08/2026;2.7;59.2;20.0;1
12;ANDINA;ANTIOQUIA;ANORÍ;05040;Baja;13/08/2026;20.1;55.6;19.0;1
13;ANDINA;ANTIOQUIA;CAREPA;05147;Baja;13/08/2026;19.3;112.6;26.0;1
14;ANDINA;ANTIOQUIA;CÁCERES;05120;Baja;13/08/2026;34.6;62.7;19.0;1
15;ANDINA;ANTIOQUIA;DABEIBA;05234;Baja;13/08/2026;23.7;37.7;15.0;1
16;ANDINA;ANTIOQUIA;EL BAGRE;05250;Baja;13/08/2026;41.7;87.7;18.0;1
17;ANDINA;ANTIOQUIA;MURINDÓ;05475;Baja;13/08/2026;31.7;51.4;17.0;1
18;ANDINA;ANTIOQUIA;NECHÍ;05495;Baja;13/08/2026;45.3;93.5;17.0;1
19;ANDINA;ANTIOQUIA;SAN RAFAEL;05667;Baja;13/08/2026;4.5;68.0;20.0;1
20;ANDINA;ANTIOQUIA;SAN ROQUE;05670;Baja;13/08/2026;2.4;43.7;20.0;1
21;ANDINA;ANTIOQUIA;TARAZÁ;05790;Baja;13/08/2026;35.0;63.7;19.0;1
22;ANDINA;ANTIOQUIA;VALDIVIA;05854;Baja;13/08/2026;27.7;55.2;19.0;1
23;ANDINA;ANTIOQUIA;ZARAGOZA;05895;Baja;13/08/2026;40.3;74.7;18.0;1
24;ORINOQUÍA;ARAUCA;TAME;81794;Baja;13/08/2026;16.1;30.1;24.0;1
25;CARIBE;BOLÍVAR;SAN JACINTO DEL CAUCA;13655;Baja;13/08/2026;33.8;79.3;17.0;1
26;ANDINA;BOYACÁ;ALMEIDA;15022;Baja;13/08/2026;5.8;54.8;27.0;1
27;ANDINA;BOYACÁ;AQUITANIA;15047;Baja;13/08/2026;3.7;65.3;30.0;1
28;ANDINA;BOYACÁ;CAMPOHERMOSO;15135;Baja;13/08/2026;-;-;-;1
29;ANDINA;BOYACÁ;LABRANZAGRANDE;15377;Baja;13/08/2026;6.7;99.1;30.0;1
30;ANDINA;BOYACÁ;MACANAL;15425;Baja;13/08/2026;7.9;56.1;27.0;1
31;ANDINA;BOYACÁ;MONGUA;15464;Baja;13/08/2026;13.9;59.4;28.0;1
32;ANDINA;BOYACÁ;SAN LUIS DE GACENO;15667;Baja;13/08/2026;13.0;101.1;29.0;1
33;ANDINA;BOYACÁ;SANTA MARÍA;15690;Baja;13/08/2026;9.4;69.3;29.0;1
34;AMAZONÍA;CAQUETÁ;BELÉN DE LOS ANDAQUÍES;18094;Baja;13/08/2026;-;-;-;1
35;AMAZONÍA;CAQUETÁ;SAN JOSÉ DEL FRAGUA;18610;Baja;13/08/2026;-;-;-;1
36;ORINOQUÍA;CASANARE;AGUAZUL;85010;Baja;13/08/2026;-;-;-;1
