OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION
1;ANDINA;ANTIOQUIA;CONCEPCIÓN;05206;ALTA;;;;21/07/2026
2;ANDINA;ANTIOQUIA;DABEIBA;05234;ALTA;65.4;87.5;11.0;21/07/2026
3;ANDINA;ANTIOQUIA;EL CARMEN DE VIBORAL;05148;ALTA;64.8;67.5;11.0;21/07/2026
4;ANDINA;ANTIOQUIA;FRONTINO;05284;ALTA;59.4;81.0;10.0;21/07/2026
5;ANDINA;ANTIOQUIA;GIRALDO;05306;ALTA;;;;21/07/2026
6;ANDINA;ANTIOQUIA;MURINDÓ;05475;ALTA;84.7;103.3;14.0;21/07/2026
7;ANDINA;ANTIOQUIA;SONSÓN;05756;ALTA;45.8;47.1;10.0;21/07/2026
8;ORINOQUÍA;ARAUCA;FORTUL;81300;ALTA;41.3;70.0;27.0;21/07/2026
9;ORINOQUÍA;ARAUCA;SARAVENA;81736;ALTA;34.6;132.4;27.0;21/07/2026
10;ORINOQUÍA;ARAUCA;TAME;81794;ALTA;38.7;53.8;25.0;21/07/2026
11;ANDINA;BOYACÁ;CUBARÁ;15223;ALTA;39.1;204.6;27.0;21/07/2026
12;ANDINA;BOYACÁ;LABRANZAGRANDE;15377;ALTA;45.1;94.1;28.0;21/07/2026
13;ANDINA;BOYACÁ;MACANAL;15425;ALTA;22.5;124.9;30.0;21/07/2026
14;ANDINA;BOYACÁ;MUZO;15480;ALTA;;;;21/07/2026
15;ANDINA;BOYACÁ;PAYA;15533;ALTA;54.7;119.5;25.0;21/07/2026
16;ANDINA;BOYACÁ;SANTA MARÍA;15690;ALTA;31.4;181.2;30.0;21/07/2026
17;ANDINA;CALDAS;ANSERMA;17042;ALTA;65.6;65.8;10.0;21/07/2026
18;ANDINA;CALDAS;MANZANARES;17433;ALTA;;;;21/07/2026
19;ANDINA;CALDAS;MARQUETALIA;17444;ALTA;;;;21/07/2026
20;ANDINA;CALDAS;PALESTINA;17524;ALTA;;;;21/07/2026
