OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION;nivel_numero
1;ANDINA;ANTIOQUIA;CONCEPCIÓN;05206;Alta;-;-;-;21/07/2026;3
2;ANDINA;ANTIOQUIA;DABEIBA;05234;Alta;65.4;87.5;11.0;21/07/2026;3
3;ANDINA;ANTIOQUIA;EL CARMEN DE VIBORAL;05148;Alta;64.8;67.5;11.0;21/07/2026;3
4;ANDINA;ANTIOQUIA;FRONTINO;05284;Alta;59.4;81.0;10.0;21/07/2026;3
5;ANDINA;ANTIOQUIA;GIRALDO;05306;Alta;-;-;-;21/07/2026;3
6;ANDINA;ANTIOQUIA;MURINDÓ;05475;Alta;84.7;103.3;14.0;21/07/2026;3
7;ANDINA;ANTIOQUIA;SONSÓN;05756;Alta;45.8;47.1;10.0;21/07/2026;3
8;ORINOQUÍA;ARAUCA;FORTUL;81300;Alta;41.3;70.0;27.0;21/07/2026;3
9;ORINOQUÍA;ARAUCA;SARAVENA;81736;Alta;34.6;132.4;27.0;21/07/2026;3
10;ORINOQUÍA;ARAUCA;TAME;81794;Alta;38.7;53.8;25.0;21/07/2026;3
11;ANDINA;BOYACÁ;CUBARÁ;15223;Alta;39.1;204.6;27.0;21/07/2026;3
12;ANDINA;BOYACÁ;LABRANZAGRANDE;15377;Alta;45.1;94.1;28.0;21/07/2026;3
13;ANDINA;BOYACÁ;MACANAL;15425;Alta;22.5;124.9;30.0;21/07/2026;3
14;ANDINA;BOYACÁ;MUZO;15480;Alta;-;-;-;21/07/2026;3
15;ANDINA;BOYACÁ;PAYA;15533;Alta;54.7;119.5;25.0;21/07/2026;3
16;ANDINA;BOYACÁ;SANTA MARÍA;15690;Alta;31.4;181.2;30.0;21/07/2026;3
17;ANDINA;CALDAS;ANSERMA;17042;Alta;65.6;65.8;10.0;21/07/2026;3
18;ANDINA;CALDAS;MANZANARES;17433;Alta;-;-;-;21/07/2026;3
19;ANDINA;CALDAS;MARQUETALIA;17444;Alta;-;-;-;21/07/2026;3
20;ANDINA;CALDAS;PALESTINA;17524;Alta;-;-;-;21/07/2026;3
21;ANDINA;CALDAS;RIOSUCIO;17614;Alta;-;-;-;21/07/2026;3
22;ORINOQUÍA;CASANARE;HATO COROZAL;85125;Alta;32.9;80.3;25.0;21/07/2026;3
23;ORINOQUÍA;CASANARE;MONTERREY;85162;Alta;31.0;158.8;29.0;21/07/2026;3
24;ORINOQUÍA;CASANARE;PAZ DE ARIPORO;85250;Alta;35.1;106.7;27.0;21/07/2026;3
25;ORINOQUÍA;CASANARE;YOPAL;85001;Alta;41.4;130.0;24.0;21/07/2026;3
26;PACÍFICO;CAUCA;EL TAMBO;19256;Alta;44.7;74.3;18.0;21/07/2026;3
27;PACÍFICO;CAUCA;GUAPI;19318;Alta;48.8;145.4;25.0;21/07/2026;3
28;PACÍFICO;CAUCA;LÓPEZ DE MICAY;19418;Alta;115.3;225.8;26.0;21/07/2026;3
29;PACÍFICO;CAUCA;TIMBIQUÍ;19809;Alta;80.7;270.1;28.0;21/07/2026;3
30;PACÍFICO;CHOCÓ;CARMEN DEL DARIÉN;27150;Alta;61.5;86.3;25.0;21/07/2026;3
31;PACÍFICO;CHOCÓ;CONDOTO;27205;Alta;63.9;106.8;25.0;21/07/2026;3
32;PACÍFICO;CHOCÓ;NÓVITA;27491;Alta;61.1;102.2;24.0;21/07/2026;3
33;PACÍFICO;CHOCÓ;RIOSUCIO;27615;Alta;29.5;56.5;25.0;21/07/2026;3
34;PACÍFICO;CHOCÓ;RÍO IRÓ;27580;Alta;66.0;108.5;25.0;21/07/2026;3
35;PACÍFICO;CHOCÓ;SAN JOSÉ DEL PALMAR;27660;Alta;65.0;91.2;17.0;21/07/2026;3
36;PACÍFICO;CHOCÓ;TADÓ;27787;Alta;67.0;98.2;21.0;21/07/2026;3
37;ANDINA;CUNDINAMARCA;FÓMEQUE;25279;Alta;12.3;47.8;30.0;21/07/2026;3
38;ANDINA;CUNDINAMARCA;GACHALÁ;25293;Alta;20.3;187.4;30.0;21/07/2026;3
39;ANDINA;CUNDINAMARCA;LA PALMA;25394;Alta;-;-;-;21/07/2026;3
40;ANDINA;CUNDINAMARCA;MEDINA;25438;Alta;35.1;212.3;30.0;21/07/2026;3
41;ANDINA;CUNDINAMARCA;UBALÁ;25839;Alta;31.1;185.6;30.0;21/07/2026;3
42;CARIBE;MAGDALENA;SANTA MARTA;47001;Alta;-;-;-;21/07/2026;3
43;ORINOQUÍA;META;ACACÍAS;50006;Alta;13.5;174.7;30.0;21/07/2026;3
44;ORINOQUÍA;META;CUBARRAL;50223;Alta;6.1;256.6;30.0;21/07/2026;3
45;ORINOQUÍA;META;EL CASTILLO;50251;Alta;7.7;269.3;29.0;21/07/2026;3
46;ORINOQUÍA;META;RESTREPO;50606;Alta;22.8;256.8;30.0;21/07/2026;3
47;ORINOQUÍA;META;SAN JUAN DE ARAMA;50683;Alta;10.5;229.0;29.0;21/07/2026;3
48;ORINOQUÍA;META;URIBE;50370;Alta;9.6;87.5;24.0;21/07/2026;3
49;PACÍFICO;NARIÑO;BARBACOAS;52079;Alta;58.6;112.4;30.0;21/07/2026;3
50;PACÍFICO;NARIÑO;SAN ANDRÉS DE TUMACO;52835;Alta;52.5;126.9;29.0;21/07/2026;3
51;ANDINA;NORTE DE SANTANDER;CHITAGÁ;54174;Alta;28.6;142.5;27.0;21/07/2026;3
52;ANDINA;NORTE DE SANTANDER;CONVENCIÓN;54206;Alta;58.7;79.8;12.0;21/07/2026;3
53;ANDINA;NORTE DE SANTANDER;EL CARMEN;54245;Alta;45.7;70.0;11.0;21/07/2026;3
54;ANDINA;NORTE DE SANTANDER;EL TARRA;54250;Alta;92.2;140.3;15.0;21/07/2026;3
55;ANDINA;NORTE DE SANTANDER;EL ZULIA;54261;Alta;29.3;48.8;14.0;21/07/2026;3
56;ANDINA;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54001;Alta;35.8;53.1;15.0;21/07/2026;3
57;ANDINA;NORTE DE SANTANDER;SARDINATA;54720;Alta;96.9;108.1;14.0;21/07/2026;3
58;ANDINA;NORTE DE SANTANDER;TEORAMA;54800;Alta;67.9;96.7;13.0;21/07/2026;3
59;ANDINA;NORTE DE SANTANDER;TIBÚ;54810;Alta;95.9;156.4;15.0;21/07/2026;3
60;ANDINA;NORTE DE SANTANDER;TOLEDO;54820;Alta;30.4;171.7;28.0;21/07/2026;3
61;AMAZONÍA;PUTUMAYO;MOCOA;86001;Alta;12.7;104.9;30.0;21/07/2026;3
62;AMAZONÍA;PUTUMAYO;ORITO;86320;Alta;24.2;80.6;29.0;21/07/2026;3
63;AMAZONÍA;PUTUMAYO;SAN FRANCISCO;86755;Alta;12.3;156.4;30.0;21/07/2026;3
64;ANDINA;QUINDÍO;SALENTO;63690;Alta;65.0;66.6;15.0;21/07/2026;3
65;ANDINA;RISARALDA;BELÉN DE UMBRÍA;66088;Alta;116.9;118.3;9.0;21/07/2026;3
66;ANDINA;RISARALDA;SANTA ROSA DE CABAL;66682;Alta;-;-;-;21/07/2026;3
67;ANDINA;SANTANDER;AGUADA;68013;Alta;87.0;98.4;20.0;21/07/2026;3
68;ANDINA;SANTANDER;CONTRATACIÓN;68211;Alta;99.0;103.0;18.0;21/07/2026;3
69;ANDINA;SANTANDER;EL CARMEN DE CHUCURÍ;68235;Alta;-;-;-;21/07/2026;3
70;ANDINA;SANTANDER;EL GUACAMAYO;68245;Alta;78.2;83.3;20.0;21/07/2026;3
71;ANDINA;SANTANDER;GUADALUPE;68320;Alta;79.6;88.0;19.0;21/07/2026;3
72;ANDINA;SANTANDER;SAN BENITO;68673;Alta;64.6;71.7;19.0;21/07/2026;3
73;ANDINA;SANTANDER;SAN VICENTE DE CHUCURÍ;68689;Alta;-;-;-;21/07/2026;3
74;ANDINA;SANTANDER;SUAITA;68770;Alta;81.2;103.1;20.0;21/07/2026;3
75;ANDINA;SANTANDER;ZAPATOCA;68895;Alta;-;-;-;21/07/2026;3
76;ANDINA;TOLIMA;LÍBANO;73411;Alta;-;-;-;21/07/2026;3
77;ANDINA;TOLIMA;SAN SEBASTIÁN DE MARIQUITA;73443;Alta;-;-;-;21/07/2026;3
78;ANDINA;TOLIMA;SANTA ISABEL;73686;Alta;-;-;-;21/07/2026;3
79;PACÍFICO;VALLE DEL CAUCA;ALCALÁ;76020;Alta;-;-;-;21/07/2026;3
80;PACÍFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;Alta;45.3;155.1;23.0;21/07/2026;3
81;PACÍFICO;VALLE DEL CAUCA;CARTAGO;76147;Alta;-;-;-;21/07/2026;3
82;PACÍFICO;VALLE DEL CAUCA;ZARZAL;76895;Alta;53.9;89.7;8.0;21/07/2026;3
83;ANDINA;ANTIOQUIA;ABEJORRAL;05002;Baja;23.2;23.4;8.0;21/07/2026;1
84;ANDINA;ANTIOQUIA;ABRIAQUÍ;05004;Baja;36.5;52.8;10.0;21/07/2026;1
85;ANDINA;ANTIOQUIA;ALEJANDRÍA;05021;Baja;-;-;-;21/07/2026;1
86;ANDINA;ANTIOQUIA;AMALFI;05031;Baja;42.2;56.8;15.0;21/07/2026;1
87;ANDINA;ANTIOQUIA;ANGOSTURA;05038;Baja;-;-;-;21/07/2026;1
88;ANDINA;ANTIOQUIA;ANORÍ;05040;Baja;35.7;65.2;18.0;21/07/2026;1
89;ANDINA;ANTIOQUIA;ARGELIA;05055;Baja;68.0;68.9;12.0;21/07/2026;1
90;ANDINA;ANTIOQUIA;BELMIRA;05086;Baja;-;-;-;21/07/2026;1
91;ANDINA;ANTIOQUIA;CAMPAMENTO;05134;Baja;30.4;54.8;18.0;21/07/2026;1
92;ANDINA;ANTIOQUIA;CARACOLÍ;05142;Baja;-;-;-;21/07/2026;1
93;ANDINA;ANTIOQUIA;CAREPA;05147;Baja;28.5;55.3;25.0;21/07/2026;1
94;ANDINA;ANTIOQUIA;CAROLINA;05150;Baja;41.8;60.6;16.0;21/07/2026;1
95;ANDINA;ANTIOQUIA;CHIGORODÓ;05172;Baja;36.2;63.4;25.0;21/07/2026;1
96;ANDINA;ANTIOQUIA;COCORNÁ;05197;Baja;60.2;61.6;11.0;21/07/2026;1
97;ANDINA;ANTIOQUIA;CÁCERES;05120;Baja;54.8;97.7;16.0;21/07/2026;1
98;ANDINA;ANTIOQUIA;DONMATÍAS;05237;Baja;25.9;37.0;11.0;21/07/2026;1
99;ANDINA;ANTIOQUIA;EL SANTUARIO;05697;Baja;43.6;47.5;10.0;21/07/2026;1
100;ANDINA;ANTIOQUIA;GRANADA;05313;Baja;62.2;64.6;9.0;21/07/2026;1
101;ANDINA;ANTIOQUIA;GUADALUPE;05315;Baja;39.2;71.9;15.0;21/07/2026;1
102;ANDINA;ANTIOQUIA;LA CEJA;05376;Baja;41.5;44.6;10.0;21/07/2026;1
103;ANDINA;ANTIOQUIA;MACEO;05425;Baja;-;-;-;21/07/2026;1
104;ANDINA;ANTIOQUIA;NARIÑO;05483;Baja;52.4;52.7;10.0;21/07/2026;1
105;ANDINA;ANTIOQUIA;NECHÍ;05495;Baja;48.6;62.1;13.0;21/07/2026;1
106;ANDINA;ANTIOQUIA;PEQUE;05543;Baja;36.1;55.5;14.0;21/07/2026;1
107;ANDINA;ANTIOQUIA;PEÑOL;05541;Baja;-;-;-;21/07/2026;1
108;ANDINA;ANTIOQUIA;PUEBLORRICO;05576;Baja;-;-;-;21/07/2026;1
109;ANDINA;ANTIOQUIA;PUERTO BERRÍO;05579;Baja;-;-;-;21/07/2026;1
110;ANDINA;ANTIOQUIA;PUERTO NARE;05585;Baja;44.3;44.4;10.0;21/07/2026;1
111;ANDINA;ANTIOQUIA;REMEDIOS;05604;Baja;-;-;-;21/07/2026;1
112;ANDINA;ANTIOQUIA;SAN CARLOS;05649;Baja;48.8;53.9;13.0;21/07/2026;1
113;ANDINA;ANTIOQUIA;SAN FRANCISCO;05652;Baja;64.9;65.2;12.0;21/07/2026;1
114;ANDINA;ANTIOQUIA;SAN LUIS;05660;Baja;64.0;64.8;11.0;21/07/2026;1
