OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION
1;ANDINA;ANTIOQUIA;BELLO;05088;ALTA;08/12/2026
2;ANDINA;ANTIOQUIA;COPACABANA;05212;ALTA;08/12/2026
3;ANDINA;ANTIOQUIA;EBÉJICO;05240;ALTA;08/12/2026
4;ANDINA;ANTIOQUIA;ENVIGADO;05266;ALTA;08/12/2026
5;ANDINA;ANTIOQUIA;FREDONIA;05282;ALTA;08/12/2026
6;ANDINA;ANTIOQUIA;GUARNE;05318;ALTA;08/12/2026
7;ANDINA;ANTIOQUIA;LA CEJA;05376;ALTA;08/12/2026
8;ANDINA;ANTIOQUIA;MEDELLÍN;05001;ALTA;08/12/2026
9;ANDINA;ANTIOQUIA;RETIRO;05607;ALTA;08/12/2026
10;ANDINA;ANTIOQUIA;RIONEGRO;05615;ALTA;08/12/2026
11;ANDINA;ANTIOQUIA;SAN JERÓNIMO;05656;ALTA;08/12/2026
12;ANDINA;ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;05664;ALTA;08/12/2026
13;ANDINA;ANTIOQUIA;SOPETRÁN;05761;ALTA;08/12/2026
14;CARIBE;ATLÁNTICO;BARANOA;08078;ALTA;08/12/2026
15;CARIBE;ATLÁNTICO;BARRANQUILLA;08001;ALTA;08/12/2026
16;CARIBE;ATLÁNTICO;GALAPA;08296;ALTA;08/12/2026
17;CARIBE;ATLÁNTICO;MALAMBO;08433;ALTA;08/12/2026
18;CARIBE;ATLÁNTICO;PALMAR DE VARELA;08520;ALTA;08/12/2026
19;CARIBE;ATLÁNTICO;POLONUEVO;08558;ALTA;08/12/2026
20;CARIBE;ATLÁNTICO;PUERTO COLOMBIA;08573;ALTA;08/12/2026
21;CARIBE;ATLÁNTICO;SABANAGRANDE;08634;ALTA;08/12/2026
22;CARIBE;ATLÁNTICO;SANTO TOMÁS;08685;ALTA;08/12/2026
23;CARIBE;ATLÁNTICO;SOLEDAD;08758;ALTA;08/12/2026
24;CARIBE;ATLÁNTICO;TUBARÁ;08832;ALTA;08/12/2026
25;ANDINA;BOYACÁ;BUENAVISTA;15109;ALTA;08/12/2026
26;ANDINA;BOYACÁ;CALDAS;15131;ALTA;08/12/2026
27;ANDINA;BOYACÁ;CHIQUINQUIRÁ;15176;ALTA;08/12/2026
28;ANDINA;BOYACÁ;COPER;15212;ALTA;08/12/2026
29;ANDINA;BOYACÁ;CÓMBITA;15204;ALTA;08/12/2026
30;ANDINA;BOYACÁ;MARIPÍ;15442;ALTA;08/12/2026
31;ANDINA;BOYACÁ;RÁQUIRA;15600;ALTA;08/12/2026
32;ANDINA;BOYACÁ;SAN MIGUEL DE SEMA;15676;ALTA;08/12/2026
33;ANDINA;BOYACÁ;SOTAQUIRÁ;15763;ALTA;08/12/2026
34;PACÍFICO;CAUCA;BOLÍVAR;19100;ALTA;08/12/2026
35;PACÍFICO;CAUCA;CAJIBÍO;19130;ALTA;08/12/2026
36;PACÍFICO;CAUCA;JAMBALÓ;19364;ALTA;08/12/2026
37;PACÍFICO;CAUCA;MERCADERES;19450;ALTA;08/12/2026
