OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION;nivel_numero
1;ANDINA;ANTIOQUIA;GIRARDOTA;05308;Alta;47.0;69.8;13.0;19/08/2026;3
2;ANDINA;ANTIOQUIA;GÓMEZ PLATA;05310;Alta;40.0;125.5;20.0;19/08/2026;3
3;ANDINA;ANTIOQUIA;SAN ROQUE;05670;Alta;25.1;102.2;22.0;19/08/2026;3
4;ANDINA;ANTIOQUIA;YOLOMBÓ;05890;Alta;24.8;106.1;21.0;19/08/2026;3
5;ANDINA;BOYACÁ;CAMPOHERMOSO;15135;Alta;12.4;100.1;30.0;19/08/2026;3
6;ANDINA;BOYACÁ;PAYA;15533;Alta;35.7;133.1;26.0;19/08/2026;3
7;ORINOQUÍA;CASANARE;HATO COROZAL;85125;Alta;20.9;72.8;23.0;19/08/2026;3
8;ORINOQUÍA;CASANARE;NUNCHÍA;85225;Alta;17.9;85.2;24.0;19/08/2026;3
9;ORINOQUÍA;CASANARE;SÁCAMA;85315;Alta;21.7;113.2;24.0;19/08/2026;3
10;ORINOQUÍA;CASANARE;TÁMARA;85400;Alta;33.9;176.1;24.0;19/08/2026;3
11;ORINOQUÍA;CASANARE;YOPAL;85001;Alta;22.2;111.6;26.0;19/08/2026;3
12;PACÍFICO;CHOCÓ;ALTO BAUDÓ;27025;Alta;34.1;286.0;27.0;19/08/2026;3
13;PACÍFICO;CHOCÓ;BAHÍA SOLANO;27075;Alta;26.0;261.7;26.0;19/08/2026;3
14;PACÍFICO;CHOCÓ;BAJO BAUDÓ;27077;Alta;24.3;155.2;26.0;19/08/2026;3
15;PACÍFICO;CHOCÓ;BOJAYÁ;27099;Alta;29.0;176.1;24.0;19/08/2026;3
16;PACÍFICO;CHOCÓ;EL CANTÓN DEL SAN PABLO;27135;Alta;32.9;192.4;26.0;19/08/2026;3
17;PACÍFICO;CHOCÓ;LLORÓ;27413;Alta;37.5;243.7;26.0;19/08/2026;3
18;PACÍFICO;CHOCÓ;MEDIO ATRATO;27425;Alta;29.9;286.7;24.0;19/08/2026;3
19;PACÍFICO;CHOCÓ;NÓVITA;27491;Alta;37.6;102.2;24.0;19/08/2026;3
20;PACÍFICO;CHOCÓ;QUIBDÓ;27001;Alta;31.9;290.3;24.0;19/08/2026;3
21;PACÍFICO;CHOCÓ;RÍO IRÓ;27580;Alta;28.4;109.5;25.0;19/08/2026;3
22;PACÍFICO;CHOCÓ;RÍO QUITO;27600;Alta;41.3;341.8;27.0;19/08/2026;3
23;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;Alta;36.6;181.5;28.0;19/08/2026;3
24;ANDINA;HUILA;SAN AGUSTÍN;41668;Alta;15.1;54.8;24.0;19/08/2026;3
25;CARIBE;MAGDALENA;SANTA MARTA;47001;Alta;22.1;37.4;16.0;19/08/2026;3
26;ORINOQUÍA;META;ACACÍAS;50006;Alta;14.0;130.9;28.0;19/08/2026;3
27;ORINOQUÍA;META;CUBARRAL;50223;Alta;12.3;114.9;27.0;19/08/2026;3
28;ORINOQUÍA;META;RESTREPO;50606;Alta;14.1;178.6;28.0;19/08/2026;3
29;ORINOQUÍA;META;SAN JUAN DE ARAMA;50683;Alta;5.4;107.7;25.0;19/08/2026;3
30;ORINOQUÍA;META;VILLAVICENCIO;50001;Alta;10.3;106.5;27.0;19/08/2026;3
31;AMAZONÍA;PUTUMAYO;MOCOA;86001;Alta;6.6;68.6;29.0;19/08/2026;3
32;ANDINA;RISARALDA;PEREIRA;66001;Alta;38.6;50.6;12.0;19/08/2026;3
33;ANDINA;RISARALDA;SANTA ROSA DE CABAL;66682;Alta;44.6;59.5;16.0;19/08/2026;3
34;ANDINA;SANTANDER;CONTRATACIÓN;68211;Alta;67.2;139.7;21.0;19/08/2026;3
35;PACÍFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;Alta;20.3;114.5;24.0;19/08/2026;3
36;PACÍFICO;VALLE DEL CAUCA;CALI;76001;Alta;-;-;-;19/08/2026;3
37;ANDINA;ANTIOQUIA;ANDES;05034;Baja;-;-;-;19/08/2026;1
38;ANDINA;ANTIOQUIA;ANGOSTURA;05038;Baja;24.8;85.5;18.0;19/08/2026;1
39;ANDINA;ANTIOQUIA;ANZÁ;05044;Baja;-;-;-;19/08/2026;1
40;ANDINA;ANTIOQUIA;ARGELIA;05055;Baja;-;-;-;19/08/2026;1
41;ANDINA;ANTIOQUIA;BARBOSA;05079;Baja;37.4;84.4;16.0;19/08/2026;1
42;ANDINA;ANTIOQUIA;BELMIRA;05086;Baja;-;-;-;19/08/2026;1
43;ANDINA;ANTIOQUIA;CAMPAMENTO;05134;Baja;30.0;90.9;18.0;19/08/2026;1
44;ANDINA;ANTIOQUIA;CHIGORODÓ;05172;Baja;-;-;-;19/08/2026;1
45;ANDINA;ANTIOQUIA;CISNEROS;05190;Baja;-;-;-;19/08/2026;1
46;ANDINA;ANTIOQUIA;CONCEPCIÓN;05206;Baja;-;-;-;19/08/2026;1
47;ANDINA;ANTIOQUIA;DABEIBA;05234;Baja;38.4;54.1;14.0;19/08/2026;1
48;ANDINA;ANTIOQUIA;DONMATÍAS;05237;Baja;25.8;69.6;14.0;19/08/2026;1
49;ANDINA;ANTIOQUIA;EL CARMEN DE VIBORAL;05148;Baja;-;-;-;19/08/2026;1
50;ANDINA;ANTIOQUIA;ENTRERRÍOS;05264;Baja;-;-;-;19/08/2026;1
51;ANDINA;ANTIOQUIA;FREDONIA;05282;Baja;-;-;-;19/08/2026;1
52;ANDINA;ANTIOQUIA;FRONTINO;05284;Baja;-;-;-;19/08/2026;1
53;ANDINA;ANTIOQUIA;GUADALUPE;05315;Baja;28.6;124.1;19.0;19/08/2026;1
54;ANDINA;ANTIOQUIA;GUARNE;05318;Baja;55.0;81.1;15.0;19/08/2026;1
55;ANDINA;ANTIOQUIA;GUATAPÉ;05321;Baja;-;-;-;19/08/2026;1
56;ANDINA;ANTIOQUIA;ITUANGO;05361;Baja;31.9;71.9;18.0;19/08/2026;1
57;ANDINA;ANTIOQUIA;LA UNIÓN;05400;Baja;-;-;-;19/08/2026;1
58;ANDINA;ANTIOQUIA;MARINILLA;05440;Baja;-;-;-;19/08/2026;1
59;ANDINA;ANTIOQUIA;MUTATÁ;05480;Baja;33.3;66.3;22.0;19/08/2026;1
60;ANDINA;ANTIOQUIA;NECHÍ;05495;Baja;-;-;-;19/08/2026;1
61;ANDINA;ANTIOQUIA;PUEBLORRICO;05576;Baja;-;-;-;19/08/2026;1
62;ANDINA;ANTIOQUIA;PUERTO NARE;05585;Baja;19.0;84.0;19.0;19/08/2026;1
63;ANDINA;ANTIOQUIA;SAN VICENTE FERRER;05674;Baja;21.4;63.1;16.0;19/08/2026;1
64;ANDINA;ANTIOQUIA;SANTA ROSA DE OSOS;05686;Baja;22.6;72.3;16.0;19/08/2026;1
65;ANDINA;ANTIOQUIA;TARAZÁ;05790;Baja;26.8;78.4;19.0;19/08/2026;1
66;ANDINA;ANTIOQUIA;URRAO;05847;Baja;23.2;41.9;14.0;19/08/2026;1
67;ANDINA;ANTIOQUIA;VALDIVIA;05854;Baja;31.7;72.6;18.0;19/08/2026;1
68;ANDINA;ANTIOQUIA;VEGACHÍ;05858;Baja;17.3;86.1;21.0;19/08/2026;1
69;ANDINA;ANTIOQUIA;VIGÍA DEL FUERTE;05873;Baja;30.7;89.2;19.0;19/08/2026;1
70;ANDINA;ANTIOQUIA;YALÍ;05885;Baja;28.1;95.2;21.0;19/08/2026;1
71;ANDINA;ANTIOQUIA;ZARAGOZA;05895;Baja;18.3;108.8;19.0;19/08/2026;1
72;CARIBE;BOLÍVAR;ARENAL;13042;Baja;-;-;-;19/08/2026;1
73;CARIBE;BOLÍVAR;MONTECRISTO;13458;Baja;19.1;79.7;18.0;19/08/2026;1
74;CARIBE;BOLÍVAR;MORALES;13473;Baja;-;-;-;19/08/2026;1
75;CARIBE;BOLÍVAR;NOROSÍ;13490;Baja;-;-;-;19/08/2026;1
76;CARIBE;BOLÍVAR;RÍO VIEJO;13600;Baja;-;-;-;19/08/2026;1
77;CARIBE;BOLÍVAR;SAN JACINTO DEL CAUCA;13655;Baja;-;-;-;19/08/2026;1
78;CARIBE;BOLÍVAR;SIMITÍ;13744;Baja;20.6;65.3;15.0;19/08/2026;1
79;CARIBE;BOLÍVAR;TIQUISIO;13810;Baja;-;-;-;19/08/2026;1
80;ANDINA;BOYACÁ;MIRAFLORES;15455;Baja;-;-;-;19/08/2026;1
81;ANDINA;BOYACÁ;SAN LUIS DE GACENO;15667;Baja;14.9;83.4;28.0;19/08/2026;1
82;ANDINA;CALDAS;BELALCÁZAR;17088;Baja;37.3;67.2;11.0;19/08/2026;1
83;ANDINA;CALDAS;NORCASIA;17495;Baja;19.3;54.4;14.0;19/08/2026;1
84;ANDINA;CALDAS;VITERBO;17877;Baja;-;-;-;19/08/2026;1
85;AMAZONÍA;CAQUETÁ;SAN JOSÉ DEL FRAGUA;18610;Baja;12.7;72.6;28.0;19/08/2026;1
