OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION
1;PACÍFICO;CAUCA;ALMAGUER;19022;ALTA;30/07/2026
2;PACÍFICO;CAUCA;BOLÍVAR;19100;ALTA;30/07/2026
3;PACÍFICO;CAUCA;CAJIBÍO;19130;ALTA;30/07/2026
4;PACÍFICO;CAUCA;CALDONO;19137;ALTA;30/07/2026
5;PACÍFICO;CAUCA;FLORENCIA;19290;ALTA;30/07/2026
6;PACÍFICO;CAUCA;JAMBALÓ;19364;ALTA;30/07/2026
7;PACÍFICO;CAUCA;MERCADERES;19450;ALTA;30/07/2026
8;PACÍFICO;CAUCA;PATÍA;19532;ALTA;30/07/2026
9;PACÍFICO;CAUCA;PIENDAMÓ - TUNÍA;19548;ALTA;30/07/2026
10;PACÍFICO;CAUCA;POPAYÁN;19001;ALTA;30/07/2026
11;PACÍFICO;CAUCA;PÁEZ;19517;ALTA;30/07/2026
12;PACÍFICO;CAUCA;SILVIA;19743;ALTA;30/07/2026
13;PACÍFICO;CAUCA;TORIBÍO;19821;ALTA;30/07/2026
14;PACÍFICO;CAUCA;TOTORÓ;19824;ALTA;30/07/2026
15;CARIBE;CESAR;VALLEDUPAR;20001;ALTA;30/07/2026
16;ANDINA;CUNDINAMARCA;AGUA DE DIOS;25001;ALTA;30/07/2026
17;ANDINA;CUNDINAMARCA;APULO;25599;ALTA;30/07/2026
18;ANDINA;CUNDINAMARCA;GIRARDOT;25307;ALTA;30/07/2026
19;ANDINA;CUNDINAMARCA;NILO;25488;ALTA;30/07/2026
20;ANDINA;CUNDINAMARCA;RICAURTE;25612;ALTA;30/07/2026
21;ANDINA;CUNDINAMARCA;TIBACUY;25805;ALTA;30/07/2026
22;ANDINA;CUNDINAMARCA;TOCAIMA;25815;ALTA;30/07/2026
23;ANDINA;CUNDINAMARCA;VIOTÁ;25878;ALTA;30/07/2026
24;ANDINA;HUILA;AGRADO;41013;ALTA;30/07/2026
25;ANDINA;HUILA;AIPE;41016;ALTA;30/07/2026
26;ANDINA;HUILA;BARAYA;41078;ALTA;30/07/2026
27;ANDINA;HUILA;CAMPOALEGRE;41132;ALTA;30/07/2026
28;ANDINA;HUILA;GIGANTE;41306;ALTA;30/07/2026
29;ANDINA;HUILA;HOBO;41349;ALTA;30/07/2026
30;ANDINA;HUILA;NEIVA;41001;ALTA;30/07/2026
31;ANDINA;HUILA;PAICOL;41518;ALTA;30/07/2026
32;ANDINA;HUILA;PALERMO;41524;ALTA;30/07/2026
33;ANDINA;HUILA;PITAL;41548;ALTA;30/07/2026
34;ANDINA;HUILA;TERUEL;41801;ALTA;30/07/2026
35;ANDINA;HUILA;TESALIA;41797;ALTA;30/07/2026
36;ANDINA;HUILA;VILLAVIEJA;41872;ALTA;30/07/2026
37;ANDINA;HUILA;YAGUARÁ;41885;ALTA;30/07/2026
38;ANDINA;HUILA;ÍQUIRA;41357;ALTA;30/07/2026
39;PACÍFICO;NARIÑO;ANCUYA;52036;ALTA;30/07/2026
40;PACÍFICO;NARIÑO;ARBOLEDA;52051;ALTA;30/07/2026
41;PACÍFICO;NARIÑO;BELÉN;52083;ALTA;30/07/2026
42;PACÍFICO;NARIÑO;CHACHAGÜÍ;52240;ALTA;30/07/2026
43;PACÍFICO;NARIÑO;COLÓN;52203;ALTA;30/07/2026
44;PACÍFICO;NARIÑO;CONSACÁ;52207;ALTA;30/07/2026
45;PACÍFICO;NARIÑO;EL PEÑOL;52254;ALTA;30/07/2026
46;PACÍFICO;NARIÑO;EL ROSARIO;52256;ALTA;30/07/2026
47;PACÍFICO;NARIÑO;EL TAMBO;52260;ALTA;30/07/2026
48;PACÍFICO;NARIÑO;GUAITARILLA;52320;ALTA;30/07/2026
49;PACÍFICO;NARIÑO;IMUÉS;52354;ALTA;30/07/2026
50;PACÍFICO;NARIÑO;LA FLORIDA;52381;ALTA;30/07/2026
51;PACÍFICO;NARIÑO;LA UNIÓN;52399;ALTA;30/07/2026
52;PACÍFICO;NARIÑO;LINARES;52411;ALTA;30/07/2026
53;PACÍFICO;NARIÑO;LOS ANDES;52418;ALTA;30/07/2026
54;PACÍFICO;NARIÑO;OSPINA;52506;ALTA;30/07/2026
55;PACÍFICO;NARIÑO;POLICARPA;52540;ALTA;30/07/2026
56;PACÍFICO;NARIÑO;PROVIDENCIA;52565;ALTA;30/07/2026
57;PACÍFICO;NARIÑO;SAMANIEGO;52678;ALTA;30/07/2026
58;PACÍFICO;NARIÑO;SAN LORENZO;52687;ALTA;30/07/2026
59;PACÍFICO;NARIÑO;SAN PABLO;52693;ALTA;30/07/2026
60;PACÍFICO;NARIÑO;SAN PEDRO DE CARTAGO;52694;ALTA;30/07/2026
61;PACÍFICO;NARIÑO;SANDONÁ;52683;ALTA;30/07/2026
62;PACÍFICO;NARIÑO;SANTACRUZ;52699;ALTA;30/07/2026
63;PACÍFICO;NARIÑO;TAMINANGO;52786;ALTA;30/07/2026
64;PACÍFICO;NARIÑO;TÚQUERRES;52838;ALTA;30/07/2026
65;ANDINA;QUINDÍO;CÓRDOBA;63212;ALTA;30/07/2026
66;ANDINA;QUINDÍO;GÉNOVA;63302;ALTA;30/07/2026
67;ANDINA;QUINDÍO;PIJAO;63548;ALTA;30/07/2026
68;ANDINA;TOLIMA;ALPUJARRA;73024;ALTA;30/07/2026
69;ANDINA;TOLIMA;ALVARADO;73026;ALTA;30/07/2026
70;ANDINA;TOLIMA;ANZOÁTEGUI;73043;ALTA;30/07/2026
71;ANDINA;TOLIMA;ATACO;73067;ALTA;30/07/2026
72;ANDINA;TOLIMA;CAJAMARCA;73124;ALTA;30/07/2026
73;ANDINA;TOLIMA;CARMEN DE APICALÁ;73148;ALTA;30/07/2026
74;ANDINA;TOLIMA;CHAPARRAL;73168;ALTA;30/07/2026
75;ANDINA;TOLIMA;COELLO;73200;ALTA;30/07/2026
76;ANDINA;TOLIMA;COYAIMA;73217;ALTA;30/07/2026
77;ANDINA;TOLIMA;CUNDAY;73226;ALTA;30/07/2026
78;ANDINA;TOLIMA;DOLORES;73236;ALTA;30/07/2026
79;ANDINA;TOLIMA;FLANDES;73275;ALTA;30/07/2026
80;ANDINA;TOLIMA;GUAMO;73319;ALTA;30/07/2026
81;ANDINA;TOLIMA;IBAGUÉ;73001;ALTA;30/07/2026
82;ANDINA;TOLIMA;ICONONZO;73352;ALTA;30/07/2026
83;ANDINA;TOLIMA;MELGAR;73449;ALTA;30/07/2026
84;ANDINA;TOLIMA;NATAGAIMA;73483;ALTA;30/07/2026
85;ANDINA;TOLIMA;ORTEGA;73504;ALTA;30/07/2026
86;ANDINA;TOLIMA;PIEDRAS;73547;ALTA;30/07/2026
87;ANDINA;TOLIMA;PRADO;73563;ALTA;30/07/2026
88;ANDINA;TOLIMA;PURIFICACIÓN;73585;ALTA;30/07/2026
89;ANDINA;TOLIMA;RIOBLANCO;73616;ALTA;30/07/2026
90;ANDINA;TOLIMA;RONCESVALLES;73622;ALTA;30/07/2026
91;ANDINA;TOLIMA;ROVIRA;73624;ALTA;30/07/2026
92;ANDINA;TOLIMA;SALDAÑA;73671;ALTA;30/07/2026
93;ANDINA;TOLIMA;SAN ANTONIO;73675;ALTA;30/07/2026
94;ANDINA;TOLIMA;SAN LUIS;73678;ALTA;30/07/2026
95;ANDINA;TOLIMA;SANTA ISABEL;73686;ALTA;30/07/2026
96;ANDINA;TOLIMA;SUÁREZ;73770;ALTA;30/07/2026
97;ANDINA;TOLIMA;VALLE DE SAN JUAN;73854;ALTA;30/07/2026
98;PACÍFICO;VALLE DEL CAUCA;FLORIDA;76275;ALTA;30/07/2026
99;PACÍFICO;VALLE DEL CAUCA;PALMIRA;76520;ALTA;30/07/2026
100;PACÍFICO;VALLE DEL CAUCA;PRADERA;76563;ALTA;30/07/2026
101;PACÍFICO;VALLE DEL CAUCA;SEVILLA;76736;ALTA;30/07/2026
102;PACÍFICO;VALLE DEL CAUCA;TULUÁ;76834;ALTA;30/07/2026
103;ANDINA;ANTIOQUIA;ABEJORRAL;05002;BAJA;30/07/2026
104;ANDINA;ANTIOQUIA;CARAMANTA;05145;BAJA;30/07/2026
105;ANDINA;ANTIOQUIA;FREDONIA;05282;BAJA;30/07/2026
106;ANDINA;ANTIOQUIA;JERICÓ;05368;BAJA;30/07/2026
107;ANDINA;ANTIOQUIA;LA CEJA;05376;BAJA;30/07/2026
108;ANDINA;ANTIOQUIA;LA PINTADA;05390;BAJA;30/07/2026
109;ANDINA;ANTIOQUIA;LIBORINA;05411;BAJA;30/07/2026
110;ANDINA;ANTIOQUIA;MONTEBELLO;05467;BAJA;30/07/2026
111;ANDINA;ANTIOQUIA;NARIÑO;05483;BAJA;30/07/2026
112;ANDINA;ANTIOQUIA;OLAYA;05501;BAJA;30/07/2026
