COD_MUN,DEPARTAMENTO,MUNICIPIO,TMIN_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,19.7,11774585
91405,Amazonas,La Chorrera,19.5,14165931
91407,Amazonas,La Pedrera,20.3,15175784
91430,Amazonas,La Victoria,19.3,1598379
91001,Amazonas,Leticia,20.7,6727268
91460,Amazonas,Miriti-Parana,19.4,18820064
91530,Amazonas,Puerto Alegria,19.5,9291534
91536,Amazonas,Puerto Arica,20.2,15153174
91540,Amazonas,Puerto Narino,20.3,1587068
91669,Amazonas,Santander,19.4,16457477
91798,Amazonas,Tarapaca,20.5,10077628
05002,Antioquia,Abejorral,7.0,569818
05004,Antioquia,Abriaqui,6.1,333936
05021,Antioquia,Alejandria,11.6,145063
05030,Antioquia,Amaga,10.5,94539
05031,Antioquia,Amalfi,11.5,1362016
05034,Antioquia,Andes,7.1,451890
05036,Antioquia,Angelopolis,7.6,92005
05038,Antioquia,Angostura,7.5,381134
05040,Antioquia,Anori,11.6,1593171
05044,Antioquia,Anza,7.8,287675
05045,Antioquia,Apartado,20.0,603077
05051,Antioquia,Arboletes,20.5,851162
05055,Antioquia,Argelia,5.1,275658
05059,Antioquia,Armenia,11.6,124098
05079,Antioquia,Barbosa,8.6,231400
05088,Antioquia,Bello,7.4,166318
05086,Antioquia,Belmira,6.2,333209
05091,Antioquia,Betania,6.1,202703
05093,Antioquia,Betulia,6.4,294857
05107,Antioquia,Briceno,8.1,423900
05113,Antioquia,Buritica,8.7,399678
05125,Antioquia,Caicedo,4.7,225000
05129,Antioquia,Caldas,6.3,149249
05134,Antioquia,Campamento,9.2,261516
05142,Antioquia,Caracoli,17.6,295686
05145,Antioquia,Caramanta,8.7,103393
05147,Antioquia,Carepa,19.2,436264
05148,Antioquia,Carmen De Viboral,6.1,476206
05150,Antioquia,Carolina,9.1,168392
05154,Antioquia,Caucasia,21.8,1612931
05138,Antioquia,Canasgordas,6.9,410500
05172,Antioquia,Chigorodo,18.3,812701
05190,Antioquia,Cisneros,13.0,52830
05101,Antioquia,Ciudad Bolivar,7.0,296221
05197,Antioquia,Cocorna,9.8,271796
05206,Antioquia,Concepcion,8.7,227278
05209,Antioquia,Concordia,10.5,278528
05212,Antioquia,Copacabana,7.9,76412
05120,Antioquia,Caceres,18.3,2113418
05234,Antioquia,Dabeiba,7.6,2201979
05237,Antioquia,Donmatias,8.4,228757
05240,Antioquia,Ebejico,8.8,267317
05250,Antioquia,El Bagre,17.4,1760318
05607,Antioquia,El Retiro,6.3,272023
05264,Antioquia,Entrerrios,6.9,240971
05266,Antioquia,Envigado,7.1,89961
