OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION
1;ANDINA;ANTIOQUIA;ANORÍ;05040;ALTA;35.2;65.2;18.0;22/07/2026
2;ANDINA;ANTIOQUIA;DABEIBA;05234;ALTA;65.6;104.7;11.0;22/07/2026
3;ANDINA;ANTIOQUIA;EL BAGRE;05250;ALTA;89.8;98.9;13.0;22/07/2026
4;ANDINA;ANTIOQUIA;EL CARMEN DE VIBORAL;05148;ALTA;50.4;91.8;11.0;22/07/2026
5;ANDINA;ANTIOQUIA;GRANADA;05313;ALTA;87.2;112.6;9.0;22/07/2026
6;ANDINA;ANTIOQUIA;MUTATÁ;05480;ALTA;45.4;76.0;23.0;22/07/2026
7;ANDINA;ANTIOQUIA;NECHÍ;05495;ALTA;84.3;90.7;13.0;22/07/2026
8;ANDINA;ANTIOQUIA;SAN CARLOS;05649;ALTA;69.3;87.2;13.0;22/07/2026
9;ANDINA;ANTIOQUIA;SAN LUIS;05660;ALTA;83.6;105.3;11.0;22/07/2026
10;ANDINA;ANTIOQUIA;SEGOVIA;05736;ALTA;63.6;82.7;14.0;22/07/2026
11;ANDINA;ANTIOQUIA;SONSÓN;05756;ALTA;57.1;75.7;10.0;22/07/2026
12;ANDINA;ANTIOQUIA;ZARAGOZA;05895;ALTA;80.4;98.7;14.0;22/07/2026
13;ORINOQUÍA;ARAUCA;FORTUL;81300;ALTA;16.5;75.8;27.0;22/07/2026
14;ORINOQUÍA;ARAUCA;SARAVENA;81736;ALTA;33.9;148.4;27.0;22/07/2026
15;CARIBE;BOLÍVAR;MONTECRISTO;13458;ALTA;69.5;78.2;12.0;22/07/2026
16;CARIBE;BOLÍVAR;SAN JACINTO DEL CAUCA;13655;ALTA;77.1;87.8;13.0;22/07/2026
17;CARIBE;BOLÍVAR;SAN JUAN NEPOMUCENO;13657;ALTA;85.9;101.2;12.0;22/07/2026
18;ANDINA;BOYACÁ;ALMEIDA;15022;ALTA;20.7;126.7;30.0;22/07/2026
19;ANDINA;BOYACÁ;CUBARÁ;15223;ALTA;48.3;208.4;27.0;22/07/2026
20;ANDINA;BOYACÁ;MACANAL;15425;ALTA;23.0;132.6;30.0;22/07/2026
21;ANDINA;BOYACÁ;PAYA;15533;ALTA;27.9;122.8;25.0;22/07/2026
22;ANDINA;CALDAS;NORCASIA;17495;ALTA;85.6;93.3;9.0;22/07/2026
23;ANDINA;CALDAS;SAMANÁ;17662;ALTA;57.5;68.8;9.0;22/07/2026
24;ORINOQUÍA;CASANARE;MONTERREY;85162;ALTA;40.3;176.6;28.0;22/07/2026
25;ORINOQUÍA;CASANARE;YOPAL;85001;ALTA;32.5;149.5;23.0;22/07/2026
26;PACÍFICO;CAUCA;LÓPEZ DE MICAY;19418;ALTA;41.5;240.1;26.0;22/07/2026
27;PACÍFICO;CAUCA;TIMBIQUÍ;19809;ALTA;35.9;284.1;28.0;22/07/2026
28;ANDINA;CUNDINAMARCA;FÓMEQUE;25279;ALTA;3.7;45.9;30.0;22/07/2026
29;ANDINA;CUNDINAMARCA;MEDINA;25438;ALTA;21.0;218.2;30.0;22/07/2026
30;CARIBE;MAGDALENA;ARACATACA;47053;ALTA;60.9;62.0;6.0;22/07/2026
31;ORINOQUÍA;META;CUBARRAL;50223;ALTA;13.6;245.2;30.0;22/07/2026
32;ORINOQUÍA;META;CUMARAL;50226;ALTA;20.3;127.9;26.0;22/07/2026
33;ORINOQUÍA;META;EL CASTILLO;50251;ALTA;18.9;256.4;29.0;22/07/2026
34;ORINOQUÍA;META;RESTREPO;50606;ALTA;30.2;270.6;30.0;22/07/2026
35;ORINOQUÍA;META;SAN JUAN DE ARAMA;50683;ALTA;30.6;236.7;29.0;22/07/2026
36;ORINOQUÍA;META;URIBE;50370;ALTA;13.8;87.5;24.0;22/07/2026
37;PACÍFICO;NARIÑO;BARBACOAS;52079;ALTA;40.3;105.5;30.0;22/07/2026
38;ANDINA;NORTE DE SANTANDER;CHITAGÁ;54174;ALTA;16.2;133.5;27.0;22/07/2026
39;ANDINA;NORTE DE SANTANDER;TOLEDO;54820;ALTA;20.4;160.1;28.0;22/07/2026
40;AMAZONÍA;PUTUMAYO;MOCOA;86001;ALTA;26.2;109.3;30.0;22/07/2026
41;AMAZONÍA;PUTUMAYO;SAN FRANCISCO;86755;ALTA;26.4;154.4;30.0;22/07/2026
42;ANDINA;QUINDÍO;SALENTO;63690;ALTA;;;;22/07/2026
43;ANDINA;RISARALDA;BELÉN DE UMBRÍA;66088;ALTA;;;;22/07/2026
44;ANDINA;SANTANDER;BOLÍVAR;68101;ALTA;88.0;97.8;18.0;22/07/2026
45;ANDINA;SANTANDER;CIMITARRA;68190;ALTA;88.4;92.6;19.0;22/07/2026
46;ANDINA;SANTANDER;EL PEÑÓN;68250;ALTA;62.1;81.8;19.0;22/07/2026
47;ANDINA;SANTANDER;LANDÁZURI;68385;ALTA;104.8;113.5;19.0;22/07/2026
48;PACÍFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;ALTA;26.3;163.4;23.0;22/07/2026
49;PACÍFICO;VALLE DEL CAUCA;ZARZAL;76895;ALTA;;;;22/07/2026
50;ANDINA;ANTIOQUIA;AMALFI;05031;BAJA;21.8;54.5;15.0;22/07/2026
51;ANDINA;ANTIOQUIA;ANDES;05034;BAJA;42.5;47.8;12.0;22/07/2026
52;ANDINA;ANTIOQUIA;APARTADÓ;05045;BAJA;15.4;42.6;25.0;22/07/2026
53;ANDINA;ANTIOQUIA;BARBOSA;05079;BAJA;38.1;54.4;12.0;22/07/2026
54;ANDINA;ANTIOQUIA;BETANIA;05091;BAJA;46.4;63.6;10.0;22/07/2026
55;ANDINA;ANTIOQUIA;BRICEÑO;05107;BAJA;;;;22/07/2026
56;ANDINA;ANTIOQUIA;CARAMANTA;05145;BAJA;44.3;57.2;10.0;22/07/2026
57;ANDINA;ANTIOQUIA;CAÑASGORDAS;05138;BAJA;38.3;72.4;10.0;22/07/2026
58;ANDINA;ANTIOQUIA;CISNEROS;05190;BAJA;39.4;60.3;14.0;22/07/2026
59;ANDINA;ANTIOQUIA;CONCORDIA;05209;BAJA;;;;22/07/2026
60;ANDINA;ANTIOQUIA;DONMATÍAS;05237;BAJA;19.4;39.1;11.0;22/07/2026
61;ANDINA;ANTIOQUIA;GÓMEZ PLATA;05310;BAJA;;;;22/07/2026
62;ANDINA;ANTIOQUIA;LA CEJA;05376;BAJA;31.5;60.4;10.0;22/07/2026
63;ANDINA;ANTIOQUIA;NARIÑO;05483;BAJA;45.6;63.1;10.0;22/07/2026
64;ANDINA;ANTIOQUIA;PEÑOL;05541;BAJA;56.4;75.4;11.0;22/07/2026
65;ANDINA;ANTIOQUIA;PUEBLORRICO;05576;BAJA;;;;22/07/2026
66;ANDINA;ANTIOQUIA;SAN ROQUE;05670;BAJA;34.0;45.7;15.0;22/07/2026
67;ANDINA;ANTIOQUIA;SANTO DOMINGO;05690;BAJA;56.7;82.5;14.0;22/07/2026
68;ANDINA;ANTIOQUIA;TARAZÁ;05790;BAJA;41.1;71.3;19.0;22/07/2026
69;ANDINA;ANTIOQUIA;TURBO;05837;BAJA;17.5;44.7;24.0;22/07/2026
70;ANDINA;ANTIOQUIA;TÁMESIS;05789;BAJA;;;;22/07/2026
71;ANDINA;ANTIOQUIA;URRAO;05847;BAJA;34.2;67.2;9.0;22/07/2026
72;ANDINA;ANTIOQUIA;VALDIVIA;05854;BAJA;32.9;60.2;20.0;22/07/2026
73;ANDINA;ANTIOQUIA;YARUMAL;05887;BAJA;;;;22/07/2026
74;ANDINA;ANTIOQUIA;YOLOMBÓ;05890;BAJA;31.0;51.3;15.0;22/07/2026
75;CARIBE;BOLÍVAR;ACHÍ;13006;BAJA;43.0;62.0;12.0;22/07/2026
76;CARIBE;BOLÍVAR;ARENAL;13042;BAJA;36.0;38.7;11.0;22/07/2026
77;CARIBE;BOLÍVAR;CLEMENCIA;13222;BAJA;49.6;50.5;8.0;22/07/2026
78;CARIBE;BOLÍVAR;MORALES;13473;BAJA;19.2;26.3;11.0;22/07/2026
79;CARIBE;BOLÍVAR;SANTA CATALINA;13673;BAJA;34.4;35.7;8.0;22/07/2026
80;ANDINA;BOYACÁ;BERBEO;15090;BAJA;17.1;68.0;30.0;22/07/2026
81;ANDINA;BOYACÁ;CHITARAQUE;15185;BAJA;;;;22/07/2026
82;ANDINA;BOYACÁ;GARAGOA;15299;BAJA;14.5;63.2;30.0;22/07/2026
83;ANDINA;BOYACÁ;GUAYATÁ;15325;BAJA;15.0;111.9;30.0;22/07/2026
84;ANDINA;BOYACÁ;MIRAFLORES;15455;BAJA;17.6;85.5;30.0;22/07/2026
85;ANDINA;BOYACÁ;MONGUA;15464;BAJA;15.5;50.1;27.0;22/07/2026
86;ANDINA;BOYACÁ;QUÍPAMA;15580;BAJA;;;;22/07/2026
87;ANDINA;BOYACÁ;SAN EDUARDO;15660;BAJA;20.5;79.4;30.0;22/07/2026
88;ANDINA;BOYACÁ;SANTANA;15686;BAJA;;;;22/07/2026
89;ANDINA;BOYACÁ;SOMONDOCO;15761;BAJA;15.4;81.3;29.0;22/07/2026
