OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION
1;ANDINA;ANTIOQUIA;ALEJANDRÕA;05021;ALTA;23.7;126.1;26.0;09/10/2026
2;ANDINA;ANTIOQUIA;AMALFI;05031;ALTA;36.6;86.0;24.0;09/10/2026
3;ANDINA;ANTIOQUIA;ANORÕ;05040;ALTA;46.2;86.0;23.0;09/10/2026
4;ANDINA;ANTIOQUIA;CHIGOROD”;05172;ALTA;73.2;131.9;25.0;09/10/2026
5;ANDINA;ANTIOQUIA;C¡CERES;05120;ALTA;42.7;155.7;20.0;09/10/2026
6;ANDINA;ANTIOQUIA;EL BAGRE;05250;ALTA;86.9;117.2;19.0;09/10/2026
7;ANDINA;ANTIOQUIA;MUTAT¡;05480;ALTA;61.5;104.9;24.0;09/10/2026
8;ANDINA;ANTIOQUIA;NECHÕ;05495;ALTA;65.4;93.7;19.0;09/10/2026
9;ANDINA;ANTIOQUIA;REMEDIOS;05604;ALTA;44.7;89.6;24.0;09/10/2026
10;ANDINA;ANTIOQUIA;SAN RAFAEL;05667;ALTA;22.3;140.2;27.0;09/10/2026
11;ANDINA;ANTIOQUIA;SAN ROQUE;05670;ALTA;31.2;123.6;28.0;09/10/2026
12;ANDINA;ANTIOQUIA;SANTO DOMINGO;05690;ALTA;32.4;142.9;25.0;09/10/2026
13;ANDINA;ANTIOQUIA;SEGOVIA;05736;ALTA;62.3;90.0;23.0;09/10/2026
14;ANDINA;ANTIOQUIA;YOLOMB”;05890;ALTA;25.2;97.4;26.0;09/10/2026
15;ANDINA;ANTIOQUIA;ZARAGOZA;05895;ALTA;90.6;158.9;20.0;09/10/2026
16;ORINOQUÕA;ARAUCA;FORTUL;81300;ALTA;18.2;74.6;26.0;09/10/2026
17;ORINOQUÕA;ARAUCA;SARAVENA;81736;ALTA;19.2;137.8;29.0;09/10/2026
18;CARIBE;BOLÕVAR;MONTECRISTO;13458;ALTA;63.5;80.5;18.0;09/10/2026
19;CARIBE;BOLÕVAR;SAN JACINTO DEL CAUCA;13655;ALTA;49.9;63.9;19.0;09/10/2026
20;CARIBE;BOLÕVAR;SANTA ROSA DEL SUR;13688;ALTA;60.0;84.7;17.0;09/10/2026
21;ANDINA;BOYAC¡;CUBAR¡;15223;ALTA;17.3;174.8;28.0;09/10/2026
22;ANDINA;BOYAC¡;PAYA;15533;ALTA;35.9;150.9;28.0;09/10/2026
23;AMAZONÕA;CAQUET¡;BEL…N DE LOS ANDAQUÕES;18094;ALTA;40.2;98.0;26.0;09/10/2026
24;AMAZONÕA;CAQUET¡;SAN JOS… DEL FRAGUA;18610;ALTA;58.7;117.1;26.0;09/10/2026
25;ORINOQUÕA;CASANARE;NUNCHÕA;85225;ALTA;30.1;93.9;27.0;09/10/2026
26;ORINOQUÕA;CASANARE;T¡MARA;85400;ALTA;42.1;108.0;27.0;09/10/2026
27;PACÕFICO;CAUCA;L”PEZ DE MICAY;19418;ALTA;30.9;159.5;25.0;09/10/2026
28;PACÕFICO;CHOC”;ALTO BAUD”;27025;ALTA;46.2;242.3;29.0;09/10/2026
29;PACÕFICO;CHOC”;BAGAD”;27073;ALTA;27.6;125.8;25.0;09/10/2026
30;PACÕFICO;CHOC”;BAHÕA SOLANO;27075;ALTA;56.3;216.9;29.0;09/10/2026
31;PACÕFICO;CHOC”;BAJO BAUD”;27077;ALTA;51.6;222.2;29.0;09/10/2026
32;PACÕFICO;CHOC”;BOJAY¡;27099;ALTA;39.9;119.7;28.0;09/10/2026
33;PACÕFICO;CHOC”;EL CANT”N DEL SAN PABLO;27135;ALTA;35.0;224.6;29.0;09/10/2026
34;PACÕFICO;CHOC”;EL CARMEN DE ATRATO;27245;ALTA;22.0;40.9;21.0;09/10/2026
35;PACÕFICO;CHOC”;JURAD”;27372;ALTA;57.4;113.4;26.0;09/10/2026
36;PACÕFICO;CHOC”;LLOR”;27413;ALTA;43.6;204.2;29.0;09/10/2026
37;PACÕFICO;CHOC”;MEDIO ATRATO;27425;ALTA;42.7;194.2;28.0;09/10/2026
38;PACÕFICO;CHOC”;MEDIO BAUD”;27430;ALTA;53.1;229.7;29.0;09/10/2026
39;PACÕFICO;CHOC”;NUQUÕ;27495;ALTA;54.4;248.1;29.0;09/10/2026
40;PACÕFICO;CHOC”;N”VITA;27491;ALTA;66.6;235.4;27.0;09/10/2026
41;PACÕFICO;CHOC”;QUIBD”;27001;ALTA;49.4;204.3;27.0;09/10/2026
42;PACÕFICO;CHOC”;RIOSUCIO;27615;ALTA;66.7;121.3;25.0;09/10/2026
43;PACÕFICO;CHOC”;RÕO IR”;27580;ALTA;43.5;224.0;28.0;09/10/2026
44;PACÕFICO;CHOC”;RÕO QUITO;27600;ALTA;49.0;257.2;29.0;09/10/2026
45;PACÕFICO;CHOC”;TAD”;27787;ALTA;34.0;159.6;25.0;09/10/2026
46;PACÕFICO;CHOC”;UNGUÕA;27800;ALTA;69.8;119.4;25.0;09/10/2026
47;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;ALTA;19.0;143.6;29.0;09/10/2026
48;ANDINA;NORTE DE SANTANDER;TOLEDO;54820;ALTA;11.6;97.9;28.0;09/10/2026
49;AMAZONÕA;PUTUMAYO;MOCOA;86001;ALTA;20.8;114.1;28.0;09/10/2026
50;PACÕFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;ALTA;24.5;120.1;25.0;09/10/2026
51;ANDINA;ANTIOQUIA;APARTAD”;05045;BAJA;42.4;101.4;25.0;09/10/2026
52;ANDINA;ANTIOQUIA;BRICE—O;05107;BAJA;25.0;70.4;22.0;09/10/2026
53;ANDINA;ANTIOQUIA;CAMPAMENTO;05134;BAJA;26.9;54.3;23.0;09/10/2026
54;ANDINA;ANTIOQUIA;CARACOLÕ;05142;BAJA;28.7;71.8;28.0;09/10/2026
55;ANDINA;ANTIOQUIA;CAROLINA;05150;BAJA;19.7;68.6;24.0;09/10/2026
56;ANDINA;ANTIOQUIA;DABEIBA;05234;BAJA;20.1;24.1;19.0;09/10/2026
57;ANDINA;ANTIOQUIA;DONMATÕAS;05237;BAJA;19.7;80.5;21.0;09/10/2026
58;ANDINA;ANTIOQUIA;MACEO;05425;BAJA;25.4;66.5;26.0;09/10/2026
59;ANDINA;ANTIOQUIA;NECOCLÕ;05490;BAJA;25.5;52.6;23.0;09/10/2026
60;ANDINA;ANTIOQUIA;PUERTO BERRÕO;05579;BAJA;22.3;71.5;25.0;09/10/2026
61;ANDINA;ANTIOQUIA;PUERTO NARE;05585;BAJA;22.3;51.5;23.0;09/10/2026
62;ANDINA;ANTIOQUIA;YARUMAL;05887;BAJA;17.4;42.0;20.0;09/10/2026
63;ANDINA;ANTIOQUIA;YOND”;05893;BAJA;24.9;50.1;23.0;09/10/2026
64;CARIBE;BOLÕVAR;MORALES;13473;BAJA;17.2;49.9;15.0;09/10/2026
65;CARIBE;BOLÕVAR;SAN PABLO;13670;BAJA;41.3;46.1;20.0;09/10/2026
66;ANDINA;BOYAC¡;ALMEIDA;15022;BAJA;18.4;97.4;28.0;09/10/2026
67;ANDINA;BOYAC¡;AQUITANIA;15047;BAJA;10.7;76.8;30.0;09/10/2026
68;ANDINA;BOYAC¡;CAMPOHERMOSO;15135;BAJA;19.6;94.1;30.0;09/10/2026
69;ANDINA;BOYAC¡;CHITA;15183;BAJA;17.5;31.9;23.0;09/10/2026
70;ANDINA;BOYAC¡;CHIVOR;15236;BAJA;14.4;114.8;29.0;09/10/2026
71;ANDINA;BOYAC¡;GARAGOA;15299;BAJA;12.4;53.0;29.0;09/10/2026
72;ANDINA;BOYAC¡;G‹IC¡N DE LA SIERRA;15332;BAJA;6.4;36.2;23.0;09/10/2026
73;ANDINA;BOYAC¡;P¡EZ;15514;BAJA;15.5;99.9;30.0;09/10/2026
74;ANDINA;BOYAC¡;SAN LUIS DE GACENO;15667;BAJA;21.2;102.3;28.0;09/10/2026
75;ANDINA;BOYAC¡;SANTA MARÕA;15690;BAJA;20.6;111.6;29.0;09/10/2026
76;AMAZONÕA;CAQUET¡;EL PAUJÕL;18256;BAJA;9.1;132.5;26.0;09/10/2026
77;ORINOQUÕA;CASANARE;CH¡MEZA;85015;BAJA;9.4;73.6;30.0;09/10/2026
78;ORINOQUÕA;CASANARE;RECETOR;85279;BAJA;12.3;99.2;30.0;09/10/2026
79;ORINOQUÕA;CASANARE;SABANALARGA;85300;BAJA;16.6;97.0;28.0;09/10/2026
80;ORINOQUÕA;CASANARE;TAURAMENA;85410;BAJA;18.1;77.1;24.0;09/10/2026
81;PACÕFICO;CAUCA;ARGELIA;19050;BAJA;16.5;25.1;12.0;09/10/2026
82;ANDINA;CUNDINAMARCA;GACHAL¡;25293;BAJA;19.5;130.4;30.0;09/10/2026
83;ANDINA;CUNDINAMARCA;GACHET¡;25297;BAJA;12.7;86.5;29.0;09/10/2026
84;ANDINA;CUNDINAMARCA;GAMA;25299;BAJA;17.6;104.3;29.0;09/10/2026
85;ANDINA;CUNDINAMARCA;GUTI…RREZ;25339;BAJA;7.0;65.8;26.0;09/10/2026
86;ANDINA;CUNDINAMARCA;JUNÕN;25372;BAJA;9.6;56.2;29.0;09/10/2026
87;ANDINA;CUNDINAMARCA;PARATEBUENO;25530;BAJA;21.7;84.1;24.0;09/10/2026
88;ANDINA;CUNDINAMARCA;UBAL¡;25839;BAJA;17.8;118.9;29.0;09/10/2026
89;CARIBE;C”RDOBA;MONTELÕBANO;23466;BAJA;23.4;96.0;22.0;09/10/2026
90;CARIBE;C”RDOBA;SAN JOS… DE UR…;23682;BAJA;27.4;145.0;20.0;09/10/2026
91;ANDINA;HUILA;ACEVEDO;41006;BAJA;9.4;51.6;26.0;09/10/2026
92;ORINOQUÕA;META;CUBARRAL;50223;BAJA;14.9;92.7;26.0;09/10/2026
93;ORINOQUÕA;META;CUMARAL;50226;BAJA;16.7;61.7;24.0;09/10/2026
94;ORINOQUÕA;META;EL CASTILLO;50251;BAJA;23.6;78.8;26.0;09/10/2026
95;ORINOQUÕA;META;GUAMAL;50318;BAJA;13.1;66.8;26.0;09/10/2026
96;ORINOQUÕA;META;MESETAS;50330;BAJA;12.0;60.8;27.0;09/10/2026
97;ORINOQUÕA;META;SAN JUAN DE ARAMA;50683;BAJA;22.3;67.3;26.0;09/10/2026
98;ORINOQUÕA;META;SAN JUANITO;50686;BAJA;13.4;119.2;30.0;09/10/2026
99;PACÕFICO;NARI—O;EL CHARCO;52250;BAJA;21.6;47.3;21.0;09/10/2026
100;PACÕFICO;NARI—O;IPIALES;52356;BAJA;15.6;47.7;25.0;09/10/2026
101;PACÕFICO;NARI—O;RICAURTE;52612;BAJA;22.6;40.8;25.0;09/10/2026
102;PACÕFICO;NARI—O;SANTA B¡RBARA;52696;BAJA;32.5;54.1;22.0;09/10/2026
103;ANDINA;NORTE DE SANTANDER;CHITAG¡;54174;BAJA;13.7;73.9;28.0;09/10/2026
104;ANDINA;SANTANDER;CHIMA;68176;BAJA;44.0;50.1;22.0;09/10/2026
105;ANDINA;SANTANDER;CONTRATACI”N;68211;BAJA;37.9;65.2;21.0;09/10/2026
106;ANDINA;SANTANDER;HATO;68344;BAJA;31.1;36.3;21.0;09/10/2026
107;ANDINA;SANTANDER;SANTA HELENA DEL OP”N;68720;BAJA;31.2;42.0;24.0;09/10/2026
108;ANDINA;SANTANDER;SIMACOTA;68745;BAJA;22.9;32.3;22.0;09/10/2026
109;ANDINA;SANTANDER;SOCORRO;68755;BAJA;33.3;39.2;22.0;09/10/2026
110;PACÕFICO;VALLE DEL CAUCA;DAGUA;76233;BAJA;11.6;21.1;20.0;09/10/2026
111;ANDINA;ANTIOQUIA;BARBOSA;05079;MODERADA;20.4;64.6;23.0;09/10/2026
112;ANDINA;ANTIOQUIA;CAREPA;05147;MODERADA;80.1;138.3;25.0;09/10/2026
113;ANDINA;ANTIOQUIA;CONCEPCI”N;05206;MODERADA;20.2;69.7;26.0;09/10/2026
114;ANDINA;ANTIOQUIA;GIRARDOTA;05308;MODERADA;12.4;43.6;19.0;09/10/2026
115;ANDINA;ANTIOQUIA;GUATAP…;05321;MODERADA;17.3;77.2;24.0;09/10/2026
116;ANDINA;ANTIOQUIA;G”MEZ PLATA;05310;MODERADA;26.8;84.6;25.0;09/10/2026
117;ANDINA;ANTIOQUIA;ITUANGO;05361;MODERADA;27.3;77.8;23.0;09/10/2026
118;ANDINA;ANTIOQUIA;SAN CARLOS;05649;MODERADA;23.5;90.2;26.0;09/10/2026
119;ANDINA;ANTIOQUIA;TARAZ¡;05790;MODERADA;33.7;116.5;22.0;09/10/2026
120;ANDINA;ANTIOQUIA;TURBO;05837;MODERADA;58.0;104.1;24.0;09/10/2026
121;ANDINA;ANTIOQUIA;VALDIVIA;05854;MODERADA;40.5;100.0;22.0;09/10/2026
122;ANDINA;ANTIOQUIA;VEGACHÕ;05858;MODERADA;22.1;79.2;24.0;09/10/2026
123;ANDINA;ANTIOQUIA;VIGÕA DEL FUERTE;05873;MODERADA;24.7;55.2;22.0;09/10/2026
124;ANDINA;ANTIOQUIA;YALÕ;05885;MODERADA;17.5;80.0;25.0;09/10/2026
125;ORINOQUÕA;ARAUCA;TAME;81794;MODERADA;15.3;50.9;26.0;09/10/2026
126;CARIBE;BOLÕVAR;SIMITÕ;13744;MODERADA;43.1;56.4;16.0;09/10/2026
127;ANDINA;BOYAC¡;LABRANZAGRANDE;15377;MODERADA;17.3;167.3;30.0;09/10/2026
128;ANDINA;BOYAC¡;MACANAL;15425;MODERADA;28.8;98.3;28.0;09/10/2026
129;ANDINA;BOYAC¡;MONGUA;15464;MODERADA;20.6;81.6;30.0;09/10/2026
130;ANDINA;BOYAC¡;PAJARITO;15518;MODERADA;19.9;141.8;30.0;09/10/2026
131;ANDINA;BOYAC¡;PISBA;15550;MODERADA;49.5;147.3;28.0;09/10/2026
132;ANDINA;BOYAC¡;SOCOT¡;15755;MODERADA;21.3;34.4;24.0;09/10/2026
133;AMAZONÕA;CAQUET¡;FLORENCIA;18001;MODERADA;8.6;84.7;24.0;09/10/2026
134;AMAZONÕA;CAQUET¡;LA MONTA—ITA;18410;MODERADA;13.9;133.8;27.0;09/10/2026
135;AMAZONÕA;CAQUET¡;MORELIA;18479;MODERADA;26.3;90.5;28.0;09/10/2026
136;ORINOQUÕA;CASANARE;AGUAZUL;85010;MODERADA;14.1;183.2;28.0;09/10/2026
137;ORINOQUÕA;CASANARE;HATO COROZAL;85125;MODERADA;34.3;108.7;26.0;09/10/2026
138;ORINOQUÕA;CASANARE;MONTERREY;85162;MODERADA;15.5;73.3;28.0;09/10/2026
139;ORINOQUÕA;CASANARE;PAZ DE ARIPORO;85250;MODERADA;33.6;124.6;27.0;09/10/2026
140;ORINOQUÕA;CASANARE;PORE;85263;MODERADA;29.3;98.0;28.0;09/10/2026
141;ORINOQUÕA;CASANARE;S¡CAMA;85315;MODERADA;26.6;73.2;26.0;09/10/2026
142;ORINOQUÕA;CASANARE;YOPAL;85001;MODERADA;16.5;132.8;26.0;09/10/2026
143;PACÕFICO;CAUCA;EL TAMBO;19256;MODERADA;14.5;47.3;17.0;09/10/2026
144;PACÕFICO;CAUCA;GUAPI;19318;MODERADA;40.9;105.6;25.0;09/10/2026
145;PACÕFICO;CAUCA;PIAMONTE;19533;MODERADA;35.1;95.6;25.0;09/10/2026
146;PACÕFICO;CAUCA;SANTA ROSA;19701;MODERADA;11.6;59.4;27.0;09/10/2026
147;PACÕFICO;CAUCA;TIMBIQUÕ;19809;MODERADA;26.8;207.3;27.0;09/10/2026
148;PACÕFICO;CHOC”;ACANDÕ;27006;MODERADA;55.9;96.8;25.0;09/10/2026
149;PACÕFICO;CHOC”;CARMEN DEL DARI…N;27150;MODERADA;46.1;82.6;24.0;09/10/2026
150;PACÕFICO;CHOC”;CONDOTO;27205;MODERADA;56.4;236.5;27.0;09/10/2026
151;PACÕFICO;CHOC”;C…RTEGUI;27160;MODERADA;31.8;233.6;29.0;09/10/2026
152;PACÕFICO;CHOC”;EL LITORAL DEL SAN JUAN;27250;MODERADA;51.4;120.0;24.0;09/10/2026
153;PACÕFICO;CHOC”;ISTMINA;27361;MODERADA;41.9;166.3;29.0;09/10/2026
154;PACÕFICO;CHOC”;SAN JOS… DEL PALMAR;27660;MODERADA;34.7;111.6;19.0;09/10/2026
155;PACÕFICO;CHOC”;SIPÕ;27745;MODERADA;30.4;73.2;15.0;09/10/2026
156;ANDINA;CUNDINAMARCA;F”MEQUE;25279;MODERADA;8.5;43.8;30.0;09/10/2026
157;ANDINA;CUNDINAMARCA;MEDINA;25438;MODERADA;21.0;89.8;29.0;09/10/2026
158;ANDINA;CUNDINAMARCA;QUETAME;25594;MODERADA;14.1;97.6;28.0;09/10/2026
159;CARIBE;C”RDOBA;PUERTO LIBERTADOR;23580;MODERADA;29.8;116.6;22.0;09/10/2026
160;CARIBE;C”RDOBA;TIERRALTA;23807;MODERADA;29.6;84.8;23.0;09/10/2026
161;ORINOQUÕA;META;ACACÕAS;50006;MODERADA;21.8;87.5;27.0;09/10/2026
