COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,31.2,11774585
91405,Amazonas,La Chorrera,31.2,14165931
91407,Amazonas,La Pedrera,32.0,15175784
91430,Amazonas,La Victoria,30.8,1598379
91001,Amazonas,Leticia,32.3,6727268
91460,Amazonas,Miriti-Parana,31.4,18820064
91530,Amazonas,Puerto Alegria,31.0,9291534
91536,Amazonas,Puerto Arica,31.9,15153174
91540,Amazonas,Puerto Narino,31.9,1587068
91669,Amazonas,Santander,31.3,16457477
91798,Amazonas,Tarapaca,32.6,10077628
05002,Antioquia,Abejorral,33.5,569818
05004,Antioquia,Abriaqui,24.3,333936
05021,Antioquia,Alejandria,28.0,145063
05030,Antioquia,Amaga,32.6,94539
05031,Antioquia,Amalfi,36.0,1362016
05034,Antioquia,Andes,28.8,451890
05036,Antioquia,Angelopolis,31.2,92005
05038,Antioquia,Angostura,28.4,381134
05040,Antioquia,Anori,36.2,1593171
05044,Antioquia,Anza,34.5,287675
05045,Antioquia,Apartado,32.7,603077
05051,Antioquia,Arboletes,34.0,851162
05055,Antioquia,Argelia,34.3,275658
05059,Antioquia,Armenia,34.0,124098
05079,Antioquia,Barbosa,28.7,231400
05088,Antioquia,Bello,27.3,166318
05086,Antioquia,Belmira,21.2,333209
05091,Antioquia,Betania,29.0,202703
05093,Antioquia,Betulia,33.8,294857
05107,Antioquia,Briceno,33.0,423900
05113,Antioquia,Buritica,33.0,399678
05125,Antioquia,Caicedo,30.3,225000
05129,Antioquia,Caldas,28.5,149249
05134,Antioquia,Campamento,32.2,261516
05142,Antioquia,Caracoli,34.8,295686
05145,Antioquia,Caramanta,32.0,103393
05147,Antioquia,Carepa,33.0,436264
05148,Antioquia,Carmen De Viboral,30.2,476206
05150,Antioquia,Carolina,28.8,168392
05154,Antioquia,Caucasia,36.0,1612931
05138,Antioquia,Canasgordas,27.6,410500
05172,Antioquia,Chigorodo,33.1,812701
05190,Antioquia,Cisneros,29.8,52830
05101,Antioquia,Ciudad Bolivar,32.2,296221
05197,Antioquia,Cocorna,32.7,271796
05206,Antioquia,Concepcion,25.6,227278
05209,Antioquia,Concordia,34.2,278528
05212,Antioquia,Copacabana,26.8,76412
05120,Antioquia,Caceres,35.3,2113418
05234,Antioquia,Dabeiba,31.8,2201979
05237,Antioquia,Donmatias,29.0,228757
05240,Antioquia,Ebejico,34.4,267317
05250,Antioquia,El Bagre,37.0,1760318
05607,Antioquia,El Retiro,25.5,272023
05264,Antioquia,Entrerrios,20.7,240971
05266,Antioquia,Envigado,26.6,89961
05282,Antioquia,Fredonia,33.6,289963
05284,Antioquia,Frontino,31.9,1556209
05306,Antioquia,Giraldo,30.4,105158
05308,Antioquia,Girardota,27.1,93182
05313,Antioquia,Granada,30.6,213883
05315,Antioquia,Guadalupe,32.2,133112
05318,Antioquia,Guarne,22.0,171165
05321,Antioquia,Guatape,23.8,93722
05310,Antioquia,Gomez Plata,31.9,373943
05347,Antioquia,Heliconia,32.7,129116
05353,Antioquia,Hispania,31.5,60851
05360,Antioquia,Itagui,26.8,21942
05361,Antioquia,Ituango,33.0,3200283
05364,Antioquia,Jardin,24.9,225853
05368,Antioquia,Jerico,33.6,230278
05376,Antioquia,La Ceja,28.1,149154
05380,Antioquia,La Estrella,26.9,41419
05390,Antioquia,La Pintada,33.0,61022
