COD_MUN,DEPARTAMENTO,MUNICIPIO,TMIN_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,19.9,11774585
91405,Amazonas,La Chorrera,19.5,14165931
91407,Amazonas,La Pedrera,18.9,15175784
91430,Amazonas,La Victoria,19.5,1598379
91001,Amazonas,Leticia,20.1,6727268
91460,Amazonas,Miriti-Parana,19.2,18820064
91530,Amazonas,Puerto Alegria,19.7,9291534
91536,Amazonas,Puerto Arica,20.2,15153174
91540,Amazonas,Puerto Narino,20.1,1587068
91669,Amazonas,Santander,19.0,16457477
91798,Amazonas,Tarapaca,20.0,10077628
05002,Antioquia,Abejorral,7.6,569818
05004,Antioquia,Abriaqui,3.7,333936
05021,Antioquia,Alejandria,11.5,145063
05030,Antioquia,Amaga,10.7,94539
05031,Antioquia,Amalfi,11.4,1362016
05034,Antioquia,Andes,3.8,451890
05036,Antioquia,Angelopolis,8.1,92005
05038,Antioquia,Angostura,7.5,381134
05040,Antioquia,Anori,11.9,1593171
05044,Antioquia,Anza,7.5,287675
05045,Antioquia,Apartado,19.2,603077
05051,Antioquia,Arboletes,20.5,851162
05055,Antioquia,Argelia,5.3,275658
05059,Antioquia,Armenia,11.8,124098
05079,Antioquia,Barbosa,8.3,231400
05088,Antioquia,Bello,7.6,166318
05086,Antioquia,Belmira,6.0,333209
05091,Antioquia,Betania,2.6,202703
05093,Antioquia,Betulia,5.3,294857
05107,Antioquia,Briceno,7.7,423900
05113,Antioquia,Buritica,8.3,399678
05125,Antioquia,Caicedo,3.2,225000
05129,Antioquia,Caldas,6.3,149249
05134,Antioquia,Campamento,9.0,261516
05142,Antioquia,Caracoli,18.3,295686
05145,Antioquia,Caramanta,7.4,103393
05147,Antioquia,Carepa,18.3,436264
05148,Antioquia,Carmen De Viboral,6.4,476206
05150,Antioquia,Carolina,9.2,168392
05154,Antioquia,Caucasia,21.6,1612931
05138,Antioquia,Canasgordas,6.0,410500
05172,Antioquia,Chigorodo,16.8,812701
05190,Antioquia,Cisneros,13.1,52830
05101,Antioquia,Ciudad Bolivar,3.9,296221
05197,Antioquia,Cocorna,9.3,271796
05206,Antioquia,Concepcion,8.5,227278
05209,Antioquia,Concordia,9.3,278528
05212,Antioquia,Copacabana,8.6,76412
05120,Antioquia,Caceres,18.7,2113418
05234,Antioquia,Dabeiba,4.9,2201979
05237,Antioquia,Donmatias,8.6,228757
05240,Antioquia,Ebejico,9.1,267317
05250,Antioquia,El Bagre,17.6,1760318
05607,Antioquia,El Retiro,6.2,272023
05264,Antioquia,Entrerrios,6.7,240971
05266,Antioquia,Envigado,6.7,89961
05282,Antioquia,Fredonia,9.9,289963
05284,Antioquia,Frontino,4.4,1556209
05306,Antioquia,Giraldo,6.2,105158
05308,Antioquia,Girardota,8.8,93182
05313,Antioquia,Granada,8.9,213883
05315,Antioquia,Guadalupe,12.0,133112
05318,Antioquia,Guarne,8.3,171165
05321,Antioquia,Guatape,10.0,93722
05310,Antioquia,Gomez Plata,11.1,373943
05347,Antioquia,Heliconia,8.9,129116
05353,Antioquia,Hispania,13.0,60851
05360,Antioquia,Itagui,11.6,21942
05361,Antioquia,Ituango,5.6,3200283
05364,Antioquia,Jardin,6.7,225853
05368,Antioquia,Jerico,9.4,230278
05376,Antioquia,La Ceja,7.5,149154
05380,Antioquia,La Estrella,8.1,41419
05390,Antioquia,La Pintada,15.8,61022
05400,Antioquia,La Union,6.9,188508
05411,Antioquia,Liborina,6.3,243496
05425,Antioquia,Maceo,17.1,435772
05440,Antioquia,Marinilla,9.2,129182
05001,Antioquia,Medellin,7.4,419962
05467,Antioquia,Montebello,10.4,85420
05475,Antioquia,Murindo,17.2,1423307
05480,Antioquia,Mutata,8.8,1209994
05483,Antioquia,Narino,3.7,355855
05495,Antioquia,Nechi,20.0,1058350
05490,Antioquia,Necocli,20.3,1413373
05501,Antioquia,Olaya,6.7,97860
05543,Antioquia,Peque,4.8,488675
05541,Antioquia,Penol,9.0,133072
05576,Antioquia,Pueblorrico,10.6,84712
05579,Antioquia,Puerto Berrio,18.6,1373268
05585,Antioquia,Puerto Nare,18.8,752766
05591,Antioquia,Puerto Triunfo,21.5,416003
05604,Antioquia,Remedios,18.0,2225054
05615,Antioquia,Rionegro,7.7,220278
05628,Antioquia,Sabanalarga,6.7,299127
05631,Antioquia,Sabaneta,8.9,17685
05642,Antioquia,Salgar,2.8,323789
05647,Antioquia,San Andres de Cuerquia,6.8,232856
05649,Antioquia,San Carlos,9.4,807373
05652,Antioquia,San Francisco,11.4,400557
05656,Antioquia,San Jeronimo,7.7,181379
05658,Antioquia,San Jose De La Montana,5.4,141913
05659,Antioquia,San Juan De Uraba,21.5,283742
05660,Antioquia,San Luis,12.7,478477
05664,Antioquia,San Pedro De Los Milagros,8.1,248643
05665,Antioquia,San Pedro De Uraba,20.7,680012
05667,Antioquia,San Rafael,9.4,409416
05670,Antioquia,San Roque,12.8,478016
05674,Antioquia,San Vicente,8.3,259228
05679,Antioquia,Santa Barbara,8.9,220405
05042,Antioquia,Santa Fe De Antioquia,4.5,591089
05686,Antioquia,Santa Rosa De Osos,6.5,973298
05690,Antioquia,Santo Domingo,10.0,299206
05697,Antioquia,Santuario,8.5,93832
05736,Antioquia,Segovia,15.4,1269072
05756,Antioquia,Sonson,3.8,1513077
05761,Antioquia,Sopetran,7.7,246389
05790,Antioquia,Taraza,13.5,1295523
05792,Antioquia,Tarso,4.7,135324
05809,Antioquia,Titiribi,10.9,157727
05819,Antioquia,Toledo,10.0,151358
05837,Antioquia,Turbo,20.0,3280628
05789,Antioquia,Tamesis,6.8,283262
05842,Antioquia,Uramita,7.9,299198
05847,Antioquia,Urrao,2.1,2880450
05854,Antioquia,Valdivia,10.6,639646
05856,Antioquia,Valparaiso,9.5,141722
05858,Antioquia,Vegachi,14.9,609013
05861,Antioquia,Venecia,10.1,156919
05873,Antioquia,Vigia Del Fuerte,15.9,1866734
05885,Antioquia,Yali,13.8,496447
05887,Antioquia,Yarumal,6.6,802404
05890,Antioquia,Yolombo,11.7,1139895
05893,Antioquia,Yondo,20.6,2135142
05895,Antioquia,Zaragoza,19.9,1316724
81001,Arauca,Arauca,19.6,6480390
81065,Arauca,Arauquita,19.2,3398314
81220,Arauca,Cravo Norte,21.7,5830110
81300,Arauca,Fortul,-3.2,1302674
81591,Arauca,Puerto Rondon,19.8,2560110
81736,Arauca,Saravena,8.2,1040968
81794,Arauca,Tame,-4.9,6088514
08078,Atlantico,Baranoa,21.7,138078
08001,Atlantico,Barranquilla,23.6,165737
08137,Atlantico,Campo De La Cruz,21.7,113666
08141,Atlantico,Candelaria,21.5,154373
08296,Atlantico,Galapa,22.0,111089
08372,Atlantico,Juan De Acosta,21.5,191150
08421,Atlantico,Luruaco,19.0,255101
08433,Atlantico,Malambo,22.3,111834
08436,Atlantico,Manati,21.3,243551
08520,Atlantico,Palmar De Varela,21.5,104963
08549,Atlantico,Piojo,17.2,287737
08558,Atlantico,Polonuevo,22.0,84030
08560,Atlantico,Ponedera,21.5,235059
08573,Atlantico,Puerto Colombia,24.2,80058
08606,Atlantico,Repelon,18.9,407612
08634,Atlantico,Sabanagrande,22.0,49057
08638,Atlantico,Sabanalarga,21.5,450221
08675,Atlantico,Santa Lucia,21.7,65156
08685,Atlantico,Santo Tomas,21.8,74048
08758,Atlantico,Soledad,23.0,67368
08770,Atlantico,Suan,21.5,48341
08832,Atlantico,Tubara,21.9,203989
08849,Atlantico,Usiacuri,21.4,115345
13006,Bolivar,Achi,17.8,1076327
13030,Bolivar,Altos Del Rosario,19.8,343678
13042,Bolivar,Arenal,13.0,522075
13052,Bolivar,Arjona,21.5,666987
13062,Bolivar,Arroyohondo,21.3,186053
13074,Bolivar,Barranco De Loba,19.4,487437
13140,Bolivar,Calamar,21.3,290411
13160,Bolivar,Cantagallo,18.4,992881
13001,Bolivar,Cartagena De Indias,20.8,641599
13188,Bolivar,Cicuco,22.2,149678
13222,Bolivar,Clemencia,19.8,97062
13212,Bolivar,Cordoba,21.8,677130
13244,Bolivar,El Carmen De Bolivar,20.3,1073061
13248,Bolivar,El Guamo,22.1,435079
13268,Bolivar,El Penon,21.8,361034
13300,Bolivar,Hatillo De Loba,21.7,219910
13430,Bolivar,Magangue,21.6,1280772
13433,Bolivar,Mahates,21.7,490963
13440,Bolivar,Margarita,22.3,331744
13442,Bolivar,Maria La Baja,21.8,636887
13468,Bolivar,Mompos,22.5,738623
13458,Bolivar,Montecristo,10.6,2363379
13473,Bolivar,Morales,10.6,1522699
13490,Bolivar,Norosi,17.4,470792
13549,Bolivar,Pinillos,21.1,877847
13580,Bolivar,Regidor,21.8,207578
13600,Bolivar,Rioviejo,15.2,955818
13620,Bolivar,San Cristobal,21.8,48057
13647,Bolivar,San Estanislao,21.0,240440
13650,Bolivar,San Fernando,22.9,360236
13654,Bolivar,San Jacinto,21.1,502471
13655,Bolivar,San Jacinto Del Cauca,20.7,643931
13657,Bolivar,San Juan Nepomuceno,21.7,716411
13667,Bolivar,San Martin De Loba,19.5,509391
13670,Bolivar,San Pablo,15.0,2279235
13673,Bolivar,Santa Catalina,19.1,195742
13683,Bolivar,Santa Rosa,22.0,175803
13688,Bolivar,Santa Rosa Del Sur,12.4,2689542
13744,Bolivar,Simiti,16.9,1529192
13760,Bolivar,Soplaviento,21.9,105206
13780,Bolivar,Talaigua Nuevo,22.1,282518
13810,Bolivar,Tiquisio,17.3,862474
13836,Bolivar,Turbaco,20.4,230243
13838,Bolivar,Turbana,20.9,216239
13873,Bolivar,Villanueva,19.6,155836
13894,Bolivar,Zambrano,21.8,351120
15022,Boyaca,Almeida,6.3,64742
15047,Boyaca,Aquitania,0.5,1058211
15051,Boyaca,Arcabuco,2.2,154978
15087,Boyaca,Belen,-1.6,183366
15090,Boyaca,Berbeo,4.4,65145
15092,Boyaca,Beteitiva,1.5,114526
15097,Boyaca,Boavita,4.9,163388
15104,Boyaca,Boyaca,5.7,53946
15106,Boyaca,Briceno,5.6,72614
15109,Boyaca,Buenavista,5.3,123767
15114,Boyaca,Busbanza,4.7,28487
15131,Boyaca,Caldas,6.2,88750
15135,Boyaca,Campohermoso,8.0,335327
15162,Boyaca,Cerinza,-0.7,71470
15172,Boyaca,Chinavita,3.5,153141
15176,Boyaca,Chiquinquira,4.2,185435
15180,Boyaca,Chiscas,-4.4,741218
15183,Boyaca,Chita,-1.1,761279
15185,Boyaca,Chitaraque,7.3,178245
15187,Boyaca,Chivata,4.4,55652
15236,Boyaca,Chivor,6.3,121971
15232,Boyaca,Chiquiza,2.5,130944
15189,Boyaca,Cienega,4.5,60653
15212,Boyaca,Coper,8.2,168389
15215,Boyaca,Corrales,3.6,68384
15218,Boyaca,Covarachia,8.3,115095
15223,Boyaca,Cubara,-2.1,1307040
15224,Boyaca,Cucaita,5.7,47345
15226,Boyaca,Cuitiva,2.5,49566
15204,Boyaca,Combita,1.8,163236
15238,Boyaca,Duitama,-0.2,263024
15244,Boyaca,El Cocuy,-1.8,267964
15248,Boyaca,El Espino,1.7,78072
15272,Boyaca,Firavitoba,3.3,122844
15276,Boyaca,Floresta,1.8,99040
15293,Boyaca,Gachantiva,7.1,99085
15299,Boyaca,Garagoa,4.8,217267
15317,Boyaca,Guacamayas,3.6,64841
15322,Boyaca,Guateque,8.1,40555
15325,Boyaca,Guayata,6.2,112217
15296,Boyaca,Gameza,-0.3,138946
15332,Boyaca,Guican De La Sierra,-6.0,1070903
15362,Boyaca,Iza,2.9,38473
15367,Boyaca,Jenesano,5.6,66331
15368,Boyaca,Jerico,1.0,148093
15380,Boyaca,La Capilla,3.2,63929
15403,Boyaca,La Uvita,1.0,181646
15401,Boyaca,La Victoria,13.0,31473
15377,Boyaca,Labranzagrande,1.2,652774
15425,Boyaca,Macanal,6.4,224465
15442,Boyaca,Maripi,6.9,180579
15455,Boyaca,Miraflores,3.6,290460
15464,Boyaca,Mongua,0.3,405311
15466,Boyaca,Mongui,0.5,77369
15469,Boyaca,Moniquira,7.4,245372
15476,Boyaca,Motavita,3.7,67457
15480,Boyaca,Muzo,12.7,154909
15491,Boyaca,Nobsa,2.8,62374
15494,Boyaca,Nuevo Colon,4.7,57731
15500,Boyaca,Oicata,5.0,67761
15507,Boyaca,Otanche,13.3,533974
15511,Boyaca,Pachavita,4.1,74881
15516,Boyaca,Paipa,0.7,342952
15518,Boyaca,Pajarito,1.4,352183
15522,Boyaca,Panqueba,2.7,44663
15531,Boyaca,Pauna,6.9,283931
15533,Boyaca,Paya,7.4,498334
15537,Boyaca,Paz De Rio,0.2,137921
15542,Boyaca,Pesca,3.1,295543
15550,Boyaca,Pisba,1.2,522244
15572,Boyaca,Puerto Boyaca,16.2,1701535
15514,Boyaca,Paez,5.9,380612
15580,Boyaca,Quipama,13.0,188012
15599,Boyaca,Ramiriqui,4.4,141107
15621,Boyaca,Rondon,3.9,231777
15600,Boyaca,Raquira,5.1,247937
15632,Boyaca,Saboya,3.9,279484
15646,Boyaca,Samaca,3.9,188280
15660,Boyaca,San Eduardo,3.1,122906
15664,Boyaca,San Jose De Pare,10.6,83670
15667,Boyaca,San Luis De Gaceno,11.1,527240
15673,Boyaca,San Mateo,1.4,139347
15676,Boyaca,San Miguel De Sema,5.7,105631
15681,Boyaca,San Pablo De Borbur,12.8,220216
15690,Boyaca,Santa Maria,6.9,347503
15693,Boyaca,Santa Rosa De Viterbo,-0.7,131186
15696,Boyaca,Santa Sofia,4.0,87207
15686,Boyaca,Santana,11.0,76441
15720,Boyaca,Sativanorte,0.1,181350
15723,Boyaca,Sativasur,0.1,61700
15740,Boyaca,Siachoque,3.8,133916
15753,Boyaca,Soata,3.8,138419
15757,Boyaca,Socha,-0.6,168764
15755,Boyaca,Socota,-0.2,678247
15759,Boyaca,Sogamoso,0.5,233349
15761,Boyaca,Somondoco,7.6,66002
15762,Boyaca,Sora,4.8,53754
15764,Boyaca,Soraca,5.5,62643
15763,Boyaca,Sotaquira,0.8,320398
15774,Boyaca,Susacon,1.2,205449
15776,Boyaca,Sutamarchan,3.9,116304
15778,Boyaca,Sutatenza,8.1,46176
15638,Boyaca,Sachica,6.2,71835
15790,Boyaca,Tasco,-0.3,235644
15798,Boyaca,Tenza,8.1,51489
15804,Boyaca,Tibana,5.4,136825
15806,Boyaca,Tibasosa,3.3,105337
15808,Boyaca,Tinjaca,4.2,89623
15810,Boyaca,Tipacoque,6.2,80921
15814,Boyaca,Toca,3.1,189032
15816,Boyaca,Togui,7.3,114085
15822,Boyaca,Tota,2.4,220195
15001,Boyaca,Tunja,5.6,134508
15832,Boyaca,Tunungua,13.1,32844
15835,Boyaca,Turmeque,3.4,89512
15837,Boyaca,Tuta,3.7,186007
15839,Boyaca,Tutaza,-1.5,137160
15820,Boyaca,Topaga,3.4,37790
15861,Boyaca,Ventaquemada,4.1,179736
15407,Boyaca,Villa De Leiva,3.0,142254
15879,Boyaca,Viracacha,3.9,70304
15897,Boyaca,Zetaquira,3.1,282434
15842,Boyaca,Umbita,3.3,164061
17013,Caldas,Aguadas,4.9,534268
17042,Caldas,Anserma,12.5,234757
17050,Caldas,Aranzazu,3.0,167918
17088,Caldas,Belalcazar,14.1,127127
17174,Caldas,Chinchina,11.4,122659
17272,Caldas,Filadelfia,11.5,216214
17380,Caldas,La Dorada,20.6,617440
17388,Caldas,La Merced,10.7,99457
17001,Caldas,Manizales,2.7,494940
17433,Caldas,Manzanares,3.0,222224
17442,Caldas,Marmato,11.5,41414
17444,Caldas,Marquetalia,9.9,101432
17446,Caldas,Marulanda,1.9,423160
17486,Caldas,Neira,1.9,414517
17495,Caldas,Norcasia,17.5,255702
17524,Caldas,Palestina,14.4,125923
17541,Caldas,Pensilvania,1.5,559892
17513,Caldas,Pacora,5.0,288940
17614,Caldas,Riosucio,6.7,431230
17616,Caldas,Risaralda,13.7,100893
17653,Caldas,Salamina,2.2,435722
17662,Caldas,Samana,9.5,851762
17665,Caldas,San Jose,13.7,68409
17777,Caldas,Supia,7.5,136369
17867,Caldas,Victoria,17.3,627863
17873,Caldas,Villamaria,-2.5,510552
17877,Caldas,Viterbo,14.5,126646
18029,Caqueta,Albania,20.3,461430
18094,Caqueta,Belen De Los Andaquies,6.9,1332070
18150,Caqueta,Cartagena Del Chaira,19.9,14302792
18205,Caqueta,Curillo,20.8,446258
18247,Caqueta,El Doncello,6.1,1237359
