OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
1;ANDINA;ANTIOQUIA;ANORÍ;05040;Alta;21/08/2026;32.6;126.2;18.0;3
2;ANDINA;ANTIOQUIA;CÁCERES;05120;Alta;21/08/2026;61.9;138.4;19.0;3
3;ANDINA;ANTIOQUIA;EL BAGRE;05250;Alta;21/08/2026;34.5;113.6;19.0;3
4;ANDINA;ANTIOQUIA;GÓMEZ PLATA;05310;Alta;21/08/2026;8.6;132.3;20.0;3
5;ANDINA;ANTIOQUIA;REMEDIOS;05604;Alta;21/08/2026;49.9;150.0;21.0;3
6;ANDINA;ANTIOQUIA;SEGOVIA;05736;Alta;21/08/2026;62.0;187.8;20.0;3
7;ANDINA;ANTIOQUIA;YOLOMBÓ;05890;Alta;21/08/2026;12.4;114.7;21.0;3
8;ANDINA;BOYACÁ;CAMPOHERMOSO;15135;Alta;21/08/2026;30.5;108.4;30.0;3
9;ANDINA;BOYACÁ;MACANAL;15425;Alta;21/08/2026;36.3;111.9;28.0;3
10;ANDINA;BOYACÁ;PAYA;15533;Alta;21/08/2026;44.9;134.0;26.0;3
11;ANDINA;BOYACÁ;PISBA;15550;Alta;21/08/2026;70.1;190.7;26.0;3
12;ANDINA;BOYACÁ;SAN LUIS DE GACENO;15667;Alta;21/08/2026;60.4;134.6;28.0;3
13;ANDINA;BOYACÁ;SANTA MARÍA;15690;Alta;21/08/2026;63.7;132.1;29.0;3
14;AMAZONÍA;CAQUETÁ;FLORENCIA;18001;Alta;21/08/2026;18.5;44.6;22.0;3
15;ORINOQUÍA;CASANARE;NUNCHÍA;85225;Alta;21/08/2026;20.5;71.4;23.0;3
16;ORINOQUÍA;CASANARE;PORE;85263;Alta;21/08/2026;13.7;68.4;21.0;3
17;ORINOQUÍA;CASANARE;TÁMARA;85400;Alta;21/08/2026;75.9;221.0;23.0;3
18;PACÍFICO;CHOCÓ;BAHÍA SOLANO;27075;Alta;21/08/2026;15.2;256.0;25.0;3
19;PACÍFICO;CHOCÓ;BAJO BAUDÓ;27077;Alta;21/08/2026;42.3;178.7;25.0;3
20;PACÍFICO;CHOCÓ;BOJAYÁ;27099;Alta;21/08/2026;17.2;176.8;23.0;3
21;PACÍFICO;CHOCÓ;NÓVITA;27491;Alta;21/08/2026;54.8;125.9;23.0;3
