COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,32.9,11774585
91405,Amazonas,La Chorrera,32.4,14165931
91407,Amazonas,La Pedrera,33.5,15175784
91430,Amazonas,La Victoria,32.8,1598379
91001,Amazonas,Leticia,33.5,6727268
91460,Amazonas,Miriti-Parana,33.0,18820064
91530,Amazonas,Puerto Alegria,31.0,9291534
91536,Amazonas,Puerto Arica,32.8,15153174
91540,Amazonas,Puerto Narino,33.3,1587068
91669,Amazonas,Santander,32.8,16457477
91798,Amazonas,Tarapaca,33.7,10077628
05002,Antioquia,Abejorral,35.7,569818
05004,Antioquia,Abriaqui,25.3,333936
05021,Antioquia,Alejandria,28.7,145063
05030,Antioquia,Amaga,33.9,94539
05031,Antioquia,Amalfi,37.2,1362016
05034,Antioquia,Andes,29.5,451890
05036,Antioquia,Angelopolis,32.7,92005
05038,Antioquia,Angostura,28.9,381134
05040,Antioquia,Anori,37.1,1593171
05044,Antioquia,Anza,35.9,287675
05045,Antioquia,Apartado,33.2,603077
05051,Antioquia,Arboletes,35.6,851162
05055,Antioquia,Argelia,36.4,275658
05059,Antioquia,Armenia,35.2,124098
05079,Antioquia,Barbosa,29.1,231400
05088,Antioquia,Bello,27.4,166318
05086,Antioquia,Belmira,21.3,333209
05091,Antioquia,Betania,29.8,202703
05093,Antioquia,Betulia,35.3,294857
05107,Antioquia,Briceno,34.1,423900
05113,Antioquia,Buritica,33.4,399678
05125,Antioquia,Caicedo,30.9,225000
05129,Antioquia,Caldas,29.9,149249
05134,Antioquia,Campamento,34.3,261516
05142,Antioquia,Caracoli,36.5,295686
05145,Antioquia,Caramanta,34.0,103393
05147,Antioquia,Carepa,33.4,436264
05148,Antioquia,Carmen De Viboral,31.1,476206
05150,Antioquia,Carolina,29.2,168392
05154,Antioquia,Caucasia,37.4,1612931
05138,Antioquia,Canasgordas,27.7,410500
05172,Antioquia,Chigorodo,33.7,812701
05190,Antioquia,Cisneros,30.8,52830
05101,Antioquia,Ciudad Bolivar,33.1,296221
05197,Antioquia,Cocorna,33.9,271796
05206,Antioquia,Concepcion,26.0,227278
05209,Antioquia,Concordia,35.2,278528
05212,Antioquia,Copacabana,27.2,76412
05120,Antioquia,Caceres,37.1,2113418
05234,Antioquia,Dabeiba,32.2,2201979
05237,Antioquia,Donmatias,29.4,228757
05240,Antioquia,Ebejico,36.0,267317
