OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
1;ANDINA;ANTIOQUIA;ANORÕ;05040;Alta;20/08/2026;27.9;121.5;18.0;3
2;ANDINA;ANTIOQUIA;C¡CERES;05120;Alta;20/08/2026;50.1;127.3;19.0;3
3;ANDINA;ANTIOQUIA;EL BAGRE;05250;Alta;20/08/2026;31.4;113.9;19.0;3
4;ANDINA;ANTIOQUIA;G”MEZ PLATA;05310;Alta;20/08/2026;3.6;127.2;21.0;3
5;ANDINA;ANTIOQUIA;YOLOMB”;05890;Alta;20/08/2026;10.8;111.6;22.0;3
6;ANDINA;BOYAC¡;SANTA MARÕA;15690;Alta;20/08/2026;-;-;-;3
7;ORINOQUÕA;CASANARE;HATO COROZAL;85125;Alta;20/08/2026;26.8;76.8;22.0;3
8;ORINOQUÕA;CASANARE;NUNCHÕA;85225;Alta;20/08/2026;34.3;84.6;24.0;3
9;ORINOQUÕA;CASANARE;S¡CAMA;85315;Alta;20/08/2026;35.4;121.0;24.0;3
10;ORINOQUÕA;CASANARE;T¡MARA;85400;Alta;20/08/2026;54.2;194.9;24.0;3
11;PACÕFICO;CHOC”;BAHÕA SOLANO;27075;Alta;20/08/2026;26.1;278.0;25.0;3
12;PACÕFICO;CHOC”;BAJO BAUD”;27077;Alta;20/08/2026;13.9;154.2;25.0;3
13;PACÕFICO;CHOC”;BOJAY¡;27099;Alta;20/08/2026;22.3;188.7;23.0;3
14;ANDINA;CUNDINAMARCA;GACHAL¡;25293;Alta;20/08/2026;21.6;77.3;30.0;3
15;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;Alta;20/08/2026;28.9;204.2;28.0;3
16;ANDINA;CUNDINAMARCA;MEDINA;25438;Alta;20/08/2026;26.2;99.9;28.0;3
17;ANDINA;CUNDINAMARCA;UBAL¡;25839;Alta;20/08/2026;15.9;76.4;29.0;3
18;ANDINA;HUILA;SAN AGUSTÕN;41668;Alta;20/08/2026;10.5;61.3;24.0;3
19;CARIBE;MAGDALENA;SANTA MARTA;47001;Alta;20/08/2026;13.2;40.4;17.0;3
20;ORINOQUÕA;META;CUBARRAL;50223;Alta;20/08/2026;12.1;119.6;27.0;3
21;ORINOQUÕA;META;EL CASTILLO;50251;Alta;20/08/2026;13.2;140.5;27.0;3
22;ORINOQUÕA;META;EL DORADO;50270;Alta;20/08/2026;14.3;107.3;28.0;3
23;ORINOQUÕA;META;VILLAVICENCIO;50001;Alta;20/08/2026;22.4;121.2;27.0;3
24;AMAZONÕA;PUTUMAYO;MOCOA;86001;Alta;20/08/2026;25.1;79.0;29.0;3
25;AMAZONÕA;PUTUMAYO;SAN FRANCISCO;86755;Alta;20/08/2026;25.7;124.7;30.0;3
26;PACÕFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;Alta;20/08/2026;23.1;121.0;24.0;3
27;ANDINA;ANTIOQUIA;APARTAD”;05045;Baja;20/08/2026;25.9;53.9;23.0;1
28;ANDINA;ANTIOQUIA;BETULIA;05093;Baja;20/08/2026;-;-;-;1
29;ANDINA;ANTIOQUIA;CARACOLÕ;05142;Baja;20/08/2026;-;-;-;1
30;ANDINA;ANTIOQUIA;CHIGOROD”;05172;Baja;20/08/2026;36.7;71.9;23.0;1
31;ANDINA;ANTIOQUIA;DABEIBA;05234;Baja;20/08/2026;15.7;57.5;15.0;1
32;ANDINA;ANTIOQUIA;JERIC”;05368;Baja;20/08/2026;-;-;-;1
33;ANDINA;ANTIOQUIA;MACEO;05425;Baja;20/08/2026;-;-;-;1
34;ANDINA;ANTIOQUIA;MEDELLÕN;05001;Baja;20/08/2026;-;-;-;1
35;ANDINA;ANTIOQUIA;NECOCLÕ;05490;Baja;20/08/2026;25.8;67.3;20.0;1
36;ANDINA;ANTIOQUIA;PE—OL;05541;Baja;20/08/2026;0.2;73.5;19.0;1
37;ANDINA;ANTIOQUIA;PUERTO BERRÕO;05579;Baja;20/08/2026;-;-;-;1
38;ANDINA;ANTIOQUIA;SANTO DOMINGO;05690;Baja;20/08/2026;-;-;-;1
39;ANDINA;ANTIOQUIA;TURBO;05837;Baja;20/08/2026;32.8;68.2;23.0;1
40;ANDINA;ANTIOQUIA;URRAO;05847;Baja;20/08/2026;11.7;44.9;14.0;1
41;ANDINA;ANTIOQUIA;VEGACHÕ;05858;Baja;20/08/2026;19.7;98.8;22.0;1
42;ANDINA;ANTIOQUIA;VIGÕA DEL FUERTE;05873;Baja;20/08/2026;18.9;95.8;18.0;1
43;CARIBE;BOLÕVAR;CANTAGALLO;13160;Baja;20/08/2026;14.1;176.6;21.0;1
44;CARIBE;BOLÕVAR;MONTECRISTO;13458;Baja;20/08/2026;22.1;85.9;18.0;1
45;CARIBE;BOLÕVAR;SAN PABLO;13670;Baja;20/08/2026;17.8;148.2;18.0;1
46;CARIBE;BOLÕVAR;SANTA ROSA DEL SUR;13688;Baja;20/08/2026;16.1;98.0;16.0;1
47;ANDINA;BOYAC¡;CUBAR¡;15223;Baja;20/08/2026;23.8;73.2;26.0;1
48;ANDINA;BOYAC¡;GARAGOA;15299;Baja;20/08/2026;-;-;-;1
49;ANDINA;CALDAS;P¡CORA;17513;Baja;20/08/2026;-;-;-;1
50;AMAZONÕA;CAQUET¡;SAN JOS… DEL FRAGUA;18610;Baja;20/08/2026;22.7;57.3;27.0;1
51;ORINOQUÕA;CASANARE;SABANALARGA;85300;Baja;20/08/2026;10.9;107.5;28.0;1
52;ORINOQUÕA;CASANARE;TAURAMENA;85410;Baja;20/08/2026;8.7;79.9;26.0;1
53;PACÕFICO;CAUCA;GUAPI;19318;Baja;20/08/2026;13.0;114.7;21.0;1
54;PACÕFICO;CAUCA;PIAMONTE;19533;Baja;20/08/2026;27.1;112.4;27.0;1
55;PACÕFICO;CAUCA;SU¡REZ;19780;Baja;20/08/2026;-;-;-;1
56;CARIBE;CESAR;EL COPEY;20238;Baja;20/08/2026;-;-;-;1
57;CARIBE;CESAR;LA GLORIA;20383;Baja;20/08/2026;-;-;-;1
58;PACÕFICO;CHOC”;CARMEN DEL DARI…N;27150;Baja;20/08/2026;24.7;69.3;21.0;1
59;PACÕFICO;CHOC”;CONDOTO;27205;Baja;20/08/2026;20.9;91.3;24.0;1
60;PACÕFICO;CHOC”;ISTMINA;27361;Baja;20/08/2026;17.8;106.2;24.0;1
61;PACÕFICO;CHOC”;MEDIO BAUD”;27430;Baja;20/08/2026;14.3;131.3;24.0;1
62;ANDINA;CUNDINAMARCA;GUATAVITA;25326;Baja;20/08/2026;3.1;39.0;29.0;1
63;ANDINA;CUNDINAMARCA;JUNÕN;25372;Baja;20/08/2026;6.0;52.4;30.0;1
64;ANDINA;CUNDINAMARCA;PACHO;25513;Baja;20/08/2026;-;-;-;1
65;ANDINA;CUNDINAMARCA;PARATEBUENO;25530;Baja;20/08/2026;24.1;95.4;26.0;1
66;CARIBE;C”RDOBA;MONTELÕBANO;23466;Baja;20/08/2026;38.1;66.8;21.0;1
67;CARIBE;C”RDOBA;TIERRALTA;23807;Baja;20/08/2026;35.9;65.9;22.0;1
68;ANDINA;HUILA;ACEVEDO;41006;Baja;20/08/2026;15.9;69.4;26.0;1
69;ANDINA;HUILA;ISNOS;41359;Baja;20/08/2026;7.2;57.6;25.0;1
70;ANDINA;HUILA;PALESTINA;41530;Baja;20/08/2026;23.4;109.4;26.0;1
71;ANDINA;HUILA;PITALITO;41551;Baja;20/08/2026;15.0;89.4;26.0;1
72;CARIBE;MAGDALENA;CI…NAGA;47189;Baja;20/08/2026;16.6;72.5;18.0;1
73;CARIBE;MAGDALENA;FUNDACI”N;47288;Baja;20/08/2026;-;-;-;1
74;ORINOQUÕA;META;LA MACARENA;50350;Baja;20/08/2026;13.6;106.4;24.0;1
75;PACÕFICO;NARI—O;FRANCISCO PIZARRO;52520;Baja;20/08/2026;-;-;-;1
76;PACÕFICO;NARI—O;LOS ANDES;52418;Baja;20/08/2026;7.2;32.9;14.0;1
77;PACÕFICO;NARI—O;PASTO;52001;Baja;20/08/2026;6.5;23.2;25.0;1
78;PACÕFICO;NARI—O;ROBERTO PAY¡N;52621;Baja;20/08/2026;-;-;-;1
79;PACÕFICO;NARI—O;SAN ANDR…S DE TUMACO;52835;Baja;20/08/2026;19.7;79.8;28.0;1
80;ANDINA;NORTE DE SANTANDER;EL CARMEN;54245;Baja;20/08/2026;-;-;-;1
81;ANDINA;NORTE DE SANTANDER;TEORAMA;54800;Baja;20/08/2026;-;-;-;1
82;AMAZONÕA;PUTUMAYO;ORITO;86320;Baja;20/08/2026;10.8;27.2;28.0;1
83;AMAZONÕA;PUTUMAYO;SAN MIGUEL;86757;Baja;20/08/2026;-;-;-;1
84;AMAZONÕA;PUTUMAYO;SANTIAGO;86760;Baja;20/08/2026;18.0;50.4;30.0;1
85;AMAZONÕA;PUTUMAYO;VILLAGARZ”N;86885;Baja;20/08/2026;20.8;76.0;27.0;1
86;ANDINA;RISARALDA;BEL…N DE UMBRÕA;66088;Baja;20/08/2026;-;-;-;1
87;ANDINA;RISARALDA;LA VIRGINIA;66400;Baja;20/08/2026;-;-;-;1
88;ANDINA;RISARALDA;SANTUARIO;66687;Baja;20/08/2026;-;-;-;1
89;ANDINA;SANTANDER;AGUADA;68013;Baja;20/08/2026;-;-;-;1
90;ANDINA;SANTANDER;BOLÕVAR;68101;Baja;20/08/2026;-;-;-;1
91;ANDINA;SANTANDER;CHARAL¡;68167;Baja;20/08/2026;-;-;-;1
92;ANDINA;SANTANDER;CHIMA;68176;Baja;20/08/2026;-;-;-;1
93;ANDINA;SANTANDER;COROMORO;68217;Baja;20/08/2026;-;-;-;1
94;ANDINA;SANTANDER;EL CARMEN DE CHUCURÕ;68235;Baja;20/08/2026;-;-;-;1
95;ANDINA;SANTANDER;EL GUACAMAYO;68245;Baja;20/08/2026;-;-;-;1
96;ANDINA;SANTANDER;GUADALUPE;68320;Baja;20/08/2026;-;-;-;1
97;ANDINA;SANTANDER;GUAPOT¡;68322;Baja;20/08/2026;-;-;-;1
98;ANDINA;SANTANDER;HATO;68344;Baja;20/08/2026;-;-;-;1
99;ANDINA;SANTANDER;LA PAZ;68397;Baja;20/08/2026;-;-;-;1
100;ANDINA;SANTANDER;LAND¡ZURI;68385;Baja;20/08/2026;-;-;-;1
101;ANDINA;SANTANDER;MOGOTES;68464;Baja;20/08/2026;-;-;-;1
102;ANDINA;SANTANDER;OCAMONTE;68498;Baja;20/08/2026;-;-;-;1
103;ANDINA;SANTANDER;OIBA;68500;Baja;20/08/2026;-;-;-;1
104;ANDINA;SANTANDER;PALMAS DEL SOCORRO;68524;Baja;20/08/2026;-;-;-;1
105;ANDINA;SANTANDER;P¡RAMO;68533;Baja;20/08/2026;-;-;-;1
