OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION
1;ANDINA;CALDAS;MANZANARES;17433;ALTA;26/08/2026
2;ANDINA;CALDAS;MARQUETALIA;17444;ALTA;26/08/2026
3;ANDINA;CALDAS;MARULANDA;17446;ALTA;26/08/2026
4;ANDINA;CALDAS;PENSILVANIA;17541;ALTA;26/08/2026
5;ANDINA;CALDAS;SAMANÁ;17662;ALTA;26/08/2026
6;PACÍFICO;CAUCA;CAJIBÍO;19130;ALTA;26/08/2026
7;PACÍFICO;CAUCA;JAMBALÓ;19364;ALTA;26/08/2026
8;PACÍFICO;CAUCA;POPAYÁN;19001;ALTA;26/08/2026
9;PACÍFICO;CAUCA;PURACÉ;19585;ALTA;26/08/2026
10;PACÍFICO;CAUCA;SILVIA;19743;ALTA;26/08/2026
11;PACÍFICO;CAUCA;TOTORÓ;19824;ALTA;26/08/2026
12;ANDINA;CUNDINAMARCA;AGUA DE DIOS;25001;ALTA;26/08/2026
13;ANDINA;CUNDINAMARCA;ANAPOIMA;25035;ALTA;26/08/2026
14;ANDINA;CUNDINAMARCA;ANOLAIMA;25040;ALTA;26/08/2026
15;ANDINA;CUNDINAMARCA;APULO;25599;ALTA;26/08/2026
16;ANDINA;CUNDINAMARCA;BELTRÁN;25086;ALTA;26/08/2026
17;ANDINA;CUNDINAMARCA;BITUIMA;25095;ALTA;26/08/2026
18;ANDINA;CUNDINAMARCA;CACHIPAY;25123;ALTA;26/08/2026
19;ANDINA;CUNDINAMARCA;CHAGUANÍ;25168;ALTA;26/08/2026
20;ANDINA;CUNDINAMARCA;FUSAGASUGÁ;25290;ALTA;26/08/2026
21;ANDINA;CUNDINAMARCA;GIRARDOT;25307;ALTA;26/08/2026
22;ANDINA;CUNDINAMARCA;GUATAQUÍ;25324;ALTA;26/08/2026
23;ANDINA;CUNDINAMARCA;GUAYABAL DE SÍQUIMA;25328;ALTA;26/08/2026
24;ANDINA;CUNDINAMARCA;JERUSALÉN;25368;ALTA;26/08/2026
25;ANDINA;CUNDINAMARCA;LA MESA;25386;ALTA;26/08/2026
26;ANDINA;CUNDINAMARCA;NARIÑO;25483;ALTA;26/08/2026
27;ANDINA;CUNDINAMARCA;NILO;25488;ALTA;26/08/2026
28;ANDINA;CUNDINAMARCA;PANDI;25524;ALTA;26/08/2026
29;ANDINA;CUNDINAMARCA;PULÍ;25580;ALTA;26/08/2026
30;ANDINA;CUNDINAMARCA;QUIPILE;25596;ALTA;26/08/2026
31;ANDINA;CUNDINAMARCA;RICAURTE;25612;ALTA;26/08/2026
32;ANDINA;CUNDINAMARCA;SAN JUAN DE RIOSECO;25662;ALTA;26/08/2026
33;ANDINA;CUNDINAMARCA;TIBACUY;25805;ALTA;26/08/2026
34;ANDINA;CUNDINAMARCA;TOCAIMA;25815;ALTA;26/08/2026
35;ANDINA;CUNDINAMARCA;VIANÍ;25867;ALTA;26/08/2026
36;ANDINA;CUNDINAMARCA;VIOTÁ;25878;ALTA;26/08/2026
37;ANDINA;HUILA;AIPE;41016;ALTA;26/08/2026
38;ANDINA;HUILA;BARAYA;41078;ALTA;26/08/2026
39;ANDINA;HUILA;COLOMBIA;41206;ALTA;26/08/2026
40;ANDINA;HUILA;VILLAVIEJA;41872;ALTA;26/08/2026
41;CARIBE;LA GUAJIRA;URIBIA;44847;ALTA;26/08/2026
42;PACÍFICO;NARIÑO;ANCUYA;52036;ALTA;26/08/2026
43;PACÍFICO;NARIÑO;CHACHAGÜÍ;52240;ALTA;26/08/2026
44;PACÍFICO;NARIÑO;CONSACÁ;52207;ALTA;26/08/2026
45;PACÍFICO;NARIÑO;EL PEÑOL;52254;ALTA;26/08/2026
46;PACÍFICO;NARIÑO;EL TAMBO;52260;ALTA;26/08/2026
47;PACÍFICO;NARIÑO;LA FLORIDA;52381;ALTA;26/08/2026
48;PACÍFICO;NARIÑO;LA LLANADA;52385;ALTA;26/08/2026
49;PACÍFICO;NARIÑO;LA UNIÓN;52399;ALTA;26/08/2026
50;PACÍFICO;NARIÑO;LINARES;52411;ALTA;26/08/2026
51;PACÍFICO;NARIÑO;LOS ANDES;52418;ALTA;26/08/2026
52;PACÍFICO;NARIÑO;PROVIDENCIA;52565;ALTA;26/08/2026
53;PACÍFICO;NARIÑO;SAMANIEGO;52678;ALTA;26/08/2026
54;PACÍFICO;NARIÑO;SAN LORENZO;52687;ALTA;26/08/2026
