OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION
1;CARIBE;ATLÁNTICO;BARANOA;08078;ALTA;07/12/2026
2;CARIBE;ATLÁNTICO;BARRANQUILLA;08001;ALTA;07/12/2026
3;CARIBE;ATLÁNTICO;GALAPA;08296;ALTA;07/12/2026
4;CARIBE;ATLÁNTICO;JUAN DE ACOSTA;08372;ALTA;07/12/2026
5;CARIBE;ATLÁNTICO;LURUACO;08421;ALTA;07/12/2026
6;CARIBE;ATLÁNTICO;MALAMBO;08433;ALTA;07/12/2026
7;CARIBE;ATLÁNTICO;PALMAR DE VARELA;08520;ALTA;07/12/2026
8;CARIBE;ATLÁNTICO;PIOJÓ;08549;ALTA;07/12/2026
9;CARIBE;ATLÁNTICO;POLONUEVO;08558;ALTA;07/12/2026
10;CARIBE;ATLÁNTICO;PONEDERA;08560;ALTA;07/12/2026
11;CARIBE;ATLÁNTICO;PUERTO COLOMBIA;08573;ALTA;07/12/2026
12;CARIBE;ATLÁNTICO;REPELÓN;08606;ALTA;07/12/2026
13;CARIBE;ATLÁNTICO;SABANAGRANDE;08634;ALTA;07/12/2026
14;CARIBE;ATLÁNTICO;SABANALARGA;08638;ALTA;07/12/2026
15;CARIBE;ATLÁNTICO;SANTO TOMÁS;08685;ALTA;07/12/2026
16;CARIBE;ATLÁNTICO;SOLEDAD;08758;ALTA;07/12/2026
17;CARIBE;ATLÁNTICO;TUBARÁ;08832;ALTA;07/12/2026
18;CARIBE;ATLÁNTICO;USIACURÍ;08849;ALTA;07/12/2026
19;CARIBE;BOLÍVAR;SANTA CATALINA;13673;ALTA;07/12/2026
20;CARIBE;CESAR;VALLEDUPAR;20001;ALTA;07/12/2026
21;ANDINA;CUNDINAMARCA;AGUA DE DIOS;25001;ALTA;07/12/2026
22;ANDINA;CUNDINAMARCA;ANAPOIMA;25035;ALTA;07/12/2026
23;ANDINA;CUNDINAMARCA;ANOLAIMA;25040;ALTA;07/12/2026
24;ANDINA;CUNDINAMARCA;APULO;25599;ALTA;07/12/2026
25;ANDINA;CUNDINAMARCA;BELTRÁN;25086;ALTA;07/12/2026
26;ANDINA;CUNDINAMARCA;BITUIMA;25095;ALTA;07/12/2026
27;ANDINA;CUNDINAMARCA;CACHIPAY;25123;ALTA;07/12/2026
28;ANDINA;CUNDINAMARCA;CHAGUANÍ;25168;ALTA;07/12/2026
29;ANDINA;CUNDINAMARCA;GIRARDOT;25307;ALTA;07/12/2026
30;ANDINA;CUNDINAMARCA;GUADUAS;25320;ALTA;07/12/2026
31;ANDINA;CUNDINAMARCA;GUAYABAL DE SÍQUIMA;25328;ALTA;07/12/2026
32;ANDINA;CUNDINAMARCA;JERUSALÉN;25368;ALTA;07/12/2026
33;ANDINA;CUNDINAMARCA;LA MESA;25386;ALTA;07/12/2026
34;ANDINA;CUNDINAMARCA;NILO;25488;ALTA;07/12/2026
35;ANDINA;CUNDINAMARCA;PULÍ;25580;ALTA;07/12/2026
36;ANDINA;CUNDINAMARCA;QUIPILE;25596;ALTA;07/12/2026
37;ANDINA;CUNDINAMARCA;SAN JUAN DE RIOSECO;25662;ALTA;07/12/2026
38;ANDINA;CUNDINAMARCA;TOCAIMA;25815;ALTA;07/12/2026
39;ANDINA;CUNDINAMARCA;VIANÍ;25867;ALTA;07/12/2026
40;ANDINA;HUILA;AIPE;41016;ALTA;07/12/2026
41;ANDINA;HUILA;PALERMO;41524;ALTA;07/12/2026
42;ANDINA;HUILA;TERUEL;41801;ALTA;07/12/2026
43;ANDINA;HUILA;VILLAVIEJA;41872;ALTA;07/12/2026
44;ANDINA;HUILA;YAGUARÁ;41885;ALTA;07/12/2026
45;CARIBE;LA GUAJIRA;BARRANCAS;44078;ALTA;07/12/2026
46;CARIBE;LA GUAJIRA;DISTRACCIÓN;44098;ALTA;07/12/2026
47;CARIBE;LA GUAJIRA;FONSECA;44279;ALTA;07/12/2026
48;CARIBE;LA GUAJIRA;HATONUEVO;44378;ALTA;07/12/2026
49;CARIBE;LA GUAJIRA;RIOHACHA;44001;ALTA;07/12/2026
50;CARIBE;LA GUAJIRA;SAN JUAN DEL CESAR;44650;ALTA;07/12/2026
51;CARIBE;MAGDALENA;REMOLINO;47605;ALTA;07/12/2026
52;CARIBE;MAGDALENA;SITIONUEVO;47745;ALTA;07/12/2026
53;ANDINA;TOLIMA;ALPUJARRA;73024;ALTA;07/12/2026
54;ANDINA;TOLIMA;ALVARADO;73026;ALTA;07/12/2026
55;ANDINA;TOLIMA;AMBALEMA;73030;ALTA;07/12/2026
56;ANDINA;TOLIMA;ARMERO;73055;ALTA;07/12/2026
57;ANDINA;TOLIMA;ATACO;73067;ALTA;07/12/2026
58;ANDINA;TOLIMA;CARMEN DE APICALÁ;73148;ALTA;07/12/2026
59;ANDINA;TOLIMA;CASABIANCA;73152;ALTA;07/12/2026
60;ANDINA;TOLIMA;COELLO;73200;ALTA;07/12/2026
61;ANDINA;TOLIMA;COYAIMA;73217;ALTA;07/12/2026
62;ANDINA;TOLIMA;CUNDAY;73226;ALTA;07/12/2026
63;ANDINA;TOLIMA;ESPINAL;73268;ALTA;07/12/2026
64;ANDINA;TOLIMA;FALAN;73270;ALTA;07/12/2026
65;ANDINA;TOLIMA;FLANDES;73275;ALTA;07/12/2026
66;ANDINA;TOLIMA;FRESNO;73283;ALTA;07/12/2026
67;ANDINA;TOLIMA;GUAMO;73319;ALTA;07/12/2026
68;ANDINA;TOLIMA;HONDA;73349;ALTA;07/12/2026
69;ANDINA;TOLIMA;IBAGUÉ;73001;ALTA;07/12/2026
70;ANDINA;TOLIMA;LÉRIDA;73408;ALTA;07/12/2026
71;ANDINA;TOLIMA;LÍBANO;73411;ALTA;07/12/2026
72;ANDINA;TOLIMA;MELGAR;73449;ALTA;07/12/2026
73;ANDINA;TOLIMA;NATAGAIMA;73483;ALTA;07/12/2026
74;ANDINA;TOLIMA;ORTEGA;73504;ALTA;07/12/2026
75;ANDINA;TOLIMA;PALOCABILDO;73520;ALTA;07/12/2026
76;ANDINA;TOLIMA;PIEDRAS;73547;ALTA;07/12/2026
77;ANDINA;TOLIMA;PRADO;73563;ALTA;07/12/2026
78;ANDINA;TOLIMA;PURIFICACIÓN;73585;ALTA;07/12/2026
79;ANDINA;TOLIMA;ROVIRA;73624;ALTA;07/12/2026
80;ANDINA;TOLIMA;SALDAÑA;73671;ALTA;07/12/2026
81;ANDINA;TOLIMA;SAN LUIS;73678;ALTA;07/12/2026
82;ANDINA;TOLIMA;SAN SEBASTIÁN DE MARIQUITA;73443;ALTA;07/12/2026
83;ANDINA;TOLIMA;SUÁREZ;73770;ALTA;07/12/2026
84;ANDINA;TOLIMA;VALLE DE SAN JUAN;73854;ALTA;07/12/2026
85;ANDINA;TOLIMA;VENADILLO;73861;ALTA;07/12/2026
86;ANDINA;TOLIMA;VILLAHERMOSA;73870;ALTA;07/12/2026
87;ANDINA;ANTIOQUIA;ABEJORRAL;05002;BAJA;07/12/2026
88;ANDINA;ANTIOQUIA;ANZÁ;05044;BAJA;07/12/2026
89;ANDINA;ANTIOQUIA;ARMENIA;05059;BAJA;07/12/2026
90;ANDINA;ANTIOQUIA;BELLO;05088;ALTA;07/12/2026
91;ANDINA;ANTIOQUIA;BELMIRA;05086;BAJA;07/12/2026
92;ANDINA;ANTIOQUIA;BETULIA;05093;BAJA;07/12/2026
93;ANDINA;ANTIOQUIA;BURITICÁ;05113;BAJA;07/12/2026
94;ANDINA;ANTIOQUIA;CAICEDO;05125;BAJA;07/12/2026
95;ANDINA;ANTIOQUIA;CONCORDIA;05209;BAJA;07/12/2026
96;ANDINA;ANTIOQUIA;COPACABANA;05212;BAJA;07/12/2026
97;ANDINA;ANTIOQUIA;ENTRERRÍOS;05264;BAJA;07/12/2026
98;ANDINA;ANTIOQUIA;ENVIGADO;05266;MODERADA;07/12/2026
99;ANDINA;ANTIOQUIA;FREDONIA;05282;BAJA;07/12/2026
100;ANDINA;ANTIOQUIA;GUARNE;05318;BAJA;07/12/2026
101;ANDINA;ANTIOQUIA;HELICONIA;05347;BAJA;07/12/2026
102;ANDINA;ANTIOQUIA;ITAGÜÍ;05360;BAJA;07/12/2026
103;ANDINA;ANTIOQUIA;LA ESTRELLA;05380;BAJA;07/12/2026
104;ANDINA;ANTIOQUIA;LA PINTADA;05390;BAJA;07/12/2026
105;ANDINA;ANTIOQUIA;LA UNIÓN;05400;BAJA;07/12/2026
106;ANDINA;ANTIOQUIA;LIBORINA;05411;BAJA;07/12/2026
107;ANDINA;ANTIOQUIA;MONTEBELLO;05467;BAJA;07/12/2026
108;ANDINA;ANTIOQUIA;OLAYA;05501;BAJA;07/12/2026
109;ANDINA;ANTIOQUIA;PEÑOL;05541;BAJA;07/12/2026
110;ANDINA;ANTIOQUIA;SABANETA;05631;BAJA;07/12/2026
111;ANDINA;ANTIOQUIA;SAN JERÓNIMO;05656;BAJA;07/12/2026
112;ANDINA;ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;05664;BAJA;07/12/2026
113;ANDINA;ANTIOQUIA;SANTA BÁRBARA;05679;BAJA;07/12/2026
114;ANDINA;ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;05042;BAJA;07/12/2026
115;ANDINA;ANTIOQUIA;SANTA ROSA DE OSOS;05686;BAJA;07/12/2026
116;ANDINA;ANTIOQUIA;SONSÓN;05756;BAJA;07/12/2026
117;ANDINA;ANTIOQUIA;SOPETRÁN;05761;BAJA;07/12/2026
118;ANDINA;ANTIOQUIA;URRAO;05847;BAJA;07/12/2026
119;CARIBE;ATLÁNTICO;CAMPO DE LA CRUZ;08137;BAJA;07/12/2026
120;CARIBE;ATLÁNTICO;SANTA LUCÍA;08675;BAJA;07/12/2026
121;CARIBE;ATLÁNTICO;SUAN;08770;BAJA;07/12/2026
122;CARIBE;BOLÍVAR;ARJONA;13052;BAJA;07/12/2026
123;CARIBE;BOLÍVAR;ARROYOHONDO;13062;BAJA;07/12/2026
124;CARIBE;BOLÍVAR;CALAMAR;13140;BAJA;07/12/2026
125;CARIBE;BOLÍVAR;EL GUAMO;13248;BAJA;07/12/2026
126;CARIBE;BOLÍVAR;MAHATES;13433;BAJA;07/12/2026
