COD_MUN,DEPARTAMENTO,MUNICIPIO,TMIN_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,19.1,11774585
91405,Amazonas,La Chorrera,19.0,14165931
91407,Amazonas,La Pedrera,17.8,15175784
91430,Amazonas,La Victoria,19.0,1598379
91001,Amazonas,Leticia,19.0,6727268
91460,Amazonas,Miriti-Parana,18.6,18820064
91530,Amazonas,Puerto Alegria,19.1,9291534
91536,Amazonas,Puerto Arica,18.9,15153174
91540,Amazonas,Puerto Narino,18.9,1587068
91669,Amazonas,Santander,19.1,16457477
91798,Amazonas,Tarapaca,18.2,10077628
05002,Antioquia,Abejorral,7.3,569818
05004,Antioquia,Abriaqui,2.4,333936
05021,Antioquia,Alejandria,11.1,145063
05030,Antioquia,Amaga,10.2,94539
05031,Antioquia,Amalfi,10.9,1362016
05034,Antioquia,Andes,3.3,451890
05036,Antioquia,Angelopolis,7.3,92005
05038,Antioquia,Angostura,7.3,381134
05040,Antioquia,Anori,11.3,1593171
05044,Antioquia,Anza,6.9,287675
05045,Antioquia,Apartado,19.7,603077
05051,Antioquia,Arboletes,22.4,851162
05055,Antioquia,Argelia,5.0,275658
05059,Antioquia,Armenia,11.3,124098
05079,Antioquia,Barbosa,7.9,231400
05088,Antioquia,Bello,6.6,166318
05086,Antioquia,Belmira,4.9,333209
05091,Antioquia,Betania,2.1,202703
05093,Antioquia,Betulia,4.6,294857
05107,Antioquia,Briceno,6.7,423900
05113,Antioquia,Buritica,8.4,399678
05125,Antioquia,Caicedo,2.4,225000
05129,Antioquia,Caldas,5.7,149249
05134,Antioquia,Campamento,8.2,261516
05142,Antioquia,Caracoli,17.9,295686
05145,Antioquia,Caramanta,7.2,103393
05147,Antioquia,Carepa,19.2,436264
05148,Antioquia,Carmen De Viboral,6.1,476206
05150,Antioquia,Carolina,8.5,168392
05154,Antioquia,Caucasia,23.2,1612931
05138,Antioquia,Canasgordas,5.0,410500
05172,Antioquia,Chigorodo,18.4,812701
05190,Antioquia,Cisneros,12.7,52830
05101,Antioquia,Ciudad Bolivar,3.5,296221
05197,Antioquia,Cocorna,8.7,271796
05206,Antioquia,Concepcion,8.1,227278
05209,Antioquia,Concordia,8.9,278528
05212,Antioquia,Copacabana,8.2,76412
05120,Antioquia,Caceres,18.9,2113418
05234,Antioquia,Dabeiba,5.7,2201979
05237,Antioquia,Donmatias,7.8,228757
05240,Antioquia,Ebejico,8.4,267317
05250,Antioquia,El Bagre,19.6,1760318
05607,Antioquia,El Retiro,5.6,272023
05264,Antioquia,Entrerrios,5.9,240971
05266,Antioquia,Envigado,6.1,89961
05282,Antioquia,Fredonia,9.4,289963
05284,Antioquia,Frontino,3.0,1556209
05306,Antioquia,Giraldo,5.3,105158
05308,Antioquia,Girardota,8.8,93182
05313,Antioquia,Granada,8.2,213883
05315,Antioquia,Guadalupe,11.5,133112
05318,Antioquia,Guarne,7.5,171165
05321,Antioquia,Guatape,9.6,93722
05310,Antioquia,Gomez Plata,10.6,373943
05347,Antioquia,Heliconia,8.1,129116
05353,Antioquia,Hispania,12.8,60851
05360,Antioquia,Itagui,10.8,21942
05361,Antioquia,Ituango,6.4,3200283
05364,Antioquia,Jardin,6.5,225853
05368,Antioquia,Jerico,8.9,230278
05376,Antioquia,La Ceja,6.8,149154
05380,Antioquia,La Estrella,7.3,41419
05390,Antioquia,La Pintada,15.3,61022
05400,Antioquia,La Union,6.1,188508
05411,Antioquia,Liborina,5.1,243496
05425,Antioquia,Maceo,16.7,435772
05440,Antioquia,Marinilla,8.3,129182
05001,Antioquia,Medellin,6.5,419962
05467,Antioquia,Montebello,10.6,85420
05475,Antioquia,Murindo,17.1,1423307
05480,Antioquia,Mutata,8.8,1209994
05483,Antioquia,Narino,2.8,355855
05495,Antioquia,Nechi,21.5,1058350
