OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION
1;ANDINA;ANTIOQUIA;AMALFI;05031;ALTA;65.7;70.1;15.0;19/07/2026
2;ANDINA;ANTIOQUIA;ANORÍ;05040;ALTA;78.4;94.5;18.0;19/07/2026
3;ANDINA;ANTIOQUIA;CÁCERES;05120;ALTA;65.5;108.4;16.0;19/07/2026
4;ANDINA;ANTIOQUIA;DABEIBA;05234;ALTA;63.8;75.7;12.0;19/07/2026
5;ANDINA;ANTIOQUIA;EL BAGRE;05250;ALTA;81.0;94.1;14.0;19/07/2026
6;ANDINA;ANTIOQUIA;ITUANGO;05361;ALTA;76.4;122.2;19.0;19/07/2026
7;ANDINA;ANTIOQUIA;MUTATÁ;05480;ALTA;70.5;101.8;24.0;19/07/2026
8;ANDINA;ANTIOQUIA;REMEDIOS;05604;ALTA;64.1;68.4;15.0;19/07/2026
9;ANDINA;ANTIOQUIA;SEGOVIA;05736;ALTA;85.6;89.0;14.0;19/07/2026
10;ANDINA;ANTIOQUIA;ZARAGOZA;05895;ALTA;104.5;137.6;15.0;19/07/2026
11;ORINOQUÍA;ARAUCA;SARAVENA;81736;ALTA;29.8;123.4;28.0;19/07/2026
12;ORINOQUÍA;ARAUCA;TAME;81794;ALTA;23.3;47.6;25.0;19/07/2026
13;CARIBE;BOLÍVAR;CANTAGALLO;13160;ALTA;83.5;85.9;14.0;19/07/2026
14;CARIBE;BOLÍVAR;MONTECRISTO;13458;ALTA;77.9;79.7;12.0;19/07/2026
15;CARIBE;BOLÍVAR;SAN PABLO;13670;ALTA;85.5;88.5;12.0;19/07/2026
16;CARIBE;BOLÍVAR;SANTA ROSA DEL SUR;13688;ALTA;76.6;77.4;10.0;19/07/2026
17;CARIBE;BOLÍVAR;SIMITÍ;13744;ALTA;63.7;64.4;9.0;19/07/2026
18;ANDINA;BOYACÁ;ALMEIDA;15022;ALTA;32.9;107.4;30.0;19/07/2026
19;ANDINA;BOYACÁ;CAMPOHERMOSO;15135;ALTA;35.4;90.5;31.0;19/07/2026
20;ANDINA;BOYACÁ;CHITA;15183;ALTA;28.7;38.5;20.0;19/07/2026
21;ANDINA;BOYACÁ;CUBARÁ;15223;ALTA;25.8;182.8;28.0;19/07/2026
22;ANDINA;BOYACÁ;LABRANZAGRANDE;15377;ALTA;41.8;62.1;29.0;19/07/2026
23;ANDINA;BOYACÁ;MACANAL;15425;ALTA;40.7;109.7;31.0;19/07/2026
24;ANDINA;BOYACÁ;PAJARITO;15518;ALTA;62.0;99.1;30.0;19/07/2026
25;ANDINA;BOYACÁ;PAYA;15533;ALTA;55.6;72.1;25.0;19/07/2026
26;ANDINA;BOYACÁ;PISBA;15550;ALTA;60.1;81.6;26.0;19/07/2026
27;ANDINA;BOYACÁ;PÁEZ;15514;ALTA;55.8;99.5;31.0;19/07/2026
28;ANDINA;BOYACÁ;SANTA MARÍA;15690;ALTA;28.3;152.9;31.0;19/07/2026
29;ANDINA;BOYACÁ;ZETAQUIRA;15897;ALTA;22.7;43.3;31.0;19/07/2026
30;ORINOQUÍA;CASANARE;AGUAZUL;85010;ALTA;69.5;87.8;29.0;19/07/2026
31;ORINOQUÍA;CASANARE;HATO COROZAL;85125;ALTA;51.7;92.4;25.0;19/07/2026
32;ORINOQUÍA;CASANARE;MONTERREY;85162;ALTA;81.1;167.8;30.0;19/07/2026
33;ORINOQUÍA;CASANARE;NUNCHÍA;85225;ALTA;62.2;75.2;24.0;19/07/2026
34;ORINOQUÍA;CASANARE;PAZ DE ARIPORO;85250;ALTA;68.9;114.6;28.0;19/07/2026
35;ORINOQUÍA;CASANARE;SABANALARGA;85300;ALTA;65.8;165.7;30.0;19/07/2026
36;ORINOQUÍA;CASANARE;SÁCAMA;85315;ALTA;33.1;57.5;25.0;19/07/2026
37;ORINOQUÍA;CASANARE;TAURAMENA;85410;ALTA;60.0;132.5;28.0;19/07/2026
38;ORINOQUÍA;CASANARE;TÁMARA;85400;ALTA;50.8;84.7;24.0;19/07/2026
39;ORINOQUÍA;CASANARE;YOPAL;85001;ALTA;75.3;89.6;24.0;19/07/2026
40;PACÍFICO;CAUCA;ARGELIA;19050;ALTA;115.0;123.3;11.0;19/07/2026
41;PACÍFICO;CAUCA;EL TAMBO;19256;ALTA;72.0;107.1;19.0;19/07/2026
42;PACÍFICO;CAUCA;GUAPI;19318;ALTA;126.0;185.5;26.0;19/07/2026
43;PACÍFICO;CAUCA;LÓPEZ DE MICAY;19418;ALTA;72.4;190.2;27.0;19/07/2026
44;PACÍFICO;CAUCA;TIMBIQUÍ;19809;ALTA;109.4;268.2;29.0;19/07/2026
45;PACÍFICO;CHOCÓ;ALTO BAUDÓ;27025;ALTA;61.6;126.5;27.0;19/07/2026
46;PACÍFICO;CHOCÓ;BAGADÓ;27073;ALTA;48.5;76.2;21.0;19/07/2026
47;PACÍFICO;CHOCÓ;BAHÍA SOLANO;27075;ALTA;80.3;136.3;26.0;19/07/2026
48;PACÍFICO;CHOCÓ;BAJO BAUDÓ;27077;ALTA;87.5;137.0;27.0;19/07/2026
49;PACÍFICO;CHOCÓ;BOJAYÁ;27099;ALTA;61.6;94.4;20.0;19/07/2026
50;PACÍFICO;CHOCÓ;EL LITORAL DEL SAN JUAN;27250;ALTA;90.5;149.2;22.0;19/07/2026
51;PACÍFICO;CHOCÓ;JURADÓ;27372;ALTA;76.4;112.2;27.0;19/07/2026
52;PACÍFICO;CHOCÓ;MEDIO ATRATO;27425;ALTA;54.7;112.1;22.0;19/07/2026
53;PACÍFICO;CHOCÓ;MEDIO BAUDÓ;27430;ALTA;78.8;123.2;26.0;19/07/2026
54;PACÍFICO;CHOCÓ;NUQUÍ;27495;ALTA;57.3;121.5;27.0;19/07/2026
55;PACÍFICO;CHOCÓ;NÓVITA;27491;ALTA;59.1;100.1;25.0;19/07/2026
56;PACÍFICO;CHOCÓ;QUIBDÓ;27001;ALTA;58.7;117.3;22.0;19/07/2026
57;PACÍFICO;CHOCÓ;RÍO QUITO;27600;ALTA;58.6;135.0;27.0;19/07/2026
58;PACÍFICO;CHOCÓ;SAN JOSÉ DEL PALMAR;27660;ALTA;81.8;98.5;17.0;19/07/2026
59;PACÍFICO;CHOCÓ;TADÓ;27787;ALTA;59.6;83.9;22.0;19/07/2026
60;ANDINA;CUNDINAMARCA;FÓMEQUE;25279;ALTA;35.4;66.5;31.0;19/07/2026
61;ANDINA;CUNDINAMARCA;GACHALÁ;25293;ALTA;21.9;138.3;31.0;19/07/2026
62;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;ALTA;30.6;225.1;31.0;19/07/2026
63;ANDINA;CUNDINAMARCA;MEDINA;25438;ALTA;23.1;179.2;31.0;19/07/2026
64;ANDINA;CUNDINAMARCA;UBALÁ;25839;ALTA;23.3;154.2;31.0;19/07/2026
65;CARIBE;CÓRDOBA;PUERTO LIBERTADOR;23580;ALTA;31.2;83.9;20.0;19/07/2026
66;CARIBE;CÓRDOBA;TIERRALTA;23807;ALTA;35.8;63.1;24.0;19/07/2026
67;CARIBE;MAGDALENA;ARACATACA;47053;ALTA;39.1;47.1;7.0;19/07/2026
68;ORINOQUÍA;META;ACACÍAS;50006;ALTA;38.7;176.5;31.0;19/07/2026
69;ORINOQUÍA;META;CUBARRAL;50223;ALTA;42.6;241.3;31.0;19/07/2026
70;ORINOQUÍA;META;EL CALVARIO;50245;ALTA;31.4;163.1;31.0;19/07/2026
71;ORINOQUÍA;META;EL CASTILLO;50251;ALTA;61.1;273.9;31.0;19/07/2026
72;ORINOQUÍA;META;EL DORADO;50270;ALTA;61.9;299.8;30.0;19/07/2026
73;ORINOQUÍA;META;GUAMAL;50318;ALTA;36.7;183.1;30.0;19/07/2026
74;ORINOQUÍA;META;LEJANÍAS;50400;ALTA;58.6;213.2;31.0;19/07/2026
75;ORINOQUÍA;META;RESTREPO;50606;ALTA;32.7;227.8;31.0;19/07/2026
