OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
1;ANDINA;ANTIOQUIA;APARTAD”;05045;Alta;08/08/2026;11.8;112.4;26.0;3
2;ANDINA;BOYAC¡;MACANAL;15425;Alta;08/08/2026;27.4;78.7;28.0;3
3;ORINOQUÕA;CASANARE;MONTERREY;85162;Alta;08/08/2026;33.6;86.8;30.0;3
4;PACÕFICO;CAUCA;L”PEZ DE MICAY;19418;Alta;08/08/2026;34.0;110.8;25.0;3
5;PACÕFICO;CHOC”;ALTO BAUD”;27025;Alta;08/08/2026;64.1;230.5;28.0;3
6;PACÕFICO;CHOC”;BAHÕA SOLANO;27075;Alta;08/08/2026;56.1;185.4;27.0;3
7;PACÕFICO;CHOC”;BAJO BAUD”;27077;Alta;08/08/2026;50.2;251.9;27.0;3
8;PACÕFICO;CHOC”;BOJAY¡;27099;Alta;08/08/2026;43.7;100.3;24.0;3
9;PACÕFICO;CHOC”;CONDOTO;27205;Alta;08/08/2026;74.3;283.0;26.0;3
10;PACÕFICO;CHOC”;EL CANT”N DEL SAN PABLO;27135;Alta;08/08/2026;55.4;230.0;27.0;3
11;PACÕFICO;CHOC”;ISTMINA;27361;Alta;08/08/2026;45.9;206.7;27.0;3
12;PACÕFICO;CHOC”;LLOR”;27413;Alta;08/08/2026;54.1;176.8;24.0;3
13;PACÕFICO;CHOC”;MEDIO ATRATO;27425;Alta;08/08/2026;62.4;164.2;24.0;3
14;PACÕFICO;CHOC”;MEDIO BAUD”;27430;Alta;08/08/2026;58.5;285.1;26.0;3
15;PACÕFICO;CHOC”;NUQUÕ;27495;Alta;08/08/2026;62.2;229.6;28.0;3
16;PACÕFICO;CHOC”;N”VITA;27491;Alta;08/08/2026;82.3;281.4;25.0;3
17;PACÕFICO;CHOC”;QUIBD”;27001;Alta;08/08/2026;66.5;171.3;24.0;3
18;PACÕFICO;CHOC”;RÕO IR”;27580;Alta;08/08/2026;68.1;256.1;26.0;3
19;PACÕFICO;CHOC”;RÕO QUITO;27600;Alta;08/08/2026;75.3;224.0;28.0;3
20;PACÕFICO;CHOC”;SAN JOS… DEL PALMAR;27660;Alta;08/08/2026;38.0;116.2;19.0;3
21;PACÕFICO;CHOC”;SIPÕ;27745;Alta;08/08/2026;35.0;88.1;15.0;3
22;ANDINA;CUNDINAMARCA;F”MEQUE;25279;Alta;08/08/2026;19.0;52.4;30.0;3
23;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;Alta;08/08/2026;28.2;187.8;30.0;3
24;ANDINA;CUNDINAMARCA;MEDINA;25438;Alta;08/08/2026;31.9;128.4;30.0;3
25;ANDINA;HUILA;SAN AGUSTÕN;41668;Alta;08/08/2026;13.1;51.4;26.0;3
26;ORINOQUÕA;META;ACACÕAS;50006;Alta;08/08/2026;26.2;128.3;30.0;3
27;ORINOQUÕA;META;CUBARRAL;50223;Alta;08/08/2026;27.8;72.0;29.0;3
28;ORINOQUÕA;META;EL CASTILLO;50251;Alta;08/08/2026;54.9;112.2;27.0;3
29;ORINOQUÕA;META;EL DORADO;50270;Alta;08/08/2026;49.2;101.8;28.0;3
30;ORINOQUÕA;META;GUAMAL;50318;Alta;08/08/2026;26.8;78.9;29.0;3
31;ORINOQUÕA;META;RESTREPO;50606;Alta;08/08/2026;27.2;178.6;31.0;3
32;ORINOQUÕA;META;SAN JUAN DE ARAMA;50683;Alta;08/08/2026;51.7;120.8;27.0;3
33;ORINOQUÕA;META;VILLAVICENCIO;50001;Alta;08/08/2026;19.5;129.4;29.0;3
34;AMAZONÕA;PUTUMAYO;MOCOA;86001;Alta;08/08/2026;14.0;109.7;31.0;3
35;AMAZONÕA;PUTUMAYO;SAN FRANCISCO;86755;Alta;08/08/2026;28.0;146.7;31.0;3
36;PACÕFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;Alta;08/08/2026;29.2;80.5;25.0;3
37;ANDINA;ANTIOQUIA;ALEJANDRÕA;05021;Baja;08/08/2026;-;-;-;1
38;ANDINA;ANTIOQUIA;CHIGOROD”;05172;Baja;08/08/2026;21.4;123.8;26.0;1
39;ANDINA;ANTIOQUIA;COCORN¡;05197;Baja;08/08/2026;-;-;-;1
