OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION
1;ANDINA;ANTIOQUIA;AMALFI;05031;ALTA;60.4;83.7;18.0;08/04/2026
2;ANDINA;ANTIOQUIA;ANORÍ;05040;ALTA;63.7;107.9;19.0;08/04/2026
3;ANDINA;ANTIOQUIA;BRICEÑO;05107;ALTA;53.5;92.7;21.0;08/04/2026
4;ANDINA;ANTIOQUIA;CAMPAMENTO;05134;ALTA;46.3;113.1;20.0;08/04/2026
5;ANDINA;ANTIOQUIA;CÁCERES;05120;ALTA;54.6;73.0;19.0;08/04/2026
6;ANDINA;ANTIOQUIA;EL BAGRE;05250;ALTA;59.8;145.0;16.0;08/04/2026
7;ANDINA;ANTIOQUIA;ITUANGO;05361;ALTA;53.6;67.9;20.0;08/04/2026
8;ANDINA;ANTIOQUIA;NECHÍ;05495;ALTA;40.3;122.0;16.0;08/04/2026
9;ANDINA;ANTIOQUIA;REMEDIOS;05604;ALTA;67.5;70.8;20.0;08/04/2026
10;ANDINA;ANTIOQUIA;SEGOVIA;05736;ALTA;70.9;89.3;19.0;08/04/2026
11;ANDINA;ANTIOQUIA;TARAZÁ;05790;ALTA;61.9;84.2;21.0;08/04/2026
12;ANDINA;ANTIOQUIA;TURBO;05837;ALTA;66.5;87.9;25.0;08/04/2026
13;ANDINA;ANTIOQUIA;VALDIVIA;05854;ALTA;65.2;98.0;21.0;08/04/2026
14;ANDINA;ANTIOQUIA;VEGACHÍ;05858;ALTA;68.8;70.9;18.0;08/04/2026
15;ANDINA;ANTIOQUIA;YALÍ;05885;ALTA;53.4;58.4;18.0;08/04/2026
16;ANDINA;ANTIOQUIA;YOLOMBÓ;05890;ALTA;42.6;48.6;20.0;08/04/2026
17;ANDINA;ANTIOQUIA;ZARAGOZA;05895;ALTA;75.9;120.6;17.0;08/04/2026
18;ORINOQUÍA;ARAUCA;SARAVENA;81736;ALTA;64.7;89.6;27.0;08/04/2026
19;CARIBE;BOLÍVAR;ARENAL;13042;ALTA;49.0;57.6;13.0;08/04/2026
20;CARIBE;BOLÍVAR;MONTECRISTO;13458;ALTA;66.7;113.8;16.0;08/04/2026
21;CARIBE;BOLÍVAR;MORALES;13473;ALTA;39.0;39.6;13.0;08/04/2026
22;CARIBE;BOLÍVAR;SAN JACINTO DEL CAUCA;13655;ALTA;40.7;87.9;16.0;08/04/2026
23;CARIBE;BOLÍVAR;SAN PABLO;13670;ALTA;77.3;106.0;19.0;08/04/2026
24;CARIBE;BOLÍVAR;SANTA ROSA DEL SUR;13688;ALTA;79.0;92.8;17.0;08/04/2026
25;CARIBE;BOLÍVAR;SIMITÍ;13744;ALTA;71.3;76.0;15.0;08/04/2026
26;ANDINA;BOYACÁ;CUBARÁ;15223;ALTA;46.6;81.6;28.0;08/04/2026
