OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
1;ANDINA;ANTIOQUIA;AMALFI;05031;Alta;04/08/2026;60.4;83.7;18.0;3
2;ANDINA;ANTIOQUIA;ANORÍ;05040;Alta;04/08/2026;63.7;107.9;19.0;3
3;ANDINA;ANTIOQUIA;BRICEÑO;05107;Alta;04/08/2026;53.5;92.7;21.0;3
4;ANDINA;ANTIOQUIA;CAMPAMENTO;05134;Alta;04/08/2026;46.3;113.1;20.0;3
5;ANDINA;ANTIOQUIA;CÁCERES;05120;Alta;04/08/2026;54.6;73.0;19.0;3
6;ANDINA;ANTIOQUIA;EL BAGRE;05250;Alta;04/08/2026;59.8;145.0;16.0;3
7;ANDINA;ANTIOQUIA;ITUANGO;05361;Alta;04/08/2026;53.6;67.9;20.0;3
8;ANDINA;ANTIOQUIA;NECHÍ;05495;Alta;04/08/2026;40.3;122.0;16.0;3
9;ANDINA;ANTIOQUIA;REMEDIOS;05604;Alta;04/08/2026;67.5;70.8;20.0;3
10;ANDINA;ANTIOQUIA;SEGOVIA;05736;Alta;04/08/2026;70.9;89.3;19.0;3
11;ANDINA;ANTIOQUIA;TARAZÁ;05790;Alta;04/08/2026;61.9;84.2;21.0;3
12;ANDINA;ANTIOQUIA;TURBO;05837;Alta;04/08/2026;66.5;87.9;25.0;3
13;ANDINA;ANTIOQUIA;VALDIVIA;05854;Alta;04/08/2026;65.2;98.0;21.0;3
14;ANDINA;ANTIOQUIA;VEGACHÍ;05858;Alta;04/08/2026;68.8;70.9;18.0;3
15;ANDINA;ANTIOQUIA;YALÍ;05885;Alta;04/08/2026;53.4;58.4;18.0;3
16;ANDINA;ANTIOQUIA;YOLOMBÓ;05890;Alta;04/08/2026;42.6;48.6;20.0;3
17;ANDINA;ANTIOQUIA;ZARAGOZA;05895;Alta;04/08/2026;75.9;120.6;17.0;3
18;ORINOQUÍA;ARAUCA;SARAVENA;81736;Alta;04/08/2026;64.7;89.6;27.0;3
19;CARIBE;BOLÍVAR;ARENAL;13042;Alta;04/08/2026;49.0;57.6;13.0;3
20;CARIBE;BOLÍVAR;MONTECRISTO;13458;Alta;04/08/2026;66.7;113.8;16.0;3
21;CARIBE;BOLÍVAR;MORALES;13473;Alta;04/08/2026;39.0;39.6;13.0;3
22;CARIBE;BOLÍVAR;SAN JACINTO DEL CAUCA;13655;Alta;04/08/2026;40.7;87.9;16.0;3
23;CARIBE;BOLÍVAR;SAN PABLO;13670;Alta;04/08/2026;77.3;106.0;19.0;3
