COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91001,Amazonas,Leticia,33.4,6727268
05001,Antioquia,Medellin,28.8,419962
81001,Arauca,Arauca,32.9,6480390
08001,Atlantico,Barranquilla,32.1,165737
13001,Bolivar,Cartagena De Indias,37.2,641599
15001,Boyaca,Tunja,17.4,134508
17001,Caldas,Manizales,30.3,494940
18001,Caqueta,Florencia,31.4,2849167
85001,Casanare,Yopal,33.2,2785982
19001,Cauca,Popayan,26.1,536566
20001,Cesar,Valledupar,39.6,4760939
27001,Choco,Quibdo,32.7,3935568
11001,Cundinamarca,"Bogota, D.C.",31.0,1817617
23001,Cordoba,Monteria,34.3,3544548
94001,Guainia,Inirida,32.9,17706318
95001,Guaviare,San Jose Del Guaviare,31.7,18731168
41001,Huila,Neiva,36.9,1421612
44001,La Guajira,Riohacha,36.0,3518455
47001,Magdalena,Santa Marta,32.9,2672070
50001,Meta,Villavicencio,31.7,1441792
52001,Narino,Pasto,23.6,1226326
54001,Norte de Santander,Cucuta,37.3,1277938
86001,Putumayo,Mocoa,30.8,1456603
63001,Quindio,Armenia,28.0,136089
66001,Risaralda,Pereira,30.8,682233
88001,San Andres y Providencia,San Andres,33.4,30340
68001,Santander,Bucaramanga,29.2,172989
70001,Sucre,Sincelejo,35.3,317037
73001,Tolima,Ibague,37.2,1544466
76001,Valle del Cauca,Cali,30.2,630689
97001,Vaupes,Mitu,31.6,18064548
99001,Vichada,Puerto Carreno,34.5,13250752
