OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
1;ANDINA;ANTIOQUIA;APARTAD”;05045;Alta;11/07/2026;13.9;154.5;28.0;3
2;ANDINA;ANTIOQUIA;MUTAT¡;05480;Alta;11/07/2026;41.6;136.0;26.0;3
3;ORINOQUÕA;ARAUCA;FORTUL;81300;Alta;11/07/2026;39.0;127.3;25.0;3
4;ORINOQUÕA;ARAUCA;SARAVENA;81736;Alta;11/07/2026;59.4;160.2;24.0;3
5;ORINOQUÕA;ARAUCA;TAME;81794;Alta;11/07/2026;60.0;143.8;24.0;3
6;ANDINA;BOYAC¡;ALMEIDA;15022;Alta;11/07/2026;41.8;152.2;29.0;3
7;ANDINA;BOYAC¡;CAMPOHERMOSO;15135;Alta;11/07/2026;50.1;195.7;30.0;3
8;ANDINA;BOYAC¡;CHIVOR;15236;Alta;11/07/2026;52.0;181.6;30.0;3
9;ANDINA;BOYAC¡;CUBAR¡;15223;Alta;11/07/2026;75.8;213.1;26.0;3
10;ANDINA;BOYAC¡;LABRANZAGRANDE;15377;Alta;11/07/2026;68.9;195.6;27.0;3
11;ANDINA;BOYAC¡;MACANAL;15425;Alta;11/07/2026;39.7;158.3;30.0;3
12;ANDINA;BOYAC¡;MONGUA;15464;Alta;11/07/2026;49.7;133.2;26.0;3
13;ANDINA;BOYAC¡;PAJARITO;15518;Alta;11/07/2026;61.8;179.9;28.0;3
14;ANDINA;BOYAC¡;PAYA;15533;Alta;11/07/2026;69.3;248.3;24.0;3
15;ANDINA;BOYAC¡;PISBA;15550;Alta;11/07/2026;73.4;229.3;24.0;3
16;ANDINA;BOYAC¡;SAN LUIS DE GACENO;15667;Alta;11/07/2026;32.5;160.7;29.0;3
17;ANDINA;BOYAC¡;SANTA MARÕA;15690;Alta;11/07/2026;53.4;219.9;30.0;3
18;ANDINA;BOYAC¡;SOMONDOCO;15761;Alta;11/07/2026;33.8;116.6;28.0;3
19;ORINOQUÕA;CASANARE;AGUAZUL;85010;Alta;11/07/2026;43.3;164.7;28.0;3
20;ORINOQUÕA;CASANARE;HATO COROZAL;85125;Alta;11/07/2026;88.4;165.5;23.0;3
