COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,33.1,11774585
91405,Amazonas,La Chorrera,32.8,14165931
91407,Amazonas,La Pedrera,33.8,15175784
91430,Amazonas,La Victoria,33.2,1598379
91001,Amazonas,Leticia,33.9,6727268
91460,Amazonas,Miriti-Parana,33.5,18820064
91530,Amazonas,Puerto Alegria,32.2,9291534
91536,Amazonas,Puerto Arica,33.7,15153174
91540,Amazonas,Puerto Narino,33.9,1587068
91669,Amazonas,Santander,33.5,16457477
91798,Amazonas,Tarapaca,34.2,10077628
05002,Antioquia,Abejorral,32.5,569818
05004,Antioquia,Abriaqui,22.7,333936
05021,Antioquia,Alejandria,26.4,145063
05030,Antioquia,Amaga,31.6,94539
05031,Antioquia,Amalfi,32.2,1362016
05034,Antioquia,Andes,27.9,451890
05036,Antioquia,Angelopolis,29.7,92005
05038,Antioquia,Angostura,25.6,381134
05040,Antioquia,Anori,32.4,1593171
05044,Antioquia,Anza,32.6,287675
05045,Antioquia,Apartado,32.2,603077
05051,Antioquia,Arboletes,32.0,851162
05055,Antioquia,Argelia,33.9,275658
05059,Antioquia,Armenia,33.1,124098
05079,Antioquia,Barbosa,27.5,231400
05088,Antioquia,Bello,26.9,166318
05086,Antioquia,Belmira,19.5,333209
05091,Antioquia,Betania,28.2,202703
05093,Antioquia,Betulia,32.7,294857
05107,Antioquia,Briceno,30.7,423900
05113,Antioquia,Buritica,31.5,399678
05125,Antioquia,Caicedo,28.8,225000
05129,Antioquia,Caldas,26.6,149249
05134,Antioquia,Campamento,27.7,261516
05142,Antioquia,Caracoli,34.0,295686
05145,Antioquia,Caramanta,31.6,103393
05147,Antioquia,Carepa,32.5,436264
05148,Antioquia,Carmen De Viboral,28.7,476206
05150,Antioquia,Carolina,26.9,168392
05154,Antioquia,Caucasia,34.3,1612931
05138,Antioquia,Canasgordas,26.4,410500
05172,Antioquia,Chigorodo,32.4,812701
05190,Antioquia,Cisneros,28.2,52830
05101,Antioquia,Ciudad Bolivar,31.7,296221
05197,Antioquia,Cocorna,31.2,271796
05206,Antioquia,Concepcion,24.4,227278
05209,Antioquia,Concordia,33.4,278528
05212,Antioquia,Copacabana,26.9,76412
05120,Antioquia,Caceres,33.2,2113418
05234,Antioquia,Dabeiba,30.9,2201979
05237,Antioquia,Donmatias,27.6,228757
05240,Antioquia,Ebejico,32.6,267317
05250,Antioquia,El Bagre,34.0,1760318
05607,Antioquia,El Retiro,23.2,272023
05264,Antioquia,Entrerrios,20.6,240971
05266,Antioquia,Envigado,24.8,89961
05282,Antioquia,Fredonia,32.9,289963
05284,Antioquia,Frontino,32.8,1556209
05306,Antioquia,Giraldo,28.8,105158
05308,Antioquia,Girardota,27.3,93182
05313,Antioquia,Granada,29.0,213883
05315,Antioquia,Guadalupe,29.6,133112
05318,Antioquia,Guarne,22.4,171165
05321,Antioquia,Guatape,23.0,93722
05310,Antioquia,Gomez Plata,29.5,373943
05347,Antioquia,Heliconia,31.2,129116
