OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION
1;CARIBE;ATLÁNTICO;BARANOA;08078;ALTA;07/11/2026
2;CARIBE;ATLÁNTICO;JUAN DE ACOSTA;08372;ALTA;07/11/2026
3;CARIBE;ATLÁNTICO;LURUACO;08421;ALTA;07/11/2026
4;CARIBE;ATLÁNTICO;PIOJÓ;08549;ALTA;07/11/2026
5;CARIBE;ATLÁNTICO;POLONUEVO;08558;ALTA;07/11/2026
6;CARIBE;ATLÁNTICO;PONEDERA;08560;ALTA;07/11/2026
7;CARIBE;ATLÁNTICO;REPELÓN;08606;ALTA;07/11/2026
8;CARIBE;ATLÁNTICO;SABANALARGA;08638;ALTA;07/11/2026
9;CARIBE;ATLÁNTICO;SANTO TOMÁS;08685;ALTA;07/11/2026
10;CARIBE;ATLÁNTICO;TUBARÁ;08832;ALTA;07/11/2026
11;CARIBE;ATLÁNTICO;USIACURÍ;08849;ALTA;07/11/2026
12;CARIBE;BOLÍVAR;CARTAGENA DE INDIAS;13001;ALTA;07/11/2026
13;CARIBE;BOLÍVAR;CLEMENCIA;13222;ALTA;07/11/2026
14;CARIBE;BOLÍVAR;SANTA CATALINA;13673;ALTA;07/11/2026
15;ANDINA;CALDAS;MANZANARES;17433;ALTA;07/11/2026
16;ANDINA;CALDAS;MARQUETALIA;17444;ALTA;07/11/2026
17;ANDINA;CALDAS;MARULANDA;17446;ALTA;07/11/2026
18;ANDINA;CALDAS;PENSILVANIA;17541;ALTA;07/11/2026
19;ANDINA;CALDAS;SAMANÁ;17662;ALTA;07/11/2026
20;ANDINA;CALDAS;VICTORIA;17867;ALTA;07/11/2026
21;ANDINA;CUNDINAMARCA;ANAPOIMA;25035;ALTA;07/11/2026
22;ANDINA;CUNDINAMARCA;ANOLAIMA;25040;ALTA;07/11/2026
23;ANDINA;CUNDINAMARCA;APULO;25599;ALTA;07/11/2026
24;ANDINA;CUNDINAMARCA;BELTRÁN;25086;ALTA;07/11/2026
25;ANDINA;CUNDINAMARCA;BITUIMA;25095;ALTA;07/11/2026
26;ANDINA;CUNDINAMARCA;CACHIPAY;25123;ALTA;07/11/2026
27;ANDINA;CUNDINAMARCA;CHAGUANÍ;25168;ALTA;07/11/2026
28;ANDINA;CUNDINAMARCA;EL COLEGIO;25245;ALTA;07/11/2026
29;ANDINA;CUNDINAMARCA;GIRARDOT;25307;ALTA;07/11/2026
30;ANDINA;CUNDINAMARCA;GRANADA;25312;ALTA;07/11/2026
31;ANDINA;CUNDINAMARCA;GUADUAS;25320;ALTA;07/11/2026
32;ANDINA;CUNDINAMARCA;GUAYABAL DE SÍQUIMA;25328;ALTA;07/11/2026
33;ANDINA;CUNDINAMARCA;JERUSALÉN;25368;ALTA;07/11/2026
34;ANDINA;CUNDINAMARCA;LA MESA;25386;ALTA;07/11/2026
35;ANDINA;CUNDINAMARCA;PULÍ;25580;ALTA;07/11/2026
